TAZID,AREATYPE,CO_TAZID,CO_FIPS,SUBAREAID,TOTAL_P,TOTAL_A,TOTPER_P,TOTPER_A,TOTEXT_P,TOTEXT_A,TOTTRK_P,TOTTRK_A,TOTTRKIX_P,TOTTRKIX_A,TOTTRKXI_P,TOTTRKXI_A,HBW_P,HBW_A,HBSHP_P,HBSHP_A,HBOTH_P,HBOTH_A,HBSCHPR_P,HBSCHPR_A,HBSCHSC_P,HBSCHSC_A,NHBW_P,NHBW_A,NHBNW_P,NHBNW_A,HBC_P,HBC_A,TTUNIQUE_P,TTUNIQUE_A,IX_P,IX_A,XI_P,XI_A,LT_P,LT_A,MD_P,MD_A,HV_P,HV_A,IX_MD_P,IX_MD_A,IX_HV_P,IX_HV_A,XI_MD_P,XI_MD_A,XI_HV_P,XI_HV_A
15,1,30015,3,1,291.0,1026.8,71.2,693.9,0.6,108.8,211.4,206.5,7.8,0.0,0.0,17.8,1.2,411.8,0.9,0.0,4.7,222.4,0.4,0.0,0.5,0.0,61.8,57.7,1.8,1.9,0.0,0.0,0.0,0.0,0.6,0.0,0.0,108.8,113.4,112.4,71.1,67.8,26.9,26.2,3.6,0.0,4.1,0.0,0.0,9.5,0.0,8.3
16,2,30016,3,1,105.6,418.1,24.2,271.0,0.7,59.3,77.2,76.7,3.5,0.0,0.0,11.1,1.3,102.1,1.0,0.0,4.9,153.7,0.4,0.0,0.4,0.0,15.1,13.9,1.3,1.3,0.0,0.0,0.0,0.0,0.7,0.0,0.0,59.3,41.6,42.8,25.9,24.6,9.7,9.3,1.6,0.0,1.9,0.0,0.0,5.9,0.0,5.2
17,1,30017,3,1,37.4,20.5,30.4,12.0,2.3,4.0,4.7,4.4,0.0,0.0,0.0,0.0,5.0,0.0,3.1,0.0,17.8,10.5,1.6,0.0,1.7,0.0,0.3,0.3,1.1,1.1,0.0,0.0,0.0,0.0,2.3,0.0,0.0,4.0,3.2,3.0,1.4,1.4,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,1,30018,3,1,759.5,2917.1,190.1,1696.8,0.0,557.1,541.7,527.8,28.8,0.0,0.0,135.7,0.0,1227.2,0.0,0.0,1.0,295.5,0.0,0.0,0.0,0.0,185.7,171.6,2.4,2.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,557.1,290.3,289.5,182.3,172.0,69.2,66.2,13.4,0.0,15.4,0.0,0.0,70.8,0.0,64.9
19,2,30019,3,1,3111.2,1874.5,2485.9,1159.3,142.5,202.3,469.8,471.5,15.1,0.0,0.0,41.3,377.2,21.7,232.7,64.9,1394.2,861.0,127.1,0.0,129.7,0.0,58.3,53.8,164.7,157.8,0.0,0.0,2.0,0.0,142.5,0.0,0.0,202.3,285.1,295.6,146.7,140.3,38.0,35.6,8.4,0.0,6.7,0.0,0.0,25.8,0.0,15.5
20,3,30020,3,1,1751.8,1319.4,1337.3,845.9,72.9,117.2,332.8,334.8,10.0,0.0,0.0,21.4,222.5,15.5,139.7,51.9,726.4,628.5,44.2,0.0,45.3,0.0,40.9,37.8,117.3,112.1,0.0,0.0,1.0,0.0,72.9,0.0,0.0,117.2,201.0,209.0,104.3,99.8,27.5,26.0,5.5,0.0,4.5,0.0,0.0,13.5,0.0,7.9
21,2,30021,3,1,479.5,1663.6,128.6,1004.2,0.0,270.0,335.8,330.5,16.2,0.0,0.0,59.1,0.0,834.3,0.0,0.0,1.0,53.0,0.0,0.0,0.0,0.0,126.3,116.5,0.4,0.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,270.0,180.2,182.6,112.8,107.1,42.9,40.8,7.5,0.0,8.7,0.0,0.0,31.3,0.0,27.8
22,2,30022,3,1,32.6,47.3,20.8,28.3,1.2,7.3,9.9,9.7,0.7,0.0,0.0,2.0,3.0,17.7,2.0,0.0,10.7,7.3,0.9,0.0,0.9,0.0,2.6,2.5,0.8,0.8,0.0,0.0,0.0,0.0,1.2,0.0,0.0,7.3,6.0,5.9,3.3,3.1,0.7,0.7,0.3,0.0,0.4,0.0,0.0,1.0,0.0,0.9
23,2,30023,3,1,87.9,209.7,42.4,134.3,2.1,29.3,41.2,40.9,2.1,0.0,0.0,5.2,4.8,74.1,3.3,0.0,18.3,48.2,1.7,0.0,1.7,0.0,11.1,10.3,1.6,1.6,0.0,0.0,0.0,0.0,2.1,0.0,0.0,29.3,23.1,23.6,13.7,13.1,4.5,4.2,1.0,0.0,1.1,0.0,0.0,2.8,0.0,2.5
24,2,30024,3,1,1793.7,994.0,1434.8,594.8,86.0,106.3,265.1,267.6,8.9,0.0,0.0,25.2,222.3,4.9,136.9,0.0,825.4,501.9,75.5,0.0,77.1,0.0,26.0,23.9,66.8,64.1,4.0,0.0,1.0,0.0,86.0,0.0,0.0,106.3,161.7,169.1,82.5,79.0,20.8,19.5,4.9,0.0,4.0,0.0,0.0,16.0,0.0,9.2
25,3,30025,3,1,4242.5,3645.9,3336.4,2585.2,180.8,293.0,703.0,708.9,23.6,0.0,0.0,58.8,476.2,156.1,311.8,21.6,1852.5,1317.8,167.6,758.1,171.1,0.0,118.0,109.0,232.2,222.6,6.0,0.0,1.0,0.0,180.8,0.0,0.0,293.0,421.3,440.2,221.3,212.4,60.4,56.2,12.7,0.0,10.9,0.0,0.0,36.1,0.0,22.7
26,3,30026,3,1,2702.0,2460.0,2031.4,1611.2,106.8,253.0,546.7,551.0,18.4,0.0,0.0,44.6,291.1,237.8,191.6,73.8,1076.1,1001.0,76.2,0.0,77.8,0.0,107.2,98.8,208.5,199.8,2.0,0.0,1.0,0.0,106.8,0.0,0.0,253.0,323.1,338.2,173.5,166.6,50.1,46.2,9.6,0.0,8.7,0.0,0.0,27.1,0.0,17.6
27,2,30027,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,2,30028,3,1,97.6,288.9,32.3,183.3,0.7,37.0,62.0,61.8,2.6,0.0,0.0,6.7,1.6,157.5,1.0,0.0,5.0,3.7,0.4,0.0,0.4,0.0,23.6,21.7,0.4,0.4,0.0,0.0,0.0,0.0,0.7,0.0,0.0,37.0,33.6,34.7,20.8,19.9,7.6,7.2,1.2,0.0,1.4,0.0,0.0,3.6,0.0,3.1
29,3,30029,3,1,3027.0,1695.4,2409.4,1040.7,138.7,150.0,465.6,471.3,14.4,0.0,0.0,33.4,407.5,7.5,241.2,0.0,1352.8,878.2,113.4,0.0,115.7,0.0,45.9,42.4,117.0,112.6,15.0,0.0,1.0,0.0,138.7,0.0,0.0,150.0,283.9,297.5,145.0,139.4,36.8,34.4,8.0,0.0,6.5,0.0,0.0,21.1,0.0,12.3
30,3,30030,3,1,3173.1,2578.7,2364.0,1633.9,131.9,232.5,657.5,664.8,20.9,0.0,0.0,47.4,376.9,121.9,249.3,56.2,1308.9,1167.2,71.9,6.8,73.4,16.5,79.5,73.2,200.2,192.1,3.0,0.0,1.0,0.0,131.9,0.0,0.0,232.5,395.2,414.1,206.6,198.8,55.8,51.9,11.4,0.0,9.6,0.0,0.0,29.2,0.0,18.2
31,3,30031,3,1,3008.8,2871.5,2272.0,1911.3,103.9,292.9,613.3,620.1,20.8,0.0,0.0,47.0,289.8,288.6,193.2,119.8,1040.7,914.2,62.2,0.0,63.5,0.0,206.5,190.2,415.0,398.6,0.0,0.0,1.0,0.0,103.9,0.0,0.0,292.9,361.3,379.4,195.2,187.8,56.9,52.9,10.8,0.0,10.0,0.0,0.0,28.1,0.0,18.9
32,3,30032,3,1,1320.6,821.3,1031.2,507.6,57.7,71.0,224.9,227.3,7.0,0.0,0.0,15.3,163.8,6.1,105.8,0.0,595.9,427.2,43.3,0.0,44.3,0.0,21.9,20.3,56.1,54.0,0.0,0.0,0.0,0.0,57.7,0.0,0.0,71.0,137.3,144.0,69.9,67.0,17.7,16.3,3.9,0.0,3.0,0.0,0.0,9.8,0.0,5.5
33,3,30033,3,1,1759.9,1228.9,1339.9,768.5,74.4,98.4,336.6,340.5,10.1,0.0,0.0,21.5,213.8,22.6,144.5,0.0,771.5,635.4,45.9,0.0,46.8,0.0,34.4,31.7,82.1,78.8,0.0,0.0,1.0,0.0,74.4,0.0,0.0,98.4,204.4,214.7,105.1,100.7,27.1,25.1,5.5,0.0,4.6,0.0,0.0,13.5,0.0,8.0
34,3,30034,3,1,2376.5,1517.3,1850.5,950.8,97.5,121.4,417.6,420.1,12.1,0.0,0.0,25.0,293.2,40.4,189.1,8.6,1059.5,756.7,76.4,0.0,78.1,0.0,45.4,41.9,107.9,103.2,0.0,0.0,1.0,0.0,97.5,0.0,0.0,121.4,253.6,263.9,130.4,124.7,33.6,31.5,6.7,0.0,5.4,0.0,0.0,15.7,0.0,9.3
35,3,30035,3,1,3132.7,2001.3,2428.5,1255.8,128.0,146.4,561.5,566.4,16.1,0.0,0.0,32.7,390.0,9.5,256.3,0.0,1395.1,1059.6,88.5,0.0,90.4,0.0,55.4,50.9,141.9,135.8,10.0,0.0,1.0,0.0,128.0,0.0,0.0,146.4,342.4,357.8,174.8,167.6,44.3,41.1,9.0,0.0,7.1,0.0,0.0,20.7,0.0,12.0
36,3,30036,3,1,857.1,547.3,665.4,347.5,33.2,35.9,154.5,156.0,4.0,0.0,0.0,7.8,115.2,2.7,71.4,0.0,378.1,294.0,23.4,0.0,23.8,0.0,14.6,13.6,38.8,37.2,0.0,0.0,0.0,0.0,33.2,0.0,0.0,35.9,94.5,98.9,47.9,45.9,12.0,11.2,2.2,0.0,1.8,0.0,0.0,4.9,0.0,2.9
37,2,30037,3,1,3.4,13.5,2.1,9.5,0.0,1.7,2.4,2.4,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,1.0,8.8,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.7,1.5,1.5,0.7,0.7,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,3,30038,3,1,1663.3,5251.5,469.5,3399.8,0.0,590.6,1150.1,1155.3,46.0,0.0,0.0,106.1,0.0,2934.8,0.0,0.0,2.0,34.1,0.0,0.0,0.0,0.0,453.4,418.9,12.1,11.9,0.0,0.0,2.0,0.0,0.0,0.0,0.0,590.6,616.2,642.5,386.9,373.4,147.0,139.5,21.0,0.0,25.0,0.0,0.0,57.1,0.0,49.0
39,4,30039,3,1,949.0,1031.2,690.1,707.7,31.9,85.8,220.9,223.5,7.2,0.0,0.0,14.2,100.8,37.6,61.9,73.3,348.2,482.8,29.2,0.0,29.9,0.0,31.2,28.8,88.0,85.3,0.0,0.0,1.0,0.0,31.9,0.0,0.0,85.8,127.4,133.8,71.2,68.6,22.3,21.1,3.7,0.0,3.5,0.0,0.0,8.2,0.0,6.0
40,4,30040,3,1,3517.5,3408.7,2574.1,2269.5,120.9,279.2,799.9,810.1,25.0,0.0,0.0,49.9,377.6,259.3,254.2,159.9,1321.9,1404.1,71.9,0.0,73.4,0.0,141.5,130.7,327.6,315.5,4.0,0.0,2.0,0.0,120.9,0.0,0.0,279.2,471.7,494.8,254.5,245.8,73.7,69.5,13.0,0.0,11.9,0.0,0.0,30.0,0.0,19.9
41,4,30041,3,1,2307.5,3528.8,1763.6,2653.2,46.1,355.6,482.6,487.0,16.5,0.0,0.0,33.0,145.2,115.9,94.4,915.4,482.2,679.7,25.4,0.0,26.1,0.0,207.3,191.1,780.9,751.0,1.0,0.0,1.0,0.0,46.1,0.0,0.0,355.6,274.7,288.1,156.8,151.2,51.1,47.7,8.0,0.0,8.5,0.0,0.0,18.9,0.0,14.0
42,3,30042,3,1,750.9,742.3,527.9,480.3,30.3,59.3,187.5,190.2,6.2,0.0,0.0,12.6,87.9,22.5,56.8,0.0,295.9,412.4,16.7,0.0,17.1,0.0,15.5,14.4,32.1,31.0,5.0,0.0,1.0,0.0,30.3,0.0,0.0,59.3,110.2,116.4,59.7,57.6,17.6,16.2,3.2,0.0,3.0,0.0,0.0,7.5,0.0,5.1
43,3,30043,3,1,2288.1,2974.0,1743.6,2363.7,87.8,133.5,445.9,450.5,13.1,0.0,0.0,26.3,267.4,124.0,174.8,0.0,964.1,840.7,63.2,1208.4,64.6,0.0,70.0,64.6,131.4,126.1,6.0,0.0,2.0,0.0,87.8,0.0,0.0,133.5,267.4,280.1,140.3,134.8,38.2,35.5,7.0,0.0,6.0,0.0,0.0,16.2,0.0,10.1
44,3,30044,3,1,1229.6,702.0,977.9,443.8,50.1,48.2,197.2,199.3,5.5,0.0,0.0,10.6,162.7,4.3,98.2,0.0,557.8,374.4,44.6,0.0,45.3,0.0,18.9,17.5,49.5,47.6,0.0,0.0,1.0,0.0,50.1,0.0,0.0,48.2,120.4,126.4,61.3,58.6,15.4,14.3,3.0,0.0,2.5,0.0,0.0,6.7,0.0,4.0
45,2,30045,3,1,1142.1,706.2,885.1,438.5,44.3,47.0,207.8,209.7,6.0,0.0,0.0,11.0,147.4,39.5,89.4,0.0,504.7,339.9,39.8,0.0,40.7,0.0,17.2,15.9,44.8,43.2,0.0,0.0,1.0,0.0,44.3,0.0,0.0,47.0,124.7,130.7,65.4,62.4,17.7,16.5,3.2,0.0,2.7,0.0,0.0,6.8,0.0,4.2
46,2,30046,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,1,30047,3,1,21.6,10.9,18.9,7.5,1.0,0.9,2.7,2.6,0.0,0.0,0.0,0.0,2.8,0.0,1.8,0.0,11.1,6.7,0.8,0.0,0.9,0.0,0.1,0.1,0.6,0.7,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.9,1.9,1.7,0.8,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,1,30048,3,1,99.8,52.7,80.9,33.5,4.3,4.4,14.0,14.0,0.5,0.0,0.0,0.8,13.5,0.0,8.1,0.0,46.8,29.1,4.0,0.0,4.1,0.0,1.1,1.0,3.3,3.4,0.0,0.0,0.0,0.0,4.3,0.0,0.0,4.4,9.0,9.2,4.4,4.3,0.6,0.5,0.3,0.0,0.3,0.0,0.0,0.4,0.0,0.4
49,2,30049,3,1,594.1,1151.8,524.8,889.9,0.0,171.9,80.2,80.8,3.1,0.0,0.0,9.1,0.0,51.3,0.0,363.7,14.0,0.0,0.0,0.0,0.0,0.0,119.5,110.7,377.3,364.3,0.0,0.0,14.0,0.0,0.0,0.0,0.0,171.9,42.9,45.1,27.1,26.0,10.1,9.7,1.4,0.0,1.7,0.0,0.0,4.8,0.0,4.2
50,3,30050,3,1,365.9,1055.6,172.7,746.8,1.9,106.2,185.1,187.0,7.3,0.0,0.0,15.7,4.9,303.5,3.3,0.0,18.3,278.4,1.6,0.0,1.6,29.8,72.7,67.5,69.4,67.5,0.0,0.0,1.0,0.0,1.9,0.0,0.0,106.2,99.8,104.8,62.0,60.0,23.3,22.2,3.3,0.0,3.9,0.0,0.0,8.3,0.0,7.3
51,3,30051,3,1,136.0,319.3,62.1,218.7,2.2,26.0,69.2,70.1,2.5,0.0,0.0,4.6,6.6,109.3,4.8,0.0,25.6,89.3,1.9,0.0,1.9,0.0,14.9,13.8,6.4,6.3,0.0,0.0,0.0,0.0,2.2,0.0,0.0,26.0,38.1,40.1,23.0,22.4,8.1,7.6,1.3,0.0,1.2,0.0,0.0,2.6,0.0,2.0
52,3,30052,3,1,2038.1,6774.6,524.3,4622.1,22.0,583.2,1438.9,1454.5,55.4,0.0,0.0,115.0,63.0,754.8,44.5,0.0,221.0,3707.2,11.0,0.0,11.3,0.0,139.1,128.6,32.4,31.5,0.0,0.0,2.0,0.0,22.0,0.0,0.0,583.2,778.5,821.4,481.4,465.8,179.0,167.4,25.3,0.0,30.0,0.0,0.0,62.1,0.0,52.9
53,4,30053,3,1,5466.6,9500.2,3799.1,6994.1,100.1,864.4,1519.1,1537.3,53.3,0.0,0.0,105.0,305.9,889.0,213.2,1299.1,1063.9,2620.6,54.0,0.0,55.1,179.5,595.5,549.6,1507.5,1456.3,0.0,0.0,4.0,0.0,100.1,0.0,0.0,864.4,849.5,893.8,499.1,482.8,170.6,160.7,25.4,0.0,27.9,0.0,0.0,58.4,0.0,46.6
54,4,30054,3,1,2950.6,3993.2,2087.3,2813.2,71.3,347.3,772.6,780.6,26.8,0.0,0.0,52.2,212.9,622.4,135.9,130.4,818.9,1326.5,68.7,0.0,70.2,0.0,286.7,264.5,487.1,469.3,0.0,0.0,7.0,0.0,71.3,0.0,0.0,347.3,434.6,456.6,252.8,244.1,85.2,79.9,12.9,0.0,13.9,0.0,0.0,29.2,0.0,23.0
55,3,30055,3,1,2445.0,3445.2,1840.2,2715.3,91.0,189.6,497.7,504.5,16.4,0.0,0.0,35.8,249.3,239.4,158.8,0.0,948.3,935.7,79.8,0.0,81.5,1235.2,127.7,118.0,193.9,187.0,1.0,0.0,0.0,0.0,91.0,0.0,0.0,189.6,291.1,306.4,159.1,153.5,47.5,44.5,8.4,0.0,8.1,0.0,0.0,21.1,0.0,14.7
56,3,30056,3,1,473.1,271.9,374.2,170.3,21.7,20.3,75.0,76.2,2.3,0.0,0.0,5.1,62.3,1.0,37.7,0.0,213.7,144.3,17.2,0.0,17.6,0.0,7.0,6.6,18.8,18.3,0.0,0.0,0.0,0.0,21.7,0.0,0.0,20.3,46.2,48.5,23.4,22.6,5.4,5.1,1.3,0.0,1.0,0.0,0.0,3.2,0.0,1.9
57,3,30057,3,1,637.4,365.9,505.3,230.2,27.9,26.8,101.4,102.7,2.9,0.0,0.0,6.2,84.2,2.4,50.7,0.0,288.6,194.2,23.2,0.0,23.7,0.0,9.5,8.9,25.5,24.6,0.0,0.0,0.0,0.0,27.9,0.0,0.0,26.8,62.2,65.3,31.6,30.4,7.6,7.0,1.6,0.0,1.3,0.0,0.0,4.0,0.0,2.2
58,2,30058,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,2,30059,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,2,30060,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,3,30061,3,1,3500.4,1809.7,2843.5,1145.7,131.4,116.7,513.1,523.8,13.6,0.0,0.0,23.5,447.1,7.1,274.2,0.0,1631.2,966.6,153.8,0.0,156.8,0.0,50.3,46.5,129.2,125.5,0.0,0.0,1.0,0.0,131.4,0.0,0.0,116.7,312.6,330.2,159.9,154.9,40.6,38.6,7.5,0.0,6.1,0.0,0.0,14.5,0.0,9.0
62,3,30062,3,1,2757.3,1507.9,2224.1,958.6,104.8,102.1,417.0,425.9,11.6,0.0,0.0,21.4,338.7,10.4,217.8,8.5,1277.9,795.1,118.5,0.0,121.0,0.0,41.8,38.7,108.5,105.9,0.0,0.0,0.0,0.0,104.8,0.0,0.0,102.1,253.5,268.2,130.1,126.1,33.4,31.5,6.4,0.0,5.2,0.0,0.0,13.3,0.0,8.1
63,4,30063,3,1,591.5,2937.5,381.8,2634.7,8.4,92.6,195.3,197.8,7.0,0.0,0.0,12.5,26.0,229.8,18.3,0.0,100.3,360.4,7.0,0.0,7.2,1833.5,99.6,92.4,122.5,118.6,0.0,0.0,1.0,0.0,8.4,0.0,0.0,92.6,107.8,113.4,64.6,62.6,23.0,21.8,3.3,0.0,3.7,0.0,0.0,6.8,0.0,5.7
64,3,30064,3,1,3706.7,2645.6,3040.3,1853.1,120.6,219.9,532.8,543.3,15.4,0.0,0.0,29.3,386.1,126.5,237.3,133.6,1410.1,886.0,132.0,0.0,134.7,0.0,230.2,212.8,507.8,494.3,0.0,0.0,2.0,0.0,120.6,0.0,0.0,219.9,318.4,336.8,168.0,162.8,46.4,43.6,8.2,0.0,7.2,0.0,0.0,17.7,0.0,11.6
