Bin,HBW,HBShp,HBOth,HBSch_Pr,HBSch_Sc,NHBW,NHBNW,LT,MD,HV,IX,IX_LT,IX_MD,IX_HV,XI,XI_LT,XI_MD,XI_HV,Tel_HBW,Tel_NHBW
        10,       67072.77,       72247.18,      283789.36,       11248.86,       25677.83,       45471.04,      103039.95,       10601.54,       19748.63,        6142.47,         790.10,         776.38,          92.58,         102.25,        1972.39,        1942.03,         230.24,         207.42,       11304.98,        4035.69
        11,       69132.82,       59213.47,      253026.85,        8218.13,       17518.31,       43447.79,       94056.83,        9409.34,       18952.44,        6378.07,        1430.48,        1412.05,          98.04,         108.83,        3655.72,        3715.99,         230.43,         197.92,       11631.70,        3941.47
        12,       68329.70,       45804.91,      209921.40,        6130.06,       14300.60,       38300.58,       76327.71,        8016.43,       19413.32,        6502.45,        1242.38,        1215.16,         208.90,         127.80,        2475.58,        2424.56,         421.96,         211.33,       11484.53,        3451.89
        13,       67595.71,       36079.41,      178641.36,        4568.05,       10714.83,       35925.35,       67512.45,        7145.12,       19319.49,        6770.73,        1405.38,        1508.89,         149.52,         234.50,        2834.25,        2822.73,         289.12,         356.59,       11370.46,        3331.41
        14,       70000.11,       27333.69,      156224.99,        3656.07,        8011.37,       31346.12,       57484.76,        6447.26,       19237.48,        6956.33,        1144.08,        1123.17,         233.81,         177.05,        2057.15,        2020.13,         350.59,         243.81,       11694.93,        2872.46
        15,       68190.36,       21357.19,      131182.50,        2785.36,        5701.70,       37311.28,       60086.49,        6358.13,       20107.46,        7144.32,        1356.68,        1294.04,         189.16,         171.35,        1656.45,        1685.82,         274.89,         236.31,       11389.61,        4079.37
        16,       64585.43,       15663.28,      108423.98,        2252.20,        4460.67,       24432.54,       43091.98,        5680.92,       20091.56,        7224.92,        1482.23,        1540.65,         173.87,         177.59,        2358.36,        2359.87,         242.51,         235.60,       10732.08,        2246.69
        17,       60562.96,       11911.95,       91315.58,        1831.61,        3344.58,       20603.19,       34652.28,        5281.17,       20189.08,        7374.69,        1658.09,        1726.99,         220.85,         138.70,        3242.22,        3299.62,         302.35,         182.71,       10074.02,        1842.26
        18,       57656.23,        9281.67,       78638.59,        1442.91,        2457.13,       18615.27,       30248.02,        5000.19,       20179.20,        7489.78,        1545.06,        1527.91,         341.22,         241.60,        3841.33,        3865.05,         450.23,         296.66,        9576.18,        1625.91
        19,       55197.16,        7097.03,       69227.52,        1179.94,        1890.50,       17804.51,       27994.85,        4814.79,       19865.21,        7436.74,        1750.14,        1770.19,         351.68,         283.07,        2913.37,        2991.15,         465.98,         366.50,        9102.69,        1567.41
        20,       52021.41,        5777.30,       59417.30,         975.73,        1455.30,       16172.79,       23035.07,        4445.26,       19925.13,        7499.68,        2071.05,        2119.07,         357.49,         280.60,        3270.24,        3344.14,         419.46,         369.75,        8582.08,        1405.05
        21,       48757.37,        4579.68,       55676.01,         814.58,        1206.99,       14052.16,       19813.79,        4151.03,       20065.05,        7653.93,        1868.91,        1838.59,         398.96,         291.63,        3468.89,        3461.61,         501.85,         355.17,        8100.98,        1174.26
        22,       45200.73,        3950.79,       48259.89,         693.35,         955.27,       13534.56,       17498.72,        3874.52,       19044.11,        7719.58,        1901.74,        1889.41,         397.93,         369.91,        3246.90,        3284.64,         459.74,         450.26,        7545.88,        1135.07
        23,       42098.11,        3245.88,       42616.97,         599.18,         853.76,       12527.84,       15280.58,        3488.13,       18475.63,        7650.34,        1849.56,        1972.46,         370.57,         283.38,        3542.39,        3795.01,         448.96,         355.31,        7033.38,        1081.12
        24,       38346.56,        2800.01,       36543.96,         483.82,         743.08,       11027.08,       12856.99,        3022.63,       17637.09,        7468.54,        2224.99,        2197.46,         368.22,         308.61,        3963.15,        3735.50,         435.14,         394.40,        6411.52,         897.05
        25,       35721.28,        2401.48,       32430.71,         408.88,         665.08,       10415.37,       11643.83,        2665.41,       16002.94,        7276.87,        1793.93,        1888.44,         499.11,         306.69,        3026.04,        3770.96,         494.12,         367.23,        5965.75,         852.56
        26,       31241.22,        2146.68,       29233.22,         347.89,         572.10,        9812.97,       10434.10,        2349.90,       14545.52,        6743.87,        2108.70,        2059.60,         370.94,         367.10,        3431.60,        2835.33,         462.27,         422.75,        5247.89,         807.75
        27,       28702.94,        1770.40,       25410.39,         300.76,         505.82,        8757.19,        8920.85,        1982.21,       13242.80,        6169.47,        1699.40,        1905.48,         396.08,         320.55,        3131.25,        3115.60,         429.49,         407.13,        4786.43,         705.84
        28,       25834.97,        1610.57,       23180.02,         259.13,         373.82,        8444.16,        8143.06,        1775.72,       11762.43,        5740.22,        1999.70,        1773.85,         321.79,         380.91,        2666.51,        2687.18,         335.83,         436.55,        4311.58,         675.92
        29,       24031.03,        1403.55,       20781.13,         232.32,         347.50,        8205.87,        7486.25,        1561.92,       10068.85,        5225.36,        1648.96,        1733.12,         279.29,         302.54,        3156.65,        3047.18,         295.01,         336.22,        3989.05,         673.59
        30,       21659.58,        1387.72,       19509.96,         208.40,         274.57,        7351.75,        6757.48,        1409.35,        8780.12,        4689.03,        1796.07,        1853.74,         309.66,         307.05,        3232.08,        3189.76,         315.76,         330.90,        3596.94,         591.18
        31,       20617.60,        1084.78,       17121.62,         182.93,         240.72,        6985.01,        6130.54,        1279.61,        7568.15,        4400.85,        1520.32,        1465.36,         309.73,         306.74,        2262.08,        2327.86,         328.87,         309.18,        3380.27,         568.90
        32,       18216.06,        1104.01,       16069.71,         160.82,         211.72,        6655.11,        5653.78,        1170.04,        6256.63,        3846.21,        1639.31,        1599.39,         302.02,         362.79,        2676.81,        2487.47,         314.16,         357.43,        3020.33,         536.34
        33,       16806.54,         970.60,       15157.74,         148.13,         209.70,        5655.26,        4908.30,        1089.38,        5252.57,        3583.01,        1210.94,        1249.45,         216.02,         309.73,        2511.00,        2453.87,         214.53,         303.20,        2787.99,         431.02
        34,       16462.07,         972.65,       13500.10,         120.17,         185.96,        5195.26,        4253.83,        1022.84,        4246.02,        3197.51,        1266.77,        1331.07,         261.90,         238.14,        1761.42,        2014.04,         245.21,         226.98,        2700.47,         394.25
        35,       14747.13,         905.55,       11710.64,         105.92,         175.75,        4732.13,        3836.20,         966.65,        3417.80,        2912.67,        1287.03,        1283.09,         236.92,         220.10,        2230.65,        2017.38,         253.32,         191.66,        2413.52,         352.25
        36,       12950.10,         838.87,       10711.92,         102.47,         171.04,        4364.21,        3525.10,         948.28,        2737.62,        2645.62,        1355.31,        1407.34,         216.91,         220.38,        1927.33,        2055.89,         197.27,         203.63,        2113.18,         323.58
        37,       12016.48,         754.76,       10162.51,          95.02,         163.34,        4154.59,        3366.02,         896.83,        2229.36,        2339.26,        1171.13,        1071.23,         201.93,         217.05,        1620.71,        1558.35,         227.88,         181.68,        1954.25,         304.87
        38,       10453.31,         697.96,        8890.08,          82.95,         147.18,        3541.75,        2845.72,         832.42,        1711.73,        2079.14,        1064.62,        1036.56,         202.28,         242.61,        1350.74,        1350.55,         195.32,         197.93,        1693.77,         246.63
        39,        9613.06,         641.76,        7869.89,          81.49,         145.40,        3340.67,        2534.38,         787.01,        1426.44,        1908.75,        1228.58,        1103.90,         161.72,         228.09,        1560.95,        1523.74,         172.57,         185.23,        1546.98,         237.12
        40,        8598.96,         683.35,        7500.01,          73.29,         128.71,        2898.36,        2402.27,         735.75,        1151.45,        1684.98,         885.15,         805.25,         160.09,         219.60,        1413.77,        1172.89,         149.57,         170.07,        1389.94,         195.67
        41,        7946.69,         652.54,        6662.94,          67.76,         104.80,        2706.85,        2152.20,         667.82,         958.42,        1479.18,         855.22,        1018.61,         144.61,         177.32,        1163.98,        1301.91,         147.30,         136.70,        1274.50,         182.63
        42,        7195.06,         598.59,        5958.96,          58.16,          86.86,        2327.35,        1858.43,         622.78,         790.79,        1241.34,        1113.45,        1034.20,         129.62,         166.80,        1273.36,        1200.41,         118.82,         122.13,        1149.76,         148.86
        43,        6557.25,         517.25,        5574.57,          55.72,          72.31,        2097.12,        1703.16,         572.76,         695.92,        1055.82,         884.76,         815.11,         115.50,         160.31,        1162.60,        1159.92,          99.38,         115.69,        1031.88,         126.57
        44,        6001.35,         501.24,        5213.20,          52.24,          49.41,        1884.01,        1544.12,         508.52,         606.59,         821.17,         762.73,         728.51,         134.69,         135.04,         994.78,         924.30,         118.83,          93.04,         939.93,         109.24
        45,        5590.35,         428.16,        4798.42,          48.27,          40.26,        1789.64,        1495.31,         447.12,         550.30,         662.23,         666.49,         733.24,         146.16,         126.64,        1201.89,        1199.37,         121.75,          93.32,         864.72,         105.65
        46,        5138.65,         390.30,        4281.26,          46.54,          25.04,        1631.18,        1328.47,         376.93,         504.20,         522.70,         677.40,         676.28,          99.96,         142.49,         968.35,         979.62,         101.76,         106.59,         794.83,          96.60
        47,        4715.08,         339.43,        3794.45,          43.26,          19.17,        1414.19,        1208.39,         314.94,         472.58,         381.97,         717.25,         720.58,          99.63,         143.44,        1025.76,         974.87,          82.95,         102.12,         719.14,          78.77
        48,        4144.43,         338.88,        3695.78,          34.70,          17.83,        1283.67,        1087.85,         244.42,         453.09,         288.46,         825.35,         771.19,         100.18,          97.00,         996.29,        1162.11,          74.86,          72.83,         624.12,          72.68
        49,        3644.06,         318.04,        3326.96,          34.29,          10.77,        1221.35,        1011.76,         173.05,         428.99,         205.49,         702.88,         744.26,          88.12,          97.35,        1013.10,         984.65,          70.80,          70.86,         539.60,          72.89
        50,        3444.19,         334.05,        3236.41,          28.25,           9.29,        1066.87,         907.88,         111.20,         405.42,         157.99,         881.25,         856.15,          99.50,          94.64,        1005.23,        1055.93,          71.47,          71.36,         499.88,          60.99
        51,        3283.25,         316.93,        2873.45,          27.05,           4.94,         934.16,         827.86,          74.65,         387.97,         115.51,         733.27,         685.77,          99.28,          92.96,         990.56,         956.58,          76.51,          67.49,         475.64,          50.33
        52,        2931.07,         309.78,        2837.35,          26.95,           4.82,         850.22,         806.03,          50.17,         366.85,          82.07,         762.48,         816.76,         110.91,          84.69,         871.99,         911.30,          80.54,          70.17,         421.39,          46.13
        53,        2866.70,         306.33,        2867.98,          23.68,           2.97,         798.30,         717.61,          31.79,         343.16,          59.62,         759.36,         661.98,         114.91,          92.36,         857.09,         826.95,          92.58,          74.14,         411.52,          44.15
        54,        2584.99,         313.02,        2405.32,          22.75,           1.39,         693.31,         642.21,          20.30,         312.17,          42.76,         673.60,         775.38,         108.28,         107.29,         841.80,         927.44,          90.05,          85.25,         368.61,          36.39
        55,        2575.83,         296.95,        2242.80,          21.84,           0.27,         620.22,         582.34,          12.95,         286.45,          30.99,         855.89,         804.40,         108.69,         117.44,         833.56,         813.27,          89.04,         102.53,         366.31,          33.65
        56,        2351.11,         314.41,        2021.05,          22.59,              0,         574.09,         583.50,           7.12,         271.46,          18.87,         713.11,         664.11,         109.30,          87.20,         678.69,         691.52,          77.60,          80.00,         332.85,          31.59
        57,        2133.26,         287.35,        2003.81,          20.36,              0,         502.23,         502.76,           2.05,         240.07,          11.97,         783.40,         831.84,         112.47,         107.71,         718.69,         749.72,          92.11,          99.76,         298.93,          27.95
        58,        1956.74,         254.75,        1730.59,          19.45,              0,         436.46,         462.44,           1.13,         210.81,          10.53,         832.99,         814.34,         124.88,         104.37,         659.45,         611.85,          94.95,          98.11,         276.79,          23.00
        59,        1775.29,         214.57,        1693.23,          18.77,              0,         460.81,         454.58,           0.48,         189.78,           9.26,         685.47,         638.05,         119.93,         108.09,         581.48,         675.77,         100.09,         107.86,         248.18,          31.09
        60,        1661.20,         217.16,        1592.77,          15.38,              0,         357.92,         422.26,           0.23,         163.49,           6.38,         574.34,         596.67,         113.52,         122.01,         566.89,         646.66,          98.49,         123.65,         229.08,          20.14
        61,        1505.63,         196.03,        1705.31,          16.12,              0,         320.12,         400.22,           0.04,         136.41,           5.50,         533.32,         508.47,         119.82,          97.31,         530.25,         517.93,         102.33,         106.60,         206.30,          18.67
        62,        1321.83,         237.56,        1532.92,          13.55,              0,         326.15,         369.55,              0,         102.62,           3.48,         497.80,         513.38,         111.15,         109.80,         557.36,         542.89,          91.37,         121.08,         178.56,          20.83
        63,        1255.02,         238.70,        1470.69,           8.33,              0,         240.37,         337.04,              0,          86.45,           2.39,         596.39,         526.82,         108.01,         110.56,         626.14,         611.51,          94.89,         120.15,         164.74,          13.66
        64,        1208.46,         204.46,        1228.95,           7.51,              0,         225.28,         306.92,              0,          63.45,           1.13,         550.97,         568.46,         108.86,          94.52,         593.30,         611.83,          92.99,         106.25,         159.52,          13.23
        65,        1024.14,         151.02,        1118.71,           4.56,              0,         202.03,         300.47,              0,          44.88,           0.23,         525.80,         492.97,         105.73,          92.32,         563.56,         571.48,         111.68,          96.58,         134.61,          11.63
        66,        1021.01,         137.08,         913.64,           3.08,              0,         219.73,         260.18,              0,          35.36,           0.09,         513.31,         505.66,         115.14,          88.12,         562.90,         574.69,         106.36,          96.71,         137.98,          16.76
        67,         945.85,         141.48,         949.34,           2.67,              0,         148.21,         239.62,              0,          25.88,           0.12,         493.08,         508.28,         103.12,          84.75,         736.32,         664.33,         114.36,          94.89,         126.97,           9.11
        68,         874.73,         141.02,         773.38,           2.43,              0,         124.47,         194.61,              0,          18.39,           0.01,         513.06,         510.44,          91.71,         102.94,         609.37,         663.37,          96.77,         129.75,         116.00,           7.97
        69,         839.54,         113.82,         829.97,           1.27,              0,          81.39,         185.36,              0,          13.75,              0,         436.77,         449.65,          81.05,         109.76,         705.57,         691.66,          95.92,         133.03,         110.65,           5.25
        70,         721.98,         112.61,         721.41,           0.81,              0,          77.11,         162.12,              0,          12.18,           0.01,         392.83,         431.75,          90.78,          98.61,         700.71,         724.15,          95.49,         135.58,          92.36,           6.82
        71,         596.76,          96.14,         654.61,           0.55,              0,          61.57,         121.49,              0,           5.57,              0,         350.21,         351.54,          84.53,          89.86,         506.31,         512.88,         109.03,         105.65,          75.01,           5.97
        72,         585.74,          97.85,         554.46,           0.52,              0,          46.53,          85.08,              0,           3.08,              0,         311.25,         328.73,          94.89,          94.80,         555.21,         534.15,         112.60,         128.90,          73.56,           4.68
        73,         481.42,          83.07,         535.78,           0.37,              0,          26.29,          61.84,              0,           0.95,           0.01,         350.54,         351.40,          81.52,          89.03,         491.29,         423.98,         114.19,         116.75,          59.19,           2.59
        74,         475.10,          75.33,         467.24,           0.40,              0,          15.78,          43.39,              0,           0.76,              0,         342.17,         336.74,          77.05,         111.89,         407.95,         379.86,         117.38,         151.70,          59.09,           1.65
        75,         492.10,          44.96,         391.48,           0.17,              0,          80.49,          61.25,              0,           1.08,              0,         303.66,         311.05,          66.15,         108.03,         321.74,         334.52,          99.31,         168.22,          61.68,          12.05
        76,         455.95,          34.02,         338.57,           0.17,              0,           1.17,          12.04,              0,           0.68,              0,         254.93,         259.22,          61.86,         112.60,         306.99,         242.87,          84.92,         164.99,          56.88,           0.04
        77,         381.47,          23.49,         277.47,           0.09,              0,           1.30,           5.27,              0,           0.44,              0,         239.10,         232.27,          61.53,          93.44,         264.50,         285.70,          94.61,         148.78,          46.31,           0.10
        78,         326.15,          16.20,         212.96,           0.05,              0,           1.31,           5.67,              0,           0.12,              0,         233.27,         233.89,          62.77,          69.05,         239.21,         230.45,          98.47,         107.11,          38.54,           0.15
        79,         301.99,          13.03,         175.32,              0,              0,           0.02,           0.51,              0,           0.13,              0,         212.82,         211.33,          39.86,          78.51,         244.09,         279.03,          76.98,         121.44,          34.87,              0
        80,         276.64,           8.60,         119.58,              0,              0,           0.57,           1.44,              0,           0.10,              0,         186.33,         209.22,          43.07,          77.75,         229.52,         232.06,          68.43,         124.05,          32.15,           0.06
        81,         253.84,           5.28,          83.07,              0,              0,              0,           0.83,              0,           0.08,              0,         221.30,         196.42,          33.25,          97.32,         221.98,         200.63,          61.80,         167.45,          28.17,              0
        82,         242.49,           2.78,          62.64,              0,              0,              0,           0.13,              0,           0.07,              0,         188.11,         183.87,          29.77,          53.62,         193.89,         175.57,          54.58,          96.29,          27.25,              0
        83,         208.56,           2.09,          50.70,              0,              0,           0.01,           0.26,              0,           0.29,              0,         175.16,         162.80,          27.97,          51.39,         209.81,         187.97,          49.16,          97.30,          22.85,              0
        84,         222.46,           0.62,          23.25,              0,              0,              0,           0.04,              0,              0,              0,         177.09,         170.57,          30.97,          49.94,         193.32,         237.68,          60.64,          85.91,          24.63,              0
        85,         211.44,           0.36,          10.41,              0,              0,              0,           0.15,              0,           0.01,              0,         174.08,         172.94,          28.93,          36.49,         190.55,         166.25,          51.48,          67.89,          23.01,              0
        86,         225.75,           0.19,           5.44,              0,              0,              0,           0.02,              0,              0,              0,         158.31,         172.68,          21.94,          33.45,         182.30,         192.47,          51.27,          60.66,          24.84,              0
        87,         183.23,           0.03,           1.85,              0,              0,              0,           0.06,              0,              0,              0,         194.19,         183.40,          19.20,          48.26,         184.06,         221.11,          42.68,          89.86,          19.99,              0
        88,         152.70,           0.01,           1.86,              0,              0,              0,              0,              0,              0,              0,         174.41,         171.57,          14.67,          38.18,         205.90,         206.40,          32.76,          79.06,          16.28,              0
        89,         129.85,           0.81,           0.92,              0,              0,              0,           0.05,              0,              0,              0,         175.88,         180.22,          16.18,          29.60,         214.01,         227.61,          33.01,          55.06,          13.79,              0
        90,         122.35,              0,           1.04,              0,              0,              0,              0,              0,              0,              0,         193.59,         169.98,          13.29,          24.17,         217.79,         238.88,          37.29,          51.79,          12.91,              0
        91,          89.07,              0,           1.12,              0,              0,              0,              0,              0,              0,              0,         171.06,         198.58,           9.05,          20.78,         229.35,         185.13,          35.36,          41.97,           9.55,              0
        92,          60.76,           0.01,           1.50,              0,              0,              0,              0,              0,              0,              0,         175.60,         150.14,          11.46,          15.36,         225.49,         220.79,          25.86,          36.89,           6.11,              0
        93,          39.32,              0,           1.61,              0,              0,              0,              0,              0,              0,              0,         146.73,         159.44,           9.34,          15.79,         215.22,         227.06,          32.69,          42.44,           3.81,              0
        94,          41.92,              0,           0.37,              0,              0,              0,              0,              0,              0,              0,         180.82,         176.81,           7.90,          10.33,         219.48,         195.22,          27.41,          37.79,           4.60,              0
        95,          17.51,              0,              0,              0,              0,              0,              0,              0,              0,              0,         214.13,         222.68,           8.44,           9.85,         214.21,         209.58,          28.78,          26.61,           1.73,              0
        96,          30.75,              0,           1.06,              0,              0,              0,              0,              0,              0,              0,         208.79,         191.97,           4.52,          10.17,         196.07,         212.93,          30.28,          39.50,           3.78,              0
        97,          10.42,              0,              0,              0,              0,              0,              0,              0,              0,              0,         222.26,         244.06,           3.62,           5.94,         212.54,         182.94,          20.97,          33.40,           1.19,              0
        98,           7.44,              0,              0,              0,              0,              0,              0,              0,              0,              0,         193.10,         197.51,           2.41,           6.11,         181.02,         181.00,          17.41,          37.00,           0.86,              0
        99,           3.48,              0,              0,              0,              0,              0,              0,              0,              0,              0,         203.49,         177.49,           1.61,           3.82,         179.74,         217.85,          12.91,          40.38,           0.41,              0
       100,           3.28,              0,              0,              0,              0,              0,              0,              0,              0,              0,         192.84,         183.06,           1.73,           1.90,         181.68,         180.72,           7.69,          27.87,           0.41,              0
       101,           0.47,              0,              0,              0,              0,              0,              0,              0,              0,              0,         159.90,         174.79,           1.47,           1.59,         228.52,         179.02,           5.28,          29.04,           0.01,              0
       102,           0.32,              0,              0,              0,              0,              0,              0,              0,              0,              0,         207.36,         196.03,           1.47,           0.74,         157.96,         204.19,           4.15,          22.17,           0.03,              0
       103,           0.52,              0,              0,              0,              0,              0,              0,              0,              0,              0,         213.89,         211.76,           1.36,           0.46,         204.63,         202.19,           2.34,          12.90,           0.05,              0
       104,           0.45,              0,              0,              0,              0,              0,              0,              0,              0,              0,         191.99,         170.83,           1.28,           0.57,         192.40,         170.67,           2.11,          15.16,           0.01,              0
       105,           0.35,              0,              0,              0,              0,              0,              0,              0,              0,              0,         189.48,         208.69,           1.70,           0.68,         144.69,         180.71,           1.74,           9.54,           0.03,              0
       106,           0.19,              0,              0,              0,              0,              0,              0,              0,              0,              0,         215.25,         224.80,           1.39,           0.82,         177.70,         162.93,           1.78,           9.82,           0.01,              0
       107,           0.03,              0,              0,              0,              0,              0,              0,              0,              0,              0,         181.17,         166.34,           1.79,           1.43,         185.34,         157.66,           2.05,           6.06,              0,              0
       108,           0.01,              0,              0,              0,              0,              0,              0,              0,              0,              0,         134.84,         143.93,           2.06,           1.33,         144.47,         157.43,           1.97,           3.87,              0,              0
       109,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,         117.85,         118.03,           2.25,           0.67,         162.29,         160.87,           2.14,           2.28,              0,              0
       110,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,          91.97,         106.28,           1.66,           0.55,         149.97,         128.00,           2.33,           0.95,              0,              0
       111,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,          86.75,          92.20,           1.90,           0.69,         124.55,          90.12,           1.82,           0.96,              0,              0
       112,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,          74.21,          65.52,           1.79,           0.61,          91.82,          80.78,           1.86,           0.51,              0,              0
       113,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,          84.82,          85.20,           3.16,           0.92,          78.26,         126.49,           3.10,           0.86,              0,              0
       114,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,          68.59,          54.45,           2.07,           1.02,         119.28,         144.11,           1.89,           0.94,              0,              0
       115,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,          61.94,          65.01,           1.60,           0.70,         128.50,         120.30,           1.91,           0.57,              0,              0
       116,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,          49.22,          54.40,           1.62,           1.16,         149.42,         120.23,           1.96,           1.08,              0,              0
       117,              0,              0,           1.00,              0,              0,              0,              0,              0,              0,              0,          64.92,          56.42,           2.16,           0.91,         104.36,         110.48,           2.12,           0.82,              0,              0
       118,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,          48.01,          57.00,           0.62,           1.02,         119.64,         127.64,           1.00,           0.90,              0,              0
       119,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,          36.96,          40.33,           0.51,           1.10,          95.76,          74.73,           0.93,           1.04,              0,              0
       120,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,          42.70,          38.49,           0.63,           1.18,          97.50,          66.40,           1.19,           1.23,              0,              0
       121,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,          29.54,          35.09,           0.93,           0.79,          64.42,          35.11,           1.01,           0.81,              0,              0
       122,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,          40.91,          35.73,           0.49,           1.34,          41.88,          54.36,           0.90,           1.52,              0,              0
       123,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,          42.22,          39.82,           0.85,           0.64,          44.49,          42.38,           1.34,           0.90,              0,              0
       124,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,          32.11,          36.45,           0.48,           0.79,          46.36,          35.66,           1.01,           0.70,              0,              0
       125,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,          36.77,          31.96,           0.28,           0.87,          37.58,          26.09,           0.81,           1.09,              0,              0
       126,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,          37.65,          38.54,           0.14,           1.04,          26.44,          23.52,           0.57,           1.55,              0,              0
       127,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,          42.36,          36.73,           0.07,           1.06,          22.18,          29.72,           0.39,           0.98,              0,              0
       128,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,          34.19,          39.14,           0.04,           1.41,          33.23,          26.77,           0.56,           1.20,              0,              0
       129,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,          40.49,          34.65,              0,           0.83,          25.87,          30.31,           0.09,           0.85,              0,              0
       130,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,          45.96,          39.14,              0,           1.80,          26.64,          26.76,           0.07,           1.46,              0,              0
       131,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,          42.39,          44.43,              0,           1.06,          33.75,          24.99,           0.03,           0.98,              0,              0
       132,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,          38.25,          34.11,              0,           0.70,          27.63,          33.09,              0,           0.90,              0,              0
       133,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,          41.23,          41.78,              0,           0.53,          30.37,          26.01,              0,           1.00,              0,              0
       134,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,          50.63,          58.16,              0,           0.48,          24.23,          27.30,              0,           1.24,              0,              0
       135,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,          35.67,          36.15,              0,           0.03,          29.25,          45.54,           0.02,           0.31,              0,              0
       136,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,          35.93,          36.44,              0,           0.02,          40.14,          22.21,              0,           0.30,              0,              0
       137,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,          34.36,          35.17,              0,              0,          24.54,          20.71,              0,           0.36,              0,              0
       138,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,          28.36,          26.49,              0,              0,          26.10,          20.93,              0,           0.51,              0,              0
       139,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,          28.93,          33.29,              0,              0,          18.20,          14.26,              0,           0.37,              0,              0
       140,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,          13.93,          16.42,              0,              0,          15.81,           4.59,              0,           0.43,              0,              0
       141,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,          15.16,          15.27,              0,              0,           8.78,           3.55,              0,           0.29,              0,              0
