Bin,HBW,HBShp,HBOth,HBSch_Pr,HBSch_Sc,NHBW,NHBNW,LT,MD,HV,IX,IX_LT,IX_MD,IX_HV,XI,XI_LT,XI_MD,XI_HV,Tel_HBW,Tel_NHBW
       107,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,          68.45,          76.71,              0,              0,         103.95,         124.85,              0,              0,              0,              0
       108,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,          63.35,          68.03,              0,              0,          98.33,          92.89,              0,              0,              0,              0
       109,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,          58.08,          55.71,              0,              0,          81.16,          83.35,              0,              0,              0,              0
       110,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,          49.59,          62.97,              0,              0,          69.96,          81.98,              0,              0,              0,              0
       111,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,          44.53,          44.13,              0,              0,          68.48,          74.31,              0,              0,              0,              0
       112,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,          35.14,          45.06,              0,              0,          56.54,          60.14,              0,              0,              0,              0
       113,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,          30.09,          30.32,              0,              0,          62.80,          57.93,              0,              0,              0,              0
       114,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,          33.40,          34.05,              0,              0,          64.20,          67.88,              0,              0,              0,              0
       115,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,          38.99,          37.57,              0,              0,          49.36,          47.91,              0,              0,              0,              0
       116,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,          38.70,          41.51,              0,              0,          51.94,          51.25,              0,              0,              0,              0
       117,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,          25.80,          23.41,              0,              0,          26.81,          32.83,              0,              0,              0,              0
       118,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,          19.61,          18.44,              0,              0,          35.73,          27.97,              0,              0,              0,              0
       119,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,          25.19,          23.06,              0,              0,          46.34,          41.27,              0,              0,              0,              0
       120,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,          34.98,          37.62,              0,              0,          50.48,          56.72,              0,              0,              0,              0
       121,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,          36.88,          38.02,              0,              0,          53.52,          59.51,              0,              0,              0,              0
       122,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,          40.85,          43.55,              0,              0,         123.91,         120.63,              0,              0,              0,              0
       123,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,          46.61,          46.01,              0,              0,         134.08,         133.33,              0,              0,              0,              0
       124,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,          42.03,          40.06,              0,              0,         109.98,         103.68,              0,              0,              0,              0
       125,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,          31.45,          32.40,              0,              0,          51.59,          57.38,              0,              0,              0,              0
       126,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,          33.76,          34.00,              0,              0,          46.14,          43.21,              0,              0,              0,              0
       127,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,          35.91,          38.21,              0,              0,          35.54,          39.76,              0,              0,              0,              0
       128,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,          27.87,          28.97,              0,              0,          41.48,          45.53,              0,              0,              0,              0
       129,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,          40.20,          37.38,              0,              0,          23.84,          24.50,              0,              0,              0,              0
       130,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,          26.68,          27.94,              0,              0,          21.37,          21.26,              0,              0,              0,              0
       131,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,          23.30,          21.41,              0,              0,          12.93,          13.87,              0,              0,              0,              0
