;INDEX,CO_FIPS_split,YEAR,TOTPOP,GQPOP,HHPOP,HH,HHSIZE,POP0017,POP1864,POP65P,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,AGRI,MING,CONS,HBJ,Job_HH,WrkPop_Job,CO_NAME,Urban_Rural,Subarea
52049,5,2049,190577,5081,185496,66046,2.81,51458,113666,25453,112525,10331,4605,16092,3959,12337,17987,11193,23833,1738,170,5919,4361,1.7,1.01,CACHE,Urban,2 - Cache
52050,5,2050,192904,5219,187685,66846,2.81,51842,115279,25783,113492,10406,4615,16249,3961,12508,18162,11275,23929,1734,172,6037,4444,1.7,1.02,CACHE,Urban,2 - Cache
52051,5,2051,195177,5365,189812,67671,2.8,51993,117212,25972,114366,10469,4617,16418,3960,12645,18317,11348,24004,1731,174,6158,4525,1.69,1.02,CACHE,Urban,2 - Cache
52052,5,2052,197385,5511,191874,68519,2.8,51935,119356,26094,115189,10533,4620,16573,3958,12754,18475,11422,24073,1725,176,6277,4603,1.68,1.04,CACHE,Urban,2 - Cache
52053,5,2053,199539,5648,193891,69396,2.79,51719,121566,26254,115963,10589,4621,16701,3961,12828,18637,11502,24153,1721,177,6395,4678,1.67,1.05,CACHE,Urban,2 - Cache
52054,5,2054,201661,5772,195889,70305,2.79,51426,123865,26370,116671,10639,4619,16815,3959,12898,18791,11578,24212,1718,179,6515,4748,1.66,1.06,CACHE,Urban,2 - Cache
52055,5,2055,203761,5882,197879,71247,2.78,51082,126429,26250,117358,10690,4617,16914,3962,12957,18938,11648,24274,1712,179,6641,4826,1.65,1.08,CACHE,Urban,2 - Cache
52056,5,2056,205842,5978,199864,72218,2.77,50723,128826,26293,117943,10717,4609,16993,3966,13010,19074,11724,24349,1706,179,6722,4894,1.63,1.09,CACHE,Urban,2 - Cache
52057,5,2057,207903,6055,201848,73216,2.76,50380,131322,26201,118461,10734,4598,17082,3969,13063,19201,11785,24412,1701,175,6776,4965,1.62,1.11,CACHE,Urban,2 - Cache
52058,5,2058,209941,6118,203823,74228,2.75,50084,133779,26078,118952,10750,4586,17178,3968,13120,19318,11848,24469,1697,172,6816,5030,1.6,1.12,CACHE,Urban,2 - Cache
52059,5,2059,211967,6166,205801,75249,2.73,49864,136086,26017,119428,10767,4576,17275,3970,13174,19430,11906,24523,1690,171,6851,5095,1.59,1.14,CACHE,Urban,2 - Cache
52060,5,2060,213994,6206,207788,76273,2.72,49745,138163,26086,119917,10786,4565,17369,3973,13226,19544,11973,24578,1685,169,6885,5164,1.57,1.15,CACHE,Urban,2 - Cache
52061,5,2061,216020,6234,209786,77290,2.71,49746,139858,26416,120392,10808,4555,17465,3974,13277,19643,12039,24636,1679,168,6916,5232,1.56,1.16,CACHE,Urban,2 - Cache
52062,5,2062,218046,6256,211790,78290,2.71,49875,141003,27168,120880,10831,4544,17565,3975,13327,19751,12108,24692,1675,166,6947,5299,1.54,1.17,CACHE,Urban,2 - Cache
52063,5,2063,220071,6269,213802,79269,2.7,50133,142095,27843,121371,10856,4535,17668,3977,13373,19856,12175,24753,1671,165,6975,5367,1.53,1.17,CACHE,Urban,2 - Cache
52064,5,2064,222097,6283,215814,80216,2.69,50520,143141,28436,121858,10883,4526,17772,3978,13418,19959,12243,24811,1666,164,7001,5437,1.52,1.17,CACHE,Urban,2 - Cache
52065,5,2065,224129,6298,217831,81131,2.68,51027,143717,29385,122347,10910,4518,17876,3979,13462,20063,12312,24871,1662,164,7024,5506,1.51,1.17,CACHE,Urban,2 - Cache
72023,7,2023,20654,117,20537,7948,2.58,5037,11621,3996,11807,1280,784,523,898,392,2344,1218,2324,419,635,504,486,1.49,0.98,CARBON,Rural,0 - UDOT (Rural)
72024,7,2024,20442,118,20324,7897,2.57,4897,11515,4030,12084,1246,766,675,922,445,2370,1224,2472,421,548,509,486,1.53,0.95,CARBON,Rural,0 - UDOT (Rural)
72025,7,2025,20428,118,20310,7933,2.56,4934,11459,4035,12158,1231,760,685,933,446,2375,1254,2493,419,536,504,522,1.53,0.94,CARBON,Rural,0 - UDOT (Rural)
72026,7,2026,20443,169,20274,7970,2.54,4800,11549,4094,12237,1210,761,693,936,442,2366,1272,2511,419,543,557,527,1.54,0.94,CARBON,Rural,0 - UDOT (Rural)
72027,7,2027,20480,220,20260,8018,2.53,4688,11641,4151,12342,1203,763,701,941,438,2365,1286,2537,417,545,611,535,1.54,0.94,CARBON,Rural,0 - UDOT (Rural)
72028,7,2028,20493,220,20273,8076,2.51,4618,11688,4187,12331,1186,757,706,938,437,2372,1287,2570,416,516,609,537,1.53,0.95,CARBON,Rural,0 - UDOT (Rural)
72029,7,2029,20442,168,20274,8128,2.49,4547,11682,4213,12255,1173,744,713,940,440,2365,1286,2604,414,480,557,539,1.51,0.95,CARBON,Rural,0 - UDOT (Rural)
72030,7,2030,20416,116,20300,8186,2.48,4480,11716,4220,12197,1168,729,723,938,443,2351,1287,2631,412,466,506,543,1.49,0.96,CARBON,Rural,0 - UDOT (Rural)
72031,7,2031,20469,116,20353,8250,2.47,4422,11838,4209,12210,1169,713,736,937,443,2340,1291,2652,411,464,505,549,1.48,0.97,CARBON,Rural,0 - UDOT (Rural)
72032,7,2032,20547,117,20430,8318,2.46,4398,11946,4203,12264,1170,703,746,934,444,2338,1297,2678,409,482,506,557,1.47,0.97,CARBON,Rural,0 - UDOT (Rural)
72033,7,2033,20647,117,20530,8388,2.45,4407,12045,4195,12313,1167,696,755,927,445,2341,1298,2699,411,500,508,566,1.47,0.98,CARBON,Rural,0 - UDOT (Rural)
72034,7,2034,20763,117,20646,8460,2.44,4423,12133,4207,12410,1169,695,763,922,450,2349,1306,2739,412,516,512,577,1.47,0.98,CARBON,Rural,0 - UDOT (Rural)
72035,7,2035,20887,116,20771,8530,2.44,4458,12201,4228,12388,1165,683,772,910,453,2354,1303,2719,412,522,514,581,1.45,0.98,CARBON,Rural,0 - UDOT (Rural)
