PUMA,HHSIZE,INC,WRKS,COUNT
3000,5,>$150k,1,80
3000,5,>$150k,2,455
3000,5,>$150k,3,418
3000,6,$100k–$150k,1,264
3000,6,$100k–$150k,2,837
3000,6,$100k–$150k,3,411
3000,6,$50k–$100k,0,84
3000,6,$50k–$100k,1,342
3000,6,$50k–$100k,2,572
3000,6,$50k–$100k,3,327
3000,6,<$50k,0,32
3000,6,<$50k,1,167
3000,6,<$50k,2,136
3000,6,<$50k,3,6
3000,6,>$150k,1,198
3000,6,>$150k,2,336
3000,6,>$150k,3,831
5000,1,$100k–$150k,0,230
5000,1,$100k–$150k,1,382
5000,1,$50k–$100k,0,747
5000,1,$50k–$100k,1,1875
5000,1,<$50k,0,3144
5000,1,<$50k,1,3139
5000,1,>$150k,0,176
5000,1,>$150k,1,531
5000,2,$100k–$150k,0,850
5000,2,$100k–$150k,1,1038
5000,2,$100k–$150k,2,2001
5000,2,$50k–$100k,0,1804
5000,2,$50k–$100k,1,1787
5000,2,$50k–$100k,2,3612
5000,2,<$50k,0,1906
5000,2,<$50k,1,2193
5000,2,<$50k,2,2271
5000,2,>$150k,0,695
5000,2,>$150k,1,1422
5000,2,>$150k,2,2167
5000,3,$100k–$150k,0,82
5000,3,$100k–$150k,1,522
5000,3,$100k–$150k,2,970
5000,3,$100k–$150k,3,301
5000,3,$50k–$100k,0,179
5000,3,$50k–$100k,1,913
5000,3,$50k–$100k,2,1292
5000,3,$50k–$100k,3,724
5000,3,<$50k,0,401
5000,3,<$50k,1,992
5000,3,<$50k,2,742
5000,3,<$50k,3,343
5000,3,>$150k,0,58
5000,3,>$150k,1,467
5000,3,>$150k,2,1057
5000,3,>$150k,3,547
5000,4,$100k–$150k,0,38
5000,4,$100k–$150k,1,188
5000,4,$100k–$150k,2,1021
5000,4,$100k–$150k,3,651
5000,4,$50k–$100k,0,18
5000,4,$50k–$100k,1,761
5000,4,$50k–$100k,2,965
5000,4,$50k–$100k,3,557
5000,4,<$50k,0,80
5000,4,<$50k,1,1137
5000,4,<$50k,2,388
5000,4,<$50k,3,332
5000,4,>$150k,0,27
5000,4,>$150k,1,441
5000,4,>$150k,2,1239
5000,4,>$150k,3,855
5000,5,$100k–$150k,1,409
5000,5,$100k–$150k,2,652
5000,5,$100k–$150k,3,433
5000,5,$50k–$100k,0,27
5000,5,$50k–$100k,1,748
5000,5,$50k–$100k,2,1133
5000,5,$50k–$100k,3,438
5000,5,<$50k,0,37
5000,5,<$50k,1,396
5000,5,<$50k,2,317
5000,5,<$50k,3,3
5000,5,>$150k,1,258
5000,5,>$150k,2,569
5000,5,>$150k,3,603
5000,6,$100k–$150k,0,9
5000,6,$100k–$150k,1,354
5000,6,$100k–$150k,2,678
5000,6,$100k–$150k,3,624
5000,6,$50k–$100k,1,562
5000,6,$50k–$100k,2,670
5000,6,$50k–$100k,3,491
5000,6,<$50k,0,33
5000,6,<$50k,1,461
5000,6,<$50k,2,297
5000,6,<$50k,3,22
5000,6,>$150k,1,309
5000,6,>$150k,2,603
5000,6,>$150k,3,622
11002,1,$100k–$150k,0,47
11002,1,$100k–$150k,1,1148
11002,1,$50k–$100k,0,528
11002,1,$50k–$100k,1,1546
11002,1,<$50k,0,2109
11002,1,<$50k,1,1742
11002,1,>$150k,0,122
11002,1,>$150k,1,371
11002,2,$100k–$150k,0,470
11002,2,$100k–$150k,1,786
11002,2,$100k–$150k,2,1841
11002,2,$50k–$100k,0,1498
11002,2,$50k–$100k,1,1046
11002,2,$50k–$100k,2,2158
11002,2,<$50k,0,851
11002,2,<$50k,1,739
11002,2,<$50k,2,487
11002,2,>$150k,0,368
11002,2,>$150k,1,741
11002,2,>$150k,2,1490
11002,3,$100k–$150k,0,42
11002,3,$100k–$150k,1,417
11002,3,$100k–$150k,2,1120
11002,3,$100k–$150k,3,421
11002,3,$50k–$100k,0,73
11002,3,$50k–$100k,1,494
11002,3,$50k–$100k,2,901
11002,3,$50k–$100k,3,374
11002,3,<$50k,0,114
11002,3,<$50k,1,221
11002,3,<$50k,2,344
11002,3,>$150k,0,38
11002,3,>$150k,1,295
11002,3,>$150k,2,813
11002,3,>$150k,3,642
11002,4,$100k–$150k,1,323
11002,4,$100k–$150k,2,1074
11002,4,$100k–$150k,3,467
11002,4,$50k–$100k,0,16
11002,4,$50k–$100k,1,471
11002,4,$50k–$100k,2,420
11002,4,$50k–$100k,3,185
11002,4,<$50k,0,37
11002,4,<$50k,1,723
11002,4,<$50k,2,99
11002,4,<$50k,3,72
11002,4,>$150k,0,11
11002,4,>$150k,1,199
11002,4,>$150k,2,871
11002,4,>$150k,3,793
11002,5,$100k–$150k,1,531
11002,5,$100k–$150k,2,925
11002,5,$100k–$150k,3,449
11002,5,$50k–$100k,0,12
11002,5,$50k–$100k,1,428
11002,5,$50k–$100k,2,268
11002,5,$50k–$100k,3,120
11002,5,<$50k,0,40
11002,5,<$50k,1,348
11002,5,<$50k,2,110
11002,5,<$50k,3,20
11002,5,>$150k,0,17
11002,5,>$150k,1,298
11002,5,>$150k,2,752
11002,5,>$150k,3,478
11002,6,$100k–$150k,1,536
11002,6,$100k–$150k,2,249
11002,6,$100k–$150k,3,305
11002,6,$50k–$100k,0,10
11002,6,$50k–$100k,1,287
11002,6,$50k–$100k,2,395
11002,6,$50k–$100k,3,41
11002,6,<$50k,0,34
11002,6,<$50k,1,389
11002,6,<$50k,2,165
11002,6,>$150k,0,35
11002,6,>$150k,1,360
11002,6,>$150k,2,520
11002,6,>$150k,3,664
11003,1,$100k–$150k,1,239
11003,1,$50k–$100k,0,373
11003,1,$50k–$100k,1,1005
11003,1,<$50k,0,1834
11003,1,<$50k,1,934
11003,1,>$150k,1,7
11003,2,$100k–$150k,0,249
11003,2,$100k–$150k,1,649
11003,2,$100k–$150k,2,921
11003,2,$50k–$100k,0,869
11003,2,$50k–$100k,1,1106
11003,2,$50k–$100k,2,1431
11003,2,<$50k,0,649
11003,2,<$50k,1,616
11003,2,<$50k,2,371
11003,2,>$150k,0,250
11003,2,>$150k,1,410
11003,2,>$150k,2,1191
11003,3,$100k–$150k,1,216
11003,3,$100k–$150k,2,748
11003,3,$100k–$150k,3,559
11003,3,$50k–$100k,0,272
11003,3,$50k–$100k,1,580
11003,3,$50k–$100k,2,483
11003,3,$50k–$100k,3,149
11003,3,<$50k,0,176
11003,3,<$50k,1,388
11003,3,<$50k,2,203
11003,3,<$50k,3,15
11003,3,>$150k,0,36
11003,3,>$150k,1,88
11003,3,>$150k,2,687
11003,3,>$150k,3,509
11003,4,$100k–$150k,1,257
11003,4,$100k–$150k,2,818
11003,4,$100k–$150k,3,469
11003,4,$50k–$100k,1,498
11003,4,$50k–$100k,2,1135
11003,4,$50k–$100k,3,120
11003,4,<$50k,0,25
11003,4,<$50k,1,375
11003,4,<$50k,2,250
11003,4,>$150k,1,99
11003,4,>$150k,2,534
11003,4,>$150k,3,829
11003,5,$100k–$150k,1,408
11003,5,$100k–$150k,2,319
11003,5,$100k–$150k,3,293
11003,5,$50k–$100k,0,16
11003,5,$50k–$100k,1,453
11003,5,$50k–$100k,2,423
11003,5,$50k–$100k,3,195
11003,5,<$50k,0,21
11003,5,<$50k,1,188
11003,5,<$50k,2,88
11003,5,<$50k,3,18
11003,5,>$150k,1,278
11003,5,>$150k,2,543
11003,5,>$150k,3,572
11003,6,$100k–$150k,1,119
11003,6,$100k–$150k,2,370
11003,6,$100k–$150k,3,373
11003,6,$50k–$100k,1,188
11003,6,$50k–$100k,2,663
11003,6,$50k–$100k,3,131
11003,6,<$50k,1,171
11003,6,<$50k,2,98
11003,6,>$150k,1,252
11003,6,>$150k,2,460
11003,6,>$150k,3,756
11004,1,$100k–$150k,0,56
11004,1,$100k–$150k,1,498
11004,1,$50k–$100k,0,586
11004,1,$50k–$100k,1,2096
11004,1,<$50k,0,2345
11004,1,<$50k,1,1810
11004,1,>$150k,0,77
11004,1,>$150k,1,291
11004,2,$100k–$150k,0,262
11004,2,$100k–$150k,1,749
11004,2,$100k–$150k,2,1492
11004,2,$50k–$100k,0,1019
11004,2,$50k–$100k,1,1602
11004,2,$50k–$100k,2,2613
11004,2,<$50k,0,1236
11004,2,<$50k,1,650
11004,2,<$50k,2,172
11004,2,>$150k,0,239
11004,2,>$150k,1,625
11004,2,>$150k,2,1417
11004,3,$100k–$150k,0,59
11004,3,$100k–$150k,1,501
11004,3,$100k–$150k,2,1017
11004,3,$100k–$150k,3,405
11004,3,$50k–$100k,0,104
11004,3,$50k–$100k,1,789
11004,3,$50k–$100k,2,1041
11004,3,$50k–$100k,3,241
11004,3,<$50k,0,164
11004,3,<$50k,1,736
11004,3,<$50k,2,333
11004,3,>$150k,0,61
11004,3,>$150k,1,301
11004,3,>$150k,2,670
11004,3,>$150k,3,1101
11004,4,$100k–$150k,1,447
11004,4,$100k–$150k,2,1138
11004,4,$100k–$150k,3,357
11004,4,$50k–$100k,1,959
11004,4,$50k–$100k,2,755
11004,4,$50k–$100k,3,286
11004,4,<$50k,0,26
11004,4,<$50k,1,521
11004,4,<$50k,2,83
11004,4,<$50k,3,34
11004,4,>$150k,1,445
11004,4,>$150k,2,872
11004,4,>$150k,3,1127
11004,5,$100k–$150k,1,192
11004,5,$100k–$150k,2,592
11004,5,$100k–$150k,3,310
11004,5,$50k–$100k,0,37
11004,5,$50k–$100k,1,411
11004,5,$50k–$100k,2,602
11004,5,$50k–$100k,3,181
11004,5,<$50k,0,37
11004,5,<$50k,1,307
11004,5,<$50k,2,65
11004,5,<$50k,3,117
11004,5,>$150k,1,162
11004,5,>$150k,2,445
11004,5,>$150k,3,547
11004,6,$100k–$150k,1,313
11004,6,$100k–$150k,2,398
11004,6,$100k–$150k,3,584
11004,6,$50k–$100k,1,433
11004,6,$50k–$100k,2,611
11004,6,$50k–$100k,3,215
11004,6,<$50k,1,89
11004,6,<$50k,2,165
11004,6,<$50k,3,8
11004,6,>$150k,1,285
11004,6,>$150k,2,391
11004,6,>$150k,3,807
13000,1,$100k–$150k,0,63
13000,1,$100k–$150k,1,253
13000,1,$50k–$100k,0,498
13000,1,$50k–$100k,1,1829
13000,1,<$50k,0,5587
13000,1,<$50k,1,3366
13000,1,>$150k,0,124
13000,1,>$150k,1,327
13000,2,$100k–$150k,0,491
13000,2,$100k–$150k,1,696
13000,2,$100k–$150k,2,1835
13000,2,$50k–$100k,0,1717
13000,2,$50k–$100k,1,1833
13000,2,$50k–$100k,2,2161
13000,2,<$50k,0,2908
13000,2,<$50k,1,1659
13000,2,<$50k,2,1139
13000,2,>$150k,0,650
13000,2,>$150k,1,928
13000,2,>$150k,2,1077
13000,3,$100k–$150k,0,39
13000,3,$100k–$150k,1,297
13000,3,$100k–$150k,2,763
13000,3,$100k–$150k,3,148
13000,3,$50k–$100k,0,82
13000,3,$50k–$100k,1,886
13000,3,$50k–$100k,2,1083
13000,3,$50k–$100k,3,328
13000,3,<$50k,0,640
13000,3,<$50k,1,1206
13000,3,<$50k,2,343
13000,3,>$150k,0,33
13000,3,>$150k,1,136
13000,3,>$150k,2,696
13000,3,>$150k,3,319
13000,4,$100k–$150k,0,2
13000,4,$100k–$150k,1,186
13000,4,$100k–$150k,2,693
13000,4,$100k–$150k,3,423
13000,4,$50k–$100k,0,45
13000,4,$50k–$100k,1,1112
13000,4,$50k–$100k,2,1027
13000,4,$50k–$100k,3,433
13000,4,<$50k,0,262
13000,4,<$50k,1,569
13000,4,<$50k,2,253
13000,4,<$50k,3,6
13000,4,>$150k,0,3
13000,4,>$150k,1,83
13000,4,>$150k,2,839
13000,4,>$150k,3,239
13000,5,$100k–$150k,1,180
13000,5,$100k–$150k,2,470
13000,5,$100k–$150k,3,329
13000,5,$50k–$100k,0,2
13000,5,$50k–$100k,1,762
13000,5,$50k–$100k,2,711
13000,5,$50k–$100k,3,109
13000,5,<$50k,0,149
13000,5,<$50k,1,871
13000,5,<$50k,2,241
13000,5,<$50k,3,15
13000,5,>$150k,0,47
13000,5,>$150k,1,82
13000,5,>$150k,2,297
13000,5,>$150k,3,232
13000,6,$100k–$150k,1,228
13000,6,$100k–$150k,2,343
13000,6,$100k–$150k,3,154
13000,6,$50k–$100k,0,7
13000,6,$50k–$100k,1,815
13000,6,$50k–$100k,2,834
13000,6,$50k–$100k,3,215
13000,6,<$50k,0,108
13000,6,<$50k,1,284
13000,6,<$50k,2,138
13000,6,<$50k,3,23
13000,6,>$150k,1,453
13000,6,>$150k,2,505
13000,6,>$150k,3,549
21000,1,$100k–$150k,0,71
21000,1,$100k–$150k,1,110
21000,1,$50k–$100k,0,721
21000,1,$50k–$100k,1,1252
21000,1,<$50k,0,4980
21000,1,<$50k,1,3265
21000,1,>$150k,0,116
21000,1,>$150k,1,59
21000,2,$100k–$150k,0,744
21000,2,$100k–$150k,1,776
21000,2,$100k–$150k,2,1429
21000,2,$50k–$100k,0,2267
21000,2,$50k–$100k,1,2474
21000,2,$50k–$100k,2,2992
21000,2,<$50k,0,3127
21000,2,<$50k,1,2049
21000,2,<$50k,2,1444
21000,2,>$150k,0,237
21000,2,>$150k,1,440
21000,2,>$150k,2,868
21000,3,$100k–$150k,0,33
21000,3,$100k–$150k,1,179
21000,3,$100k–$150k,2,909
21000,3,$100k–$150k,3,363
21000,3,$50k–$100k,0,214
21000,3,$50k–$100k,1,808
21000,3,$50k–$100k,2,1514
21000,3,$50k–$100k,3,381
21000,3,<$50k,0,480
21000,3,<$50k,1,950
21000,3,<$50k,2,502
21000,3,<$50k,3,76
21000,3,>$150k,0,17
21000,3,>$150k,1,143
21000,3,>$150k,2,420
21000,3,>$150k,3,300
21000,4,$100k–$150k,0,75
21000,4,$100k–$150k,1,132
21000,4,$100k–$150k,2,928
21000,4,$100k–$150k,3,673
21000,4,$50k–$100k,0,101
21000,4,$50k–$100k,1,800
21000,4,$50k–$100k,2,1981
21000,4,$50k–$100k,3,411
21000,4,<$50k,0,99
21000,4,<$50k,1,1006
21000,4,<$50k,2,277
21000,4,<$50k,3,157
21000,4,>$150k,0,10
21000,4,>$150k,1,69
21000,4,>$150k,2,275
21000,4,>$150k,3,425
21000,5,$100k–$150k,1,123
21000,5,$100k–$150k,2,487
21000,5,$100k–$150k,3,313
21000,5,$50k–$100k,0,4
21000,5,$50k–$100k,1,504
21000,5,$50k–$100k,2,864
21000,5,$50k–$100k,3,350
21000,5,<$50k,0,13
21000,5,<$50k,1,771
21000,5,<$50k,2,362
21000,5,<$50k,3,24
21000,5,>$150k,1,88
21000,5,>$150k,2,221
21000,5,>$150k,3,298
21000,6,$100k–$150k,0,8
21000,6,$100k–$150k,1,126
21000,6,$100k–$150k,2,369
21000,6,$100k–$150k,3,407
21000,6,$50k–$100k,0,2
21000,6,$50k–$100k,1,500
21000,6,$50k–$100k,2,800
21000,6,$50k–$100k,3,527
21000,6,<$50k,0,16
21000,6,<$50k,1,338
21000,6,<$50k,2,432
21000,6,<$50k,3,16
21000,6,>$150k,1,73
21000,6,>$150k,2,218
21000,6,>$150k,3,695
35008,1,$100k–$150k,0,52
35008,1,$100k–$150k,1,617
35008,1,$50k–$100k,0,715
35008,1,$50k–$100k,1,2550
35008,1,<$50k,0,2781
35008,1,<$50k,1,2111
35008,1,>$150k,0,54
35008,1,>$150k,1,492
35008,2,$100k–$150k,0,356
35008,2,$100k–$150k,1,756
35008,2,$100k–$150k,2,1455
35008,2,$50k–$100k,0,1320
35008,2,$50k–$100k,1,1311
35008,2,$50k–$100k,2,2353
35008,2,<$50k,0,1315
35008,2,<$50k,1,929
35008,2,<$50k,2,622
35008,2,>$150k,0,369
35008,2,>$150k,1,908
35008,2,>$150k,2,1875
35008,3,$100k–$150k,0,45
35008,3,$100k–$150k,1,403
35008,3,$100k–$150k,2,964
35008,3,$100k–$150k,3,623
35008,3,$50k–$100k,0,97
35008,3,$50k–$100k,1,766
35008,3,$50k–$100k,2,763
35008,3,$50k–$100k,3,535
35008,3,<$50k,0,110
35008,3,<$50k,1,678
35008,3,<$50k,2,281
35008,3,<$50k,3,62
35008,3,>$150k,0,10
35008,3,>$150k,1,228
35008,3,>$150k,2,1112
35008,3,>$150k,3,525
35008,4,$100k–$150k,1,207
35008,4,$100k–$150k,2,648
35008,4,$100k–$150k,3,509
35008,4,$50k–$100k,1,349
35008,4,$50k–$100k,2,739
35008,4,$50k–$100k,3,345
35008,4,<$50k,0,236
35008,4,<$50k,1,470
35008,4,<$50k,2,235
35008,4,<$50k,3,37
35008,4,>$150k,0,15
35008,4,>$150k,1,289
35008,4,>$150k,2,820
35008,4,>$150k,3,786
35008,5,$100k–$150k,1,94
35008,5,$100k–$150k,2,398
35008,5,$100k–$150k,3,421
35008,5,$50k–$100k,1,264
35008,5,$50k–$100k,2,358
35008,5,$50k–$100k,3,211
35008,5,<$50k,0,43
35008,5,<$50k,1,116
35008,5,<$50k,2,201
35008,5,>$150k,1,143
35008,5,>$150k,2,282
35008,5,>$150k,3,365
35008,6,$100k–$150k,1,180
35008,6,$100k–$150k,2,111
35008,6,$100k–$150k,3,108
35008,6,$50k–$100k,0,11
35008,6,$50k–$100k,1,52
35008,6,$50k–$100k,2,301
35008,6,$50k–$100k,3,41
35008,6,<$50k,1,49
35008,6,<$50k,2,18
35008,6,<$50k,3,17
35008,6,>$150k,1,135
35008,6,>$150k,2,131
35008,6,>$150k,3,382
35009,1,$100k–$150k,0,46
35009,1,$100k–$150k,1,771
35009,1,$50k–$100k,0,778
35009,1,$50k–$100k,1,1780
35009,1,<$50k,0,2197
35009,1,<$50k,1,1315
35009,1,>$150k,0,146
35009,1,>$150k,1,933
35009,2,$100k–$150k,0,387
35009,2,$100k–$150k,1,625
35009,2,$100k–$150k,2,1318
35009,2,$50k–$100k,0,1485
35009,2,$50k–$100k,1,711
35009,2,$50k–$100k,2,1976
35009,2,<$50k,0,1139
35009,2,<$50k,1,439
35009,2,<$50k,2,428
35009,2,>$150k,0,323
35009,2,>$150k,1,1147
35009,2,>$150k,2,1927
35009,3,$100k–$150k,1,485
35009,3,$100k–$150k,2,866
35009,3,$100k–$150k,3,253
35009,3,$50k–$100k,0,66
35009,3,$50k–$100k,1,484
35009,3,$50k–$100k,2,672
35009,3,$50k–$100k,3,216
35009,3,<$50k,0,151
35009,3,<$50k,1,246
35009,3,<$50k,2,295
35009,3,<$50k,3,41
35009,3,>$150k,1,361
35009,3,>$150k,2,1108
35009,3,>$150k,3,649
35009,4,$100k–$150k,1,298
35009,4,$100k–$150k,2,701
35009,4,$100k–$150k,3,329
35009,4,$50k–$100k,0,30
35009,4,$50k–$100k,1,138
35009,4,$50k–$100k,2,475
35009,4,$50k–$100k,3,229
35009,4,<$50k,0,36
35009,4,<$50k,1,220
35009,4,<$50k,2,75
35009,4,<$50k,3,14
35009,4,>$150k,0,13
35009,4,>$150k,1,389
35009,4,>$150k,2,1362
35009,4,>$150k,3,863
35009,5,$100k–$150k,1,244
35009,5,$100k–$150k,2,401
35009,5,$100k–$150k,3,221
35009,5,$50k–$100k,0,15
35009,5,$50k–$100k,1,334
35009,5,$50k–$100k,2,174
35009,5,$50k–$100k,3,84
35009,5,<$50k,1,120
35009,5,<$50k,2,60
35009,5,<$50k,3,25
35009,5,>$150k,0,19
35009,5,>$150k,1,456
35009,5,>$150k,2,748
35009,5,>$150k,3,586
35009,6,$100k–$150k,1,599
35009,6,$100k–$150k,2,330
35009,6,$100k–$150k,3,133
35009,6,$50k–$100k,1,196
35009,6,$50k–$100k,2,149
35009,6,$50k–$100k,3,75
35009,6,<$50k,0,22
35009,6,<$50k,1,66
35009,6,<$50k,2,87
35009,6,<$50k,3,25
35009,6,>$150k,0,13
35009,6,>$150k,1,402
35009,6,>$150k,2,379
35009,6,>$150k,3,643
35011,1,$100k–$150k,0,44
35011,1,$100k–$150k,1,988
35011,1,$50k–$100k,0,734
35011,1,$50k–$100k,1,4640
35011,1,<$50k,0,5297
35011,1,<$50k,1,6432
35011,1,>$150k,1,535
35011,2,$100k–$150k,0,111
35011,2,$100k–$150k,1,592
35011,2,$100k–$150k,2,2114
35011,2,$50k–$100k,0,470
35011,2,$50k–$100k,1,1370
35011,2,$50k–$100k,2,3054
35011,2,<$50k,0,1307
35011,2,<$50k,1,1853
35011,2,<$50k,2,812
35011,2,>$150k,0,219
35011,2,>$150k,1,359
35011,2,>$150k,2,1846
35011,3,$100k–$150k,0,25
35011,3,$100k–$150k,1,179
35011,3,$100k–$150k,2,561
35011,3,$100k–$150k,3,692
35011,3,$50k–$100k,0,57
35011,3,$50k–$100k,1,275
35011,3,$50k–$100k,2,946
35011,3,$50k–$100k,3,384
35011,3,<$50k,0,274
35011,3,<$50k,1,740
35011,3,<$50k,2,263
35011,3,<$50k,3,193
35011,3,>$150k,0,38
35011,3,>$150k,1,84
35011,3,>$150k,2,608
35011,3,>$150k,3,227
35011,4,$100k–$150k,1,74
35011,4,$100k–$150k,2,385
35011,4,$100k–$150k,3,607
35011,4,$50k–$100k,0,72
35011,4,$50k–$100k,1,308
35011,4,$50k–$100k,2,688
35011,4,$50k–$100k,3,99
35011,4,<$50k,0,126
35011,4,<$50k,1,316
35011,4,<$50k,2,374
35011,4,<$50k,3,31
35011,4,>$150k,1,88
35011,4,>$150k,2,289
35011,4,>$150k,3,247
35011,5,$100k–$150k,1,38
35011,5,$100k–$150k,2,208
35011,5,$100k–$150k,3,265
35011,5,$50k–$100k,1,198
35011,5,$50k–$100k,2,211
35011,5,$50k–$100k,3,236
35011,5,<$50k,0,26
35011,5,<$50k,1,567
35011,5,<$50k,2,151
35011,5,>$150k,1,88
35011,5,>$150k,2,196
35011,5,>$150k,3,278
35011,6,$100k–$150k,1,27
35011,6,$100k–$150k,2,66
35011,6,$100k–$150k,3,350
35011,6,$50k–$100k,1,112
35011,6,$50k–$100k,2,405
35011,6,$50k–$100k,3,61
35011,6,<$50k,1,143
35011,6,<$50k,2,54
35011,6,>$150k,2,48
35011,6,>$150k,3,448
35012,1,$100k–$150k,0,110
35012,1,$100k–$150k,1,1142
35012,1,$50k–$100k,0,1035
35012,1,$50k–$100k,1,4226
35012,1,<$50k,0,3812
35012,1,<$50k,1,5324
35012,1,>$150k,0,189
35012,1,>$150k,1,603
35012,2,$100k–$150k,0,373
35012,2,$100k–$150k,1,702
35012,2,$100k–$150k,2,2056
35012,2,$50k–$100k,0,1146
35012,2,$50k–$100k,1,1278
35012,2,$50k–$100k,2,2783
35012,2,<$50k,0,734
35012,2,<$50k,1,1340
35012,2,<$50k,2,1065
35012,2,>$150k,0,584
35012,2,>$150k,1,1123
35012,2,>$150k,2,2557
35012,3,$100k–$150k,0,4
35012,3,$100k–$150k,1,124
35012,3,$100k–$150k,2,454
35012,3,$100k–$150k,3,209
35012,3,$50k–$100k,0,53
35012,3,$50k–$100k,1,397
35012,3,$50k–$100k,2,850
35012,3,$50k–$100k,3,314
35012,3,<$50k,0,164
35012,3,<$50k,1,474
35012,3,<$50k,2,322
35012,3,<$50k,3,170
35012,3,>$150k,0,24
35012,3,>$150k,1,266
35012,3,>$150k,2,1029
35012,3,>$150k,3,449
35012,4,$100k–$150k,1,77
35012,4,$100k–$150k,2,294
35012,4,$100k–$150k,3,281
35012,4,$50k–$100k,1,159
35012,4,$50k–$100k,2,391
35012,4,$50k–$100k,3,219
35012,4,<$50k,0,10
35012,4,<$50k,1,84
35012,4,<$50k,2,122
35012,4,<$50k,3,173
35012,4,>$150k,1,262
35012,4,>$150k,2,1454
35012,4,>$150k,3,393
35012,5,$100k–$150k,2,107
35012,5,$100k–$150k,3,32
35012,5,$50k–$100k,1,110
35012,5,$50k–$100k,2,87
35012,5,$50k–$100k,3,90
35012,5,<$50k,0,55
35012,5,<$50k,1,98
35012,5,<$50k,2,18
35012,5,<$50k,3,31
35012,5,>$150k,0,14
35012,5,>$150k,1,252
35012,5,>$150k,2,191
35012,5,>$150k,3,231
35012,6,$100k–$150k,1,14
35012,6,$100k–$150k,2,93
35012,6,$100k–$150k,3,28
35012,6,$50k–$100k,1,64
35012,6,$50k–$100k,2,165
35012,6,$50k–$100k,3,83
35012,6,<$50k,1,45
35012,6,>$150k,1,183
35012,6,>$150k,2,128
35012,6,>$150k,3,115
35013,1,$100k–$150k,0,11
35013,1,$100k–$150k,1,149
35013,1,$50k–$100k,0,319
35013,1,$50k–$100k,1,1493
35013,1,<$50k,0,2504
35013,1,<$50k,1,2369
35013,1,>$150k,0,34
35013,1,>$150k,1,16
35013,2,$100k–$150k,0,82
35013,2,$100k–$150k,1,377
35013,2,$100k–$150k,2,1124
35013,2,$50k–$100k,0,654
35013,2,$50k–$100k,1,1588
35013,2,$50k–$100k,2,2490
35013,2,<$50k,0,1063
35013,2,<$50k,1,1243
35013,2,<$50k,2,737
35013,2,>$150k,0,11
35013,2,>$150k,1,113
35013,2,>$150k,2,410
35013,3,$100k–$150k,0,11
35013,3,$100k–$150k,1,265
35013,3,$100k–$150k,2,1064
35013,3,$100k–$150k,3,593
35013,3,$50k–$100k,0,40
35013,3,$50k–$100k,1,776
35013,3,$50k–$100k,2,1634
35013,3,$50k–$100k,3,381
35013,3,<$50k,0,151
35013,3,<$50k,1,517
35013,3,<$50k,2,340
35013,3,<$50k,3,151
35013,3,>$150k,1,70
35013,3,>$150k,2,301
35013,3,>$150k,3,466
35013,4,$100k–$150k,1,69
35013,4,$100k–$150k,2,881
35013,4,$100k–$150k,3,826
35013,4,$50k–$100k,0,11
35013,4,$50k–$100k,1,552
35013,4,$50k–$100k,2,968
35013,4,$50k–$100k,3,619
35013,4,<$50k,0,87
35013,4,<$50k,1,592
35013,4,<$50k,2,356
35013,4,<$50k,3,49
35013,4,>$150k,1,67
35013,4,>$150k,2,251
35013,4,>$150k,3,666
35013,5,$100k–$150k,1,101
35013,5,$100k–$150k,2,345
35013,5,$100k–$150k,3,677
