Bin,HBW,HBShp,HBOth,HBSch_Pr,HBSch_Sc,NHBW,NHBNW,IX,IX_LT,IX_MD,IX_HV,XI,XI_LT,XI_MD,XI_HV,II_LT_D2D,II_LT_HnS,II_LT_Lcl,II_LT_Reg,II_LT_LHl,II_LT_Unk,II_MD_D2D,II_MD_HnS,II_MD_Lcl,II_MD_Reg,II_MD_LHl,II_MD_Unk,II_HV_D2D,II_HV_HnS,II_HV_Lcl,II_HV_Reg,II_HV_LHl,II_HV_Unk
        22,       16731.66,         771.09,       14246.41,         130.62,         336.65,        4737.34,        4813.13,        2879.04,              0,         245.99,         286.14,        4021.25,              0,         310.86,         362.65,          42.77,         302.56,        1312.20,         329.55,         100.38,         441.56,          20.79,         592.09,         809.48,          47.71,           5.12,          42.57,          41.05,          17.60,          68.95,          15.98,           7.56,          23.46
        23,       14528.10,         696.94,       12893.41,         119.42,         269.81,        4264.95,        4283.28,        2973.31,              0,         184.71,         190.52,        2922.20,              0,         255.65,         274.02,          34.20,         275.19,        1240.83,         313.23,          92.51,         408.44,          16.10,         465.71,         793.48,          37.78,           6.09,          42.53,          38.51,          20.92,          73.12,          20.09,           9.31,          27.44
        24,       12750.57,         662.93,       11361.67,         102.44,         251.69,        3937.79,        3882.01,        2794.84,              0,         157.36,         220.59,        2400.93,              0,         216.62,         310.71,           7.68,         258.00,        1186.70,         307.31,          93.39,         385.08,          14.73,         403.71,         745.64,          32.83,           5.31,          37.66,          32.40,          18.04,          71.08,          17.10,           7.82,          22.86
        25,       11703.80,         626.92,       10209.54,          89.43,         225.83,        3807.02,        3697.12,        2697.69,              0,         187.72,         248.60,        2660.72,              0,         249.23,         339.13,           2.93,         248.47,        1150.28,         304.90,          98.77,         371.59,          14.74,         329.38,         726.60,          27.34,           5.96,          36.10,          38.56,          21.33,          77.35,          20.41,           9.62,          27.55
        26,       11016.73,         585.97,        9528.44,          75.82,         206.83,        3664.21,        3490.12,        2412.87,              0,         192.78,         259.69,        2042.48,              0,         257.13,         356.33,           0.06,         236.50,        1094.53,         293.67,          96.86,         357.28,          12.83,         273.60,         707.12,          23.90,           5.70,          36.51,          30.36,          17.93,          72.32,          15.80,           7.08,          21.69
        27,        9929.40,         578.91,        8701.01,          73.68,         160.91,        3425.57,        3138.21,        2299.89,              0,         135.61,         161.51,        1571.35,              0,         184.86,         220.57,              0,         224.23,        1016.46,         270.16,          90.45,         336.69,          10.55,         227.33,         665.25,          19.83,           5.83,          37.20,          26.77,          14.96,          59.81,          12.20,           5.50,          18.37
        28,        9101.06,         549.11,        8097.16,          70.53,         133.99,        3118.99,        2783.43,        2120.94,              0,         183.61,         183.45,        1806.42,              0,         255.42,         238.84,              0,         210.30,         950.24,         250.41,          76.88,         313.91,           8.76,         230.97,         597.33,          18.67,           3.52,          26.05,          19.46,          12.53,          51.52,           9.12,           4.15,          13.70
        29,        8406.53,         554.83,        7840.48,          61.15,         111.07,        2848.88,        2491.36,        1976.83,              0,         151.46,         164.33,        1468.13,              0,         212.09,         214.46,              0,         209.12,         918.00,         247.84,          84.27,         308.75,          10.54,         183.03,         549.97,          15.98,           3.54,          23.66,          16.88,          10.24,          47.81,           6.97,           2.99,          10.32
        30,        7478.22,         596.74,        6771.27,          62.74,          91.70,        2537.30,        2223.98,        1953.04,              0,         121.34,          96.01,        1337.54,              0,         171.14,         127.60,              0,         191.81,         857.83,         239.24,          73.98,         285.00,           8.43,         163.49,         502.71,          14.13,           3.41,          22.62,          17.23,           7.66,          37.40,           5.61,           2.39,           8.60
        31,        6681.07,         634.67,        6242.24,          55.62,          71.72,        2386.16,        2018.71,        1945.14,              0,         141.29,         110.03,        1380.20,              0,         190.57,         138.53,              0,         185.42,         819.50,         232.83,          74.14,         270.37,           8.85,         219.92,         470.44,          15.75,           3.02,          21.42,          17.00,           7.29,          42.68,           4.87,           2.27,           8.07
