"SITE","DATE_ONLY","HOUR","LENGTH_BIN","LENGTH_DEF","COUNT"
"-0307",09/01/2023,8,1,"L0-8",0
"-0307",09/01/2023,8,2,"L8-20",713
"-0307",09/01/2023,8,3,"L20-30",195
"-0307",09/01/2023,8,4,"L30-50",87
"-0307",09/01/2023,8,5,"L50-79",201
"-0307",09/01/2023,8,6,"L79-120",57
"-0307",09/01/2023,9,1,"L0-8",1
"-0307",09/01/2023,9,2,"L8-20",708
"-0307",09/01/2023,9,3,"L20-30",187
"-0307",09/01/2023,9,4,"L30-50",128
"-0307",09/01/2023,9,5,"L50-79",207
"-0307",09/01/2023,9,6,"L79-120",56
"-0307",09/01/2023,10,1,"L0-8",0
"-0307",09/01/2023,10,2,"L8-20",769
"-0307",09/01/2023,10,3,"L20-30",217
"-0307",09/01/2023,10,4,"L30-50",144
"-0307",09/01/2023,10,5,"L50-79",192
"-0307",09/01/2023,10,6,"L79-120",51
"-0307",09/01/2023,11,1,"L0-8",1
"-0307",09/01/2023,11,2,"L8-20",761
"-0307",09/01/2023,11,3,"L20-30",233
"-0307",09/01/2023,11,4,"L30-50",151
"-0307",09/01/2023,11,5,"L50-79",226
"-0307",09/01/2023,11,6,"L79-120",54
"-0307",09/01/2023,12,1,"L0-8",3
"-0307",09/01/2023,12,2,"L8-20",892
"-0307",09/01/2023,12,3,"L20-30",267
"-0307",09/01/2023,12,4,"L30-50",158
"-0307",09/01/2023,12,5,"L50-79",249
"-0307",09/01/2023,12,6,"L79-120",64
"-0307",09/01/2023,13,1,"L0-8",2
"-0307",09/01/2023,13,2,"L8-20",913
"-0307",09/01/2023,13,3,"L20-30",244
"-0307",09/01/2023,13,4,"L30-50",155
"-0307",09/01/2023,13,5,"L50-79",221
"-0307",09/01/2023,13,6,"L79-120",54
"-0307",09/01/2023,14,1,"L0-8",1
"-0307",09/01/2023,14,2,"L8-20",1070
"-0307",09/01/2023,14,3,"L20-30",304
"-0307",09/01/2023,14,4,"L30-50",168
"-0307",09/01/2023,14,5,"L50-79",232
"-0307",09/01/2023,14,6,"L79-120",48
"-0307",09/01/2023,15,1,"L0-8",1
"-0307",09/01/2023,15,2,"L8-20",1170
"-0307",09/01/2023,15,3,"L20-30",346
"-0307",09/01/2023,15,4,"L30-50",193
"-0307",09/01/2023,15,5,"L50-79",236
"-0307",09/01/2023,15,6,"L79-120",39
"-0307",09/01/2023,16,1,"L0-8",0
"-0307",09/01/2023,16,2,"L8-20",1200
"-0307",09/01/2023,16,3,"L20-30",323
"-0307",09/01/2023,16,4,"L30-50",214
"-0307",09/01/2023,16,5,"L50-79",238
"-0307",09/01/2023,16,6,"L79-120",28
"-0307",09/01/2023,17,1,"L0-8",2
"-0307",09/01/2023,17,2,"L8-20",1317
"-0307",09/01/2023,17,3,"L20-30",312
"-0307",09/01/2023,17,4,"L30-50",201
"-0307",09/01/2023,17,5,"L50-79",212
"-0307",09/01/2023,17,6,"L79-120",29
"-0307",09/01/2023,18,1,"L0-8",0
"-0307",09/01/2023,18,2,"L8-20",998
"-0307",09/01/2023,18,3,"L20-30",222
"-0307",09/01/2023,18,4,"L30-50",143
"-0307",09/01/2023,18,5,"L50-79",152
"-0307",09/01/2023,18,6,"L79-120",21
"-0307",09/01/2023,19,1,"L0-8",0
"-0307",09/01/2023,19,2,"L8-20",663
"-0307",09/01/2023,19,3,"L20-30",148
"-0307",09/01/2023,19,4,"L30-50",101
"-0307",09/01/2023,19,5,"L50-79",140
"-0307",09/01/2023,19,6,"L79-120",9
"-0307",09/01/2023,20,1,"L0-8",0
"-0307",09/01/2023,20,2,"L8-20",499
"-0307",09/01/2023,20,3,"L20-30",105
"-0307",09/01/2023,20,4,"L30-50",48
"-0307",09/01/2023,20,5,"L50-79",111
"-0307",09/01/2023,20,6,"L79-120",21
"-0307",09/01/2023,21,1,"L0-8",0
"-0307",09/01/2023,21,2,"L8-20",434
"-0307",09/01/2023,21,3,"L20-30",66
"-0307",09/01/2023,21,4,"L30-50",38
"-0307",09/01/2023,21,5,"L50-79",107
"-0307",09/01/2023,21,6,"L79-120",9
"-0307",09/01/2023,22,1,"L0-8",0
"-0307",09/01/2023,22,2,"L8-20",411
"-0307",09/01/2023,22,3,"L20-30",58
"-0307",09/01/2023,22,4,"L30-50",20
"-0307",09/01/2023,22,5,"L50-79",89
"-0307",09/01/2023,22,6,"L79-120",9
"-0307",09/01/2023,23,1,"L0-8",0
"-0307",09/01/2023,23,2,"L8-20",182
"-0307",09/01/2023,23,3,"L20-30",32
"-0307",09/01/2023,23,4,"L30-50",28
"-0307",09/01/2023,23,5,"L50-79",100
"-0307",09/01/2023,23,6,"L79-120",6
"-0307",09/02/2023,0,1,"L0-8",0
"-0307",09/02/2023,0,2,"L8-20",102
"-0307",09/02/2023,0,3,"L20-30",21
"-0307",09/02/2023,0,4,"L30-50",12
"-0307",09/02/2023,0,5,"L50-79",85
"-0307",09/02/2023,0,6,"L79-120",6
"-0307",09/02/2023,1,1,"L0-8",0
"-0307",09/02/2023,1,2,"L8-20",36
"-0307",09/02/2023,1,3,"L20-30",10
"-0307",09/02/2023,1,4,"L30-50",4
"-0307",09/02/2023,1,5,"L50-79",64
"-0307",09/02/2023,1,6,"L79-120",8
"-0307",09/02/2023,2,1,"L0-8",0
"-0307",09/02/2023,2,2,"L8-20",36
"-0307",09/02/2023,2,3,"L20-30",7
"-0307",09/02/2023,2,4,"L30-50",4
"-0307",09/02/2023,2,5,"L50-79",71
"-0307",09/02/2023,2,6,"L79-120",3
"-0307",09/02/2023,3,1,"L0-8",1
"-0307",09/02/2023,3,2,"L8-20",54
"-0307",09/02/2023,3,3,"L20-30",9
"-0307",09/02/2023,3,4,"L30-50",15
"-0307",09/02/2023,3,5,"L50-79",61
"-0307",09/02/2023,3,6,"L79-120",13
"-0307",09/02/2023,4,1,"L0-8",0
"-0307",09/02/2023,4,2,"L8-20",77
"-0307",09/02/2023,4,3,"L20-30",16
"-0307",09/02/2023,4,4,"L30-50",12
"-0307",09/02/2023,4,5,"L50-79",73
"-0307",09/02/2023,4,6,"L79-120",2
"-0307",09/02/2023,5,1,"L0-8",0
"-0307",09/02/2023,5,2,"L8-20",176
"-0307",09/02/2023,5,3,"L20-30",45
"-0307",09/02/2023,5,4,"L30-50",18
"-0307",09/02/2023,5,5,"L50-79",57
"-0307",09/02/2023,5,6,"L79-120",11
"-0307",09/02/2023,6,1,"L0-8",0
"-0307",09/02/2023,6,2,"L8-20",233
"-0307",09/02/2023,6,3,"L20-30",75
"-0307",09/02/2023,6,4,"L30-50",36
"-0307",09/02/2023,6,5,"L50-79",94
"-0307",09/02/2023,6,6,"L79-120",11
"-0307",09/02/2023,7,1,"L0-8",0
"-0307",09/02/2023,7,2,"L8-20",407
"-0307",09/02/2023,7,3,"L20-30",89
"-0307",09/02/2023,7,4,"L30-50",50
"-0307",09/02/2023,7,5,"L50-79",132
"-0307",09/02/2023,7,6,"L79-120",16
"-0307",09/02/2023,8,1,"L0-8",0
"-0307",09/02/2023,8,2,"L8-20",658
"-0307",09/02/2023,8,3,"L20-30",132
"-0307",09/02/2023,8,4,"L30-50",58
"-0307",09/02/2023,8,5,"L50-79",140
"-0307",09/02/2023,8,6,"L79-120",19
"-0307",09/02/2023,9,1,"L0-8",1
"-0307",09/02/2023,9,2,"L8-20",822
"-0307",09/02/2023,9,3,"L20-30",180
"-0307",09/02/2023,9,4,"L30-50",85
"-0307",09/02/2023,9,5,"L50-79",184
"-0307",09/02/2023,9,6,"L79-120",22
"-0307",09/02/2023,10,1,"L0-8",0
"-0307",09/02/2023,10,2,"L8-20",1059
"-0307",09/02/2023,10,3,"L20-30",210
"-0307",09/02/2023,10,4,"L30-50",110
"-0307",09/02/2023,10,5,"L50-79",223
"-0307",09/02/2023,10,6,"L79-120",25
"-0307",09/02/2023,11,1,"L0-8",5
"-0307",09/02/2023,11,2,"L8-20",798
"-0307",09/02/2023,11,3,"L20-30",177
"-0307",09/02/2023,11,4,"L30-50",93
"-0307",09/02/2023,11,5,"L50-79",162
"-0307",09/02/2023,11,6,"L79-120",18
"-0307",09/02/2023,12,1,"L0-8",0
"-0307",09/02/2023,12,2,"L8-20",1070
"-0307",09/02/2023,12,3,"L20-30",231
"-0307",09/02/2023,12,4,"L30-50",105
"-0307",09/02/2023,12,5,"L50-79",214
"-0307",09/02/2023,12,6,"L79-120",16
"-0307",09/02/2023,13,1,"L0-8",2
"-0307",09/02/2023,13,2,"L8-20",1109
"-0307",09/02/2023,13,3,"L20-30",199
"-0307",09/02/2023,13,4,"L30-50",93
"-0307",09/02/2023,13,5,"L50-79",220
"-0307",09/02/2023,13,6,"L79-120",18
"-0307",09/02/2023,14,1,"L0-8",1
"-0307",09/02/2023,14,2,"L8-20",998
"-0307",09/02/2023,14,3,"L20-30",215
"-0307",09/02/2023,14,4,"L30-50",87
"-0307",09/02/2023,14,5,"L50-79",212
"-0307",09/02/2023,14,6,"L79-120",13
"-0307",09/02/2023,15,1,"L0-8",0
"-0307",09/02/2023,15,2,"L8-20",1060
"-0307",09/02/2023,15,3,"L20-30",211
"-0307",09/02/2023,15,4,"L30-50",79
"-0307",09/02/2023,15,5,"L50-79",207
"-0307",09/02/2023,15,6,"L79-120",18
"-0307",09/02/2023,16,1,"L0-8",1
"-0307",09/02/2023,16,2,"L8-20",1078
"-0307",09/02/2023,16,3,"L20-30",172
"-0307",09/02/2023,16,4,"L30-50",83
"-0307",09/02/2023,16,5,"L50-79",214
"-0307",09/02/2023,16,6,"L79-120",15
"-0307",09/02/2023,17,1,"L0-8",1
"-0307",09/02/2023,17,2,"L8-20",732
"-0307",09/02/2023,17,3,"L20-30",131
"-0307",09/02/2023,17,4,"L30-50",52
"-0307",09/02/2023,17,5,"L50-79",151
"-0307",09/02/2023,17,6,"L79-120",10
"-0307",09/02/2023,18,1,"L0-8",1
"-0307",09/02/2023,18,2,"L8-20",878
"-0307",09/02/2023,18,3,"L20-30",145
"-0307",09/02/2023,18,4,"L30-50",35
"-0307",09/02/2023,18,5,"L50-79",146
"-0307",09/02/2023,18,6,"L79-120",11
"-0307",09/02/2023,19,1,"L0-8",2
"-0307",09/02/2023,19,2,"L8-20",656
"-0307",09/02/2023,19,3,"L20-30",102
"-0307",09/02/2023,19,4,"L30-50",45
"-0307",09/02/2023,19,5,"L50-79",142
"-0307",09/02/2023,19,6,"L79-120",5
"-0307",09/02/2023,20,1,"L0-8",2
"-0307",09/02/2023,20,2,"L8-20",605
"-0307",09/02/2023,20,3,"L20-30",82
"-0307",09/02/2023,20,4,"L30-50",47
"-0307",09/02/2023,20,5,"L50-79",129
"-0307",09/02/2023,20,6,"L79-120",14
"-0307",09/02/2023,21,1,"L0-8",1
"-0307",09/02/2023,21,2,"L8-20",404
"-0307",09/02/2023,21,3,"L20-30",54
"-0307",09/02/2023,21,4,"L30-50",30
"-0307",09/02/2023,21,5,"L50-79",107
"-0307",09/02/2023,21,6,"L79-120",6
"-0307",09/02/2023,22,1,"L0-8",0
"-0307",09/02/2023,22,2,"L8-20",237
"-0307",09/02/2023,22,3,"L20-30",40
"-0307",09/02/2023,22,4,"L30-50",36
"-0307",09/02/2023,22,5,"L50-79",116
"-0307",09/02/2023,22,6,"L79-120",7
"-0307",09/02/2023,23,1,"L0-8",0
"-0307",09/02/2023,23,2,"L8-20",164
"-0307",09/02/2023,23,3,"L20-30",30
"-0307",09/02/2023,23,4,"L30-50",16
"-0307",09/02/2023,23,5,"L50-79",100
"-0307",09/02/2023,23,6,"L79-120",4
"-0307",09/03/2023,0,1,"L0-8",0
"-0307",09/03/2023,0,2,"L8-20",115
"-0307",09/03/2023,0,3,"L20-30",12
"-0307",09/03/2023,0,4,"L30-50",9
"-0307",09/03/2023,0,5,"L50-79",78
"-0307",09/03/2023,0,6,"L79-120",0
"-0307",09/03/2023,1,1,"L0-8",0
"-0307",09/03/2023,1,2,"L8-20",57
"-0307",09/03/2023,1,3,"L20-30",9
"-0307",09/03/2023,1,4,"L30-50",5
"-0307",09/03/2023,1,5,"L50-79",68
"-0307",09/03/2023,1,6,"L79-120",7
"-0307",09/03/2023,2,1,"L0-8",0
"-0307",09/03/2023,2,2,"L8-20",32
"-0307",09/03/2023,2,3,"L20-30",7
"-0307",09/03/2023,2,4,"L30-50",3
"-0307",09/03/2023,2,5,"L50-79",45
"-0307",09/03/2023,2,6,"L79-120",1
"-0307",09/03/2023,3,1,"L0-8",0
"-0307",09/03/2023,3,2,"L8-20",26
"-0307",09/03/2023,3,3,"L20-30",6
"-0307",09/03/2023,3,4,"L30-50",6
"-0307",09/03/2023,3,5,"L50-79",54
"-0307",09/03/2023,3,6,"L79-120",4
"-0307",09/03/2023,4,1,"L0-8",0
"-0307",09/03/2023,4,2,"L8-20",42
"-0307",09/03/2023,4,3,"L20-30",8
"-0307",09/03/2023,4,4,"L30-50",7
"-0307",09/03/2023,4,5,"L50-79",56
"-0307",09/03/2023,4,6,"L79-120",8
"-0307",09/03/2023,5,1,"L0-8",1
"-0307",09/03/2023,5,2,"L8-20",60
"-0307",09/03/2023,5,3,"L20-30",19
"-0307",09/03/2023,5,4,"L30-50",7
"-0307",09/03/2023,5,5,"L50-79",71
"-0307",09/03/2023,5,6,"L79-120",4
"-0307",09/03/2023,6,1,"L0-8",0
"-0307",09/03/2023,6,2,"L8-20",116
"-0307",09/03/2023,6,3,"L20-30",34
"-0307",09/03/2023,6,4,"L30-50",14
"-0307",09/03/2023,6,5,"L50-79",80
"-0307",09/03/2023,6,6,"L79-120",10
"-0307",09/03/2023,7,1,"L0-8",0
"-0307",09/03/2023,7,2,"L8-20",189
"-0307",09/03/2023,7,3,"L20-30",35
"-0307",09/03/2023,7,4,"L30-50",26
"-0307",09/03/2023,7,5,"L50-79",109
"-0307",09/03/2023,7,6,"L79-120",10
"-0307",09/03/2023,8,1,"L0-8",0
"-0307",09/03/2023,8,2,"L8-20",290
"-0307",09/03/2023,8,3,"L20-30",78
"-0307",09/03/2023,8,4,"L30-50",35
"-0307",09/03/2023,8,5,"L50-79",142
"-0307",09/03/2023,8,6,"L79-120",14
"-0307",09/03/2023,9,1,"L0-8",0
"-0307",09/03/2023,9,2,"L8-20",405
"-0307",09/03/2023,9,3,"L20-30",86
"-0307",09/03/2023,9,4,"L30-50",44
"-0307",09/03/2023,9,5,"L50-79",163
"-0307",09/03/2023,9,6,"L79-120",17
"-0307",09/03/2023,10,1,"L0-8",0
"-0307",09/03/2023,10,2,"L8-20",606
"-0307",09/03/2023,10,3,"L20-30",118
"-0307",09/03/2023,10,4,"L30-50",59
"-0307",09/03/2023,10,5,"L50-79",198
"-0307",09/03/2023,10,6,"L79-120",21
"-0307",09/03/2023,11,1,"L0-8",1
"-0307",09/03/2023,11,2,"L8-20",707
"-0307",09/03/2023,11,3,"L20-30",119
"-0307",09/03/2023,11,4,"L30-50",79
"-0307",09/03/2023,11,5,"L50-79",182
"-0307",09/03/2023,11,6,"L79-120",19
"-0307",09/03/2023,12,1,"L0-8",1
"-0307",09/03/2023,12,2,"L8-20",711
"-0307",09/03/2023,12,3,"L20-30",126
"-0307",09/03/2023,12,4,"L30-50",77
"-0307",09/03/2023,12,5,"L50-79",221
"-0307",09/03/2023,12,6,"L79-120",18
"-0307",09/03/2023,13,1,"L0-8",1
"-0307",09/03/2023,13,2,"L8-20",809
"-0307",09/03/2023,13,3,"L20-30",153
"-0307",09/03/2023,13,4,"L30-50",94
"-0307",09/03/2023,13,5,"L50-79",223
"-0307",09/03/2023,13,6,"L79-120",15
"-0307",09/03/2023,14,1,"L0-8",0
"-0307",09/03/2023,14,2,"L8-20",792
"-0307",09/03/2023,14,3,"L20-30",156
"-0307",09/03/2023,14,4,"L30-50",92
"-0307",09/03/2023,14,5,"L50-79",197
"-0307",09/03/2023,14,6,"L79-120",15
"-0307",09/03/2023,15,1,"L0-8",2
"-0307",09/03/2023,15,2,"L8-20",819
"-0307",09/03/2023,15,3,"L20-30",151
"-0307",09/03/2023,15,4,"L30-50",67
"-0307",09/03/2023,15,5,"L50-79",220
"-0307",09/03/2023,15,6,"L79-120",11
"-0307",09/03/2023,16,1,"L0-8",0
"-0307",09/03/2023,16,2,"L8-20",762
"-0307",09/03/2023,16,3,"L20-30",152
"-0307",09/03/2023,16,4,"L30-50",96
"-0307",09/03/2023,16,5,"L50-79",175
"-0307",09/03/2023,16,6,"L79-120",18
"-0307",09/03/2023,17,1,"L0-8",1
"-0307",09/03/2023,17,2,"L8-20",644
"-0307",09/03/2023,17,3,"L20-30",133
"-0307",09/03/2023,17,4,"L30-50",71
"-0307",09/03/2023,17,5,"L50-79",155
"-0307",09/03/2023,17,6,"L79-120",19
"-0307",09/03/2023,18,1,"L0-8",0
"-0307",09/03/2023,18,2,"L8-20",612
"-0307",09/03/2023,18,3,"L20-30",102
"-0307",09/03/2023,18,4,"L30-50",61
"-0307",09/03/2023,18,5,"L50-79",156
"-0307",09/03/2023,18,6,"L79-120",20
"-0307",09/03/2023,19,1,"L0-8",0
"-0307",09/03/2023,19,2,"L8-20",592
"-0307",09/03/2023,19,3,"L20-30",114
"-0307",09/03/2023,19,4,"L30-50",69
"-0307",09/03/2023,19,5,"L50-79",149
"-0307",09/03/2023,19,6,"L79-120",16
"-0307",09/03/2023,20,1,"L0-8",0
"-0307",09/03/2023,20,2,"L8-20",406
"-0307",09/03/2023,20,3,"L20-30",72
"-0307",09/03/2023,20,4,"L30-50",71
"-0307",09/03/2023,20,5,"L50-79",128
"-0307",09/03/2023,20,6,"L79-120",20
"-0307",09/03/2023,21,1,"L0-8",0
"-0307",09/03/2023,21,2,"L8-20",337
"-0307",09/03/2023,21,3,"L20-30",48
"-0307",09/03/2023,21,4,"L30-50",41
"-0307",09/03/2023,21,5,"L50-79",100
"-0307",09/03/2023,21,6,"L79-120",6
"-0307",09/03/2023,22,1,"L0-8",0
"-0307",09/03/2023,22,2,"L8-20",200
"-0307",09/03/2023,22,3,"L20-30",29
"-0307",09/03/2023,22,4,"L30-50",37
"-0307",09/03/2023,22,5,"L50-79",72
"-0307",09/03/2023,22,6,"L79-120",2
"-0307",09/03/2023,23,1,"L0-8",0
"-0307",09/03/2023,23,2,"L8-20",90
"-0307",09/03/2023,23,3,"L20-30",23
"-0307",09/03/2023,23,4,"L30-50",10
"-0307",09/03/2023,23,5,"L50-79",75
"-0307",09/03/2023,23,6,"L79-120",18
"-0307",09/05/2023,0,1,"L0-8",0
"-0307",09/05/2023,0,2,"L8-20",45
"-0307",09/05/2023,0,3,"L20-30",9
"-0307",09/05/2023,0,4,"L30-50",5
"-0307",09/05/2023,0,5,"L50-79",49
"-0307",09/05/2023,0,6,"L79-120",5
"-0307",09/05/2023,1,1,"L0-8",0
"-0307",09/05/2023,1,2,"L8-20",22
"-0307",09/05/2023,1,3,"L20-30",3
"-0307",09/05/2023,1,4,"L30-50",2
"-0307",09/05/2023,1,5,"L50-79",37
"-0307",09/05/2023,1,6,"L79-120",5
"-0307",09/05/2023,2,1,"L0-8",0
"-0307",09/05/2023,2,2,"L8-20",19
"-0307",09/05/2023,2,3,"L20-30",5
"-0307",09/05/2023,2,4,"L30-50",6
"-0307",09/05/2023,2,5,"L50-79",34
"-0307",09/05/2023,2,6,"L79-120",8
"-0307",09/05/2023,3,1,"L0-8",0
"-0307",09/05/2023,3,2,"L8-20",40
"-0307",09/05/2023,3,3,"L20-30",13
"-0307",09/05/2023,3,4,"L30-50",12
"-0307",09/05/2023,3,5,"L50-79",36
"-0307",09/05/2023,3,6,"L79-120",8
"-0307",09/05/2023,4,1,"L0-8",0
"-0307",09/05/2023,4,2,"L8-20",97
"-0307",09/05/2023,4,3,"L20-30",29
"-0307",09/05/2023,4,4,"L30-50",12
"-0307",09/05/2023,4,5,"L50-79",41
"-0307",09/05/2023,4,6,"L79-120",13
"-0307",09/05/2023,5,1,"L0-8",0
"-0307",09/05/2023,5,2,"L8-20",299
"-0307",09/05/2023,5,3,"L20-30",117
"-0307",09/05/2023,5,4,"L30-50",26
"-0307",09/05/2023,5,5,"L50-79",62
"-0307",09/05/2023,5,6,"L79-120",31
"-0307",09/05/2023,6,1,"L0-8",0
"-0307",09/05/2023,6,2,"L8-20",596
"-0307",09/05/2023,6,3,"L20-30",254
"-0307",09/05/2023,6,4,"L30-50",55
"-0307",09/05/2023,6,5,"L50-79",73
"-0307",09/05/2023,6,6,"L79-120",26
"-0307",09/05/2023,7,1,"L0-8",1
"-0307",09/05/2023,7,2,"L8-20",693
"-0307",09/05/2023,7,3,"L20-30",220
"-0307",09/05/2023,7,4,"L30-50",91
"-0307",09/05/2023,7,5,"L50-79",121
"-0307",09/05/2023,7,6,"L79-120",42
"-0307",09/05/2023,8,1,"L0-8",2
"-0307",09/05/2023,8,2,"L8-20",669
"-0307",09/05/2023,8,3,"L20-30",182
"-0307",09/05/2023,8,4,"L30-50",92
"-0307",09/05/2023,8,5,"L50-79",119
"-0307",09/05/2023,8,6,"L79-120",53
"-0307",09/05/2023,9,1,"L0-8",1
"-0307",09/05/2023,9,2,"L8-20",592
"-0307",09/05/2023,9,3,"L20-30",157
"-0307",09/05/2023,9,4,"L30-50",89
"-0307",09/05/2023,9,5,"L50-79",137
"-0307",09/05/2023,9,6,"L79-120",53
"-0307",09/05/2023,10,1,"L0-8",3
"-0307",09/05/2023,10,2,"L8-20",587
"-0307",09/05/2023,10,3,"L20-30",187
"-0307",09/05/2023,10,4,"L30-50",97
"-0307",09/05/2023,10,5,"L50-79",135
"-0307",09/05/2023,10,6,"L79-120",55
"-0307",09/05/2023,11,1,"L0-8",0
"-0307",09/05/2023,11,2,"L8-20",567
"-0307",09/05/2023,11,3,"L20-30",174
"-0307",09/05/2023,11,4,"L30-50",89
"-0307",09/05/2023,11,5,"L50-79",162
"-0307",09/05/2023,11,6,"L79-120",52
"-0307",09/05/2023,12,1,"L0-8",1
"-0307",09/05/2023,12,2,"L8-20",575
"-0307",09/05/2023,12,3,"L20-30",141
"-0307",09/05/2023,12,4,"L30-50",91
"-0307",09/05/2023,12,5,"L50-79",160
"-0307",09/05/2023,12,6,"L79-120",72
"-0307",09/05/2023,13,1,"L0-8",3
"-0307",09/05/2023,13,2,"L8-20",568
"-0307",09/05/2023,13,3,"L20-30",142
"-0307",09/05/2023,13,4,"L30-50",93
"-0307",09/05/2023,13,5,"L50-79",151
"-0307",09/05/2023,13,6,"L79-120",58
"-0307",09/05/2023,14,1,"L0-8",0
"-0307",09/05/2023,14,2,"L8-20",730
"-0307",09/05/2023,14,3,"L20-30",186
"-0307",09/05/2023,14,4,"L30-50",102
"-0307",09/05/2023,14,5,"L50-79",215
"-0307",09/05/2023,14,6,"L79-120",51
"-0307",09/05/2023,15,1,"L0-8",2
"-0307",09/05/2023,15,2,"L8-20",779
"-0307",09/05/2023,15,3,"L20-30",244
"-0307",09/05/2023,15,4,"L30-50",111
"-0307",09/05/2023,15,5,"L50-79",170
"-0307",09/05/2023,15,6,"L79-120",39
"-0307",09/05/2023,16,1,"L0-8",1
"-0307",09/05/2023,16,2,"L8-20",999
"-0307",09/05/2023,16,3,"L20-30",261
"-0307",09/05/2023,16,4,"L30-50",88
"-0307",09/05/2023,16,5,"L50-79",152
"-0307",09/05/2023,16,6,"L79-120",39
"-0307",09/05/2023,17,1,"L0-8",2
"-0307",09/05/2023,17,2,"L8-20",1012
"-0307",09/05/2023,17,3,"L20-30",226
"-0307",09/05/2023,17,4,"L30-50",63
"-0307",09/05/2023,17,5,"L50-79",148
"-0307",09/05/2023,17,6,"L79-120",22
"-0307",09/05/2023,18,1,"L0-8",2
"-0307",09/05/2023,18,2,"L8-20",737
"-0307",09/05/2023,18,3,"L20-30",204
"-0307",09/05/2023,18,4,"L30-50",60
"-0307",09/05/2023,18,5,"L50-79",139
"-0307",09/05/2023,18,6,"L79-120",15
"-0307",09/05/2023,19,1,"L0-8",0
"-0307",09/05/2023,19,2,"L8-20",455
"-0307",09/05/2023,19,3,"L20-30",126
"-0307",09/05/2023,19,4,"L30-50",41
"-0307",09/05/2023,19,5,"L50-79",97
"-0307",09/05/2023,19,6,"L79-120",15
"-0307",09/05/2023,20,1,"L0-8",1
"-0307",09/05/2023,20,2,"L8-20",372
"-0307",09/05/2023,20,3,"L20-30",77
"-0307",09/05/2023,20,4,"L30-50",27
"-0307",09/05/2023,20,5,"L50-79",116
"-0307",09/05/2023,20,6,"L79-120",10
"-0307",09/05/2023,21,1,"L0-8",0
"-0307",09/05/2023,21,2,"L8-20",248
"-0307",09/05/2023,21,3,"L20-30",44
"-0307",09/05/2023,21,4,"L30-50",22
"-0307",09/05/2023,21,5,"L50-79",104
"-0307",09/05/2023,21,6,"L79-120",8
"-0307",09/05/2023,22,1,"L0-8",2
"-0307",09/05/2023,22,2,"L8-20",141
"-0307",09/05/2023,22,3,"L20-30",35
"-0307",09/05/2023,22,4,"L30-50",11
"-0307",09/05/2023,22,5,"L50-79",83
"-0307",09/05/2023,22,6,"L79-120",8
"-0307",09/05/2023,23,1,"L0-8",0
"-0307",09/05/2023,23,2,"L8-20",74
"-0307",09/05/2023,23,3,"L20-30",10
"-0307",09/05/2023,23,4,"L30-50",4
"-0307",09/05/2023,23,5,"L50-79",61
"-0307",09/05/2023,23,6,"L79-120",5
"-0307",09/06/2023,0,1,"L0-8",0
"-0307",09/06/2023,0,2,"L8-20",37
"-0307",09/06/2023,0,3,"L20-30",13
