TAZID,CO_TAZID,CO_FIPS,SUBAREAID,AREATYPE,TOTAL_P,TOTAL_A,TOTPER_P,TOTPER_A,TOTEXT_P,TOTEXT_A,HBW_P,HBW_A,HBSHP_P,HBSHP_A,HBOTH_P,HBOTH_A,HBSCHPR_P,HBSCHPR_A,HBSCHSC_P,HBSCHSC_A,NHBW_P,NHBW_A,NHBNW_P,NHBNW_A,HBC_P,HBC_A,TTUNIQUE_P,TTUNIQUE_A,IX_P,IX_A,XI_P,XI_A
1052,350147,35,1,4,4337.6,6004.0,3930.6,5481.1,0.0,71.8,0.0,1440.5,0.0,486.5,45.0,1955.8,0.0,0.0,0.0,0.0,553.4,565.8,1014.2,1032.5,2273.0,0.0,45.0,0.0,0.0,0.0,0.0,71.8
1053,350148,35,1,2,36.5,33.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1054,350149,35,1,2,2240.3,8874.8,547.5,7010.0,0.0,152.9,0.0,3411.5,0.0,5.2,6.0,3052.8,0.0,0.0,0.0,0.0,490.9,496.3,44.6,44.3,0.0,0.0,6.0,0.0,0.0,0.0,0.0,152.9
1055,350150,35,1,2,2008.2,7427.6,810.3,6044.3,0.0,153.6,0.0,2396.1,0.0,292.5,21.0,2584.8,0.0,0.0,0.0,0.0,444.7,449.5,323.6,321.3,0.0,0.0,21.0,0.0,0.0,0.0,0.0,153.6
1056,350151,35,1,3,1313.8,4677.9,709.9,3923.8,0.0,78.2,0.0,1595.3,0.0,201.8,69.0,1546.8,0.0,0.0,0.0,0.0,309.8,315.2,262.1,264.5,0.0,0.0,69.0,0.0,0.0,0.0,0.0,78.2
1057,350152,35,1,3,693.4,2203.1,361.8,1803.5,0.0,35.8,0.0,747.5,0.0,106.9,29.0,639.7,0.0,0.0,0.0,0.0,151.1,154.2,152.7,155.3,0.0,0.0,29.0,0.0,0.0,0.0,0.0,35.8
1058,350153,35,1,3,897.8,2791.0,605.2,2419.8,0.0,59.5,0.0,743.7,0.0,234.3,16.0,857.4,0.0,0.0,0.0,0.0,209.6,214.0,363.6,370.4,0.0,0.0,16.0,0.0,0.0,0.0,0.0,59.5
1059,350154,35,1,3,923.9,3118.6,639.0,2664.8,0.4,59.4,5.8,1005.8,3.0,49.1,121.6,1199.6,0.8,0.0,0.8,0.0,198.7,203.2,203.2,207.2,0.0,0.0,105.0,0.0,0.4,0.0,0.0,59.4
1060,350155,35,1,4,3918.4,1766.3,3782.6,1611.6,46.5,38.4,727.8,5.3,386.4,0.0,2094.7,1283.5,109.9,0.0,112.4,0.0,88.8,90.5,227.5,232.2,12.0,0.0,23.0,0.0,46.5,0.0,0.0,38.4
1061,350156,35,1,3,4714.2,3307.9,4520.0,3058.2,50.4,58.1,756.9,297.1,415.0,90.0,2355.2,1486.2,156.6,587.7,160.1,0.0,186.4,190.9,397.7,406.4,52.0,0.0,40.0,0.0,50.4,0.0,0.0,58.1
1062,350157,35,1,4,2611.7,1178.8,2504.0,1065.5,28.7,22.3,442.8,25.0,245.3,28.0,1360.8,745.1,90.3,0.0,92.4,0.0,74.1,75.5,187.4,191.8,1.0,0.0,10.0,0.0,28.7,0.0,0.0,22.3
1063,350158,35,1,3,2920.8,1274.9,2788.9,1127.8,32.7,25.8,463.1,75.4,264.4,20.6,1510.1,747.9,122.6,0.0,125.5,0.0,84.8,86.7,192.4,197.2,10.0,0.0,16.0,0.0,32.7,0.0,0.0,25.8
1064,350159,35,1,4,2443.6,2080.9,2277.9,1899.6,26.5,29.0,446.8,177.8,222.4,0.0,1141.6,954.8,50.2,445.3,51.5,0.0,111.8,114.6,201.5,207.1,39.0,0.0,13.0,0.0,26.5,0.0,0.0,29.0
1065,350160,35,1,4,1758.7,1553.9,1589.3,1368.6,18.7,26.8,305.5,141.5,160.4,39.8,773.0,911.7,31.4,0.0,32.4,0.0,87.1,89.4,180.6,186.3,10.0,0.0,9.0,0.0,18.7,0.0,0.0,26.8
1066,350161,35,1,5,5774.8,7492.0,5211.5,6798.1,49.9,125.5,839.1,1210.5,442.6,412.2,2137.7,3601.3,84.3,0.0,85.9,0.0,488.1,502.0,1037.8,1072.0,46.0,0.0,50.0,0.0,49.9,0.0,0.0,125.5
1067,350162,35,1,5,3345.5,5215.8,2992.5,4755.2,6.7,79.8,121.1,726.8,56.4,484.8,316.5,1030.6,10.3,0.0,10.9,0.0,772.0,794.0,1665.2,1718.9,6.0,0.0,34.0,0.0,6.7,0.0,0.0,79.8
1068,350163,35,1,5,74.7,61.2,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
1069,350164,35,1,5,4862.0,5221.0,4463.9,4741.0,38.6,84.8,656.9,944.8,347.8,421.0,1672.3,1730.8,66.4,0.0,67.7,0.0,488.1,502.3,1104.7,1142.1,26.0,0.0,34.0,0.0,38.6,0.0,0.0,84.8
1070,350165,35,1,5,3523.9,5599.6,3187.3,5094.5,19.2,87.6,335.5,803.7,185.3,397.7,873.3,2190.3,17.0,0.0,17.7,0.0,521.4,536.1,1129.1,1166.6,11.0,0.0,97.0,0.0,19.2,0.0,0.0,87.6
1071,350166,35,1,5,2670.4,4127.9,2360.7,3729.0,17.6,68.7,303.8,592.9,153.4,311.9,770.8,1756.4,25.5,0.0,26.2,0.0,322.5,332.0,710.5,735.7,10.0,0.0,38.0,0.0,17.6,0.0,0.0,68.7
1072,350167,35,1,5,3791.2,4776.3,3488.7,4354.4,20.0,75.1,352.5,799.7,178.1,362.9,904.9,1205.2,26.4,0.0,27.2,0.0,609.5,627.3,1314.1,1359.4,12.0,0.0,64.0,0.0,20.0,0.0,0.0,75.1
1073,350168,35,1,5,2881.6,3216.1,2642.6,2939.7,27.4,48.6,485.4,440.9,268.3,62.1,1136.3,1731.3,24.8,0.0,25.5,0.0,223.6,230.2,459.8,475.2,5.0,0.0,14.0,0.0,27.4,0.0,0.0,48.6
1074,350169,35,1,5,1936.0,2794.0,1754.0,2505.4,4.1,43.4,71.7,370.1,36.4,254.3,243.7,531.0,5.8,0.0,6.0,0.0,417.7,430.6,887.8,919.4,15.0,0.0,70.0,0.0,4.1,0.0,0.0,43.4
1075,350170,35,1,5,4544.0,8189.7,3975.7,7407.2,2.5,122.6,45.3,1389.4,22.4,826.3,205.6,1471.1,4.2,0.0,4.5,0.0,1159.6,1194.6,2440.1,2525.7,0.0,0.0,94.0,0.0,2.5,0.0,0.0,122.6
1076,350171,35,1,5,3615.6,8837.1,3024.9,8094.8,0.0,114.8,0.0,2364.1,0.0,577.6,38.0,2111.7,0.0,0.0,0.0,0.0,1051.7,1081.4,1897.2,1959.9,0.0,0.0,38.0,0.0,0.0,0.0,0.0,114.8
1077,350172,35,1,5,5833.8,10575.9,5095.2,9566.7,20.8,129.0,389.9,2227.8,240.4,605.3,1109.1,3494.7,22.4,0.0,23.1,0.0,1041.1,1070.8,2099.2,2168.2,12.0,0.0,158.0,0.0,20.8,0.0,0.0,129.0
1078,350173,35,1,5,2083.1,4331.6,1749.0,3908.0,0.0,49.8,0.0,1049.9,0.0,325.0,44.0,820.4,0.0,0.0,0.0,0.0,542.7,557.6,1118.3,1155.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,49.8
1079,350174,35,1,5,7010.2,13708.2,6054.3,12528.7,4.9,176.7,87.9,3199.8,54.5,1216.3,261.1,2341.4,3.5,0.0,3.7,0.0,1826.4,1878.4,3767.3,3892.7,2.0,0.0,48.0,0.0,4.9,0.0,0.0,176.7
