TripCategory,HBWtrip,HBWabs,HBWrel,HBCtrip,HBCabs,HBCrel,HBOtrip,HBOabs,HBOrel,NHBtrip,NHBabs,NHBrel,HBSchtrip,HBSchabs,HBSchrel,TOTtrip,TOTabs,TOTrel,
                    CRT Walk,      1512,   0.17,  36.13,       960,   0.85,  27.13,       410,   0.02,  39.22,       140,   0.02,  73.56,-,-,-,      3022,   0.07,  33.73,
                    CRT Drive,      2672,   0.30,  63.87,      2580,   2.29,  72.87,       635,   0.03,  60.78,        50,   0.01,  26.44,-,-,-,      5938,   0.14,  66.27,
  
   Model: v10x,
   Scenario: C70,
   RunYear: 2023,
   Socio-Economic year modeled:         2023,
   Network infrastructure year modeled: 2023,
   Period the results apply to:  Peak Period,
   Shares\RegionShares_Pk.csv,
   For this run Mode Choice was run in its regular form (i.e. not bypassed with approximation).,
   NOTE:  Indentations correspond with each level in the nested Logit choice model.
