Bin,HBW,HBShp,HBOth,HBSch_Pr,HBSch_Sc,NHBW,NHBNW,LT,MD,HV,IX_LT,IX_MD,IX_HV,XI_LT,XI_MD,XI_HV
        11,       75016.58,       44746.91,      222620.83,        7551.07,       14775.69,       45569.61,      105456.68,       28951.88,        4853.71,         878.75,         179.86,          92.52,           5.07,         182.20,          55.60,           7.07
        12,       70954.70,       40525.00,      223850.82,        1311.52,       11480.31,       33915.21,       72913.83,       27646.28,        4438.14,        1120.10,         735.79,          44.99,          17.23,         719.36,          24.29,          17.87
        13,       47499.87,       40398.31,      191624.49,        4068.75,       10846.44,       32927.35,       63609.85,       22673.90,        3995.44,        1421.23,         279.93,         130.31,          52.39,         275.11,         149.06,          56.14
        14,       68202.00,       20403.63,      143992.01,        5694.35,        5719.89,       25919.22,       48156.71,       20169.33,        3431.22,        1103.45,         627.47,          34.43,          56.70,         572.38,          33.47,          36.01
        15,       60697.30,       18374.08,      128539.14,        2357.16,        2121.05,       49749.20,       61131.09,       19191.83,        3265.63,         946.07,         359.35,         125.80,         145.01,         407.49,         122.40,          81.15
        16,       55997.70,       18751.19,      102033.58,        1737.26,        4812.56,       25774.12,       41725.13,       17339.72,        3079.16,        1031.79,         259.11,          57.49,         194.94,         233.29,          68.97,         155.02
        17,       55705.69,       20031.27,       91515.20,        2309.54,        4848.66,       21200.20,       31646.63,       15193.23,        2912.95,         875.19,         389.52,         130.68,         183.46,         395.92,         109.22,         157.84
        18,       57803.31,        8678.21,       77767.75,         123.02,        1884.25,       17900.96,       27487.23,       13735.52,        3536.39,         909.67,         544.88,          90.87,          40.90,         579.26,          84.71,          48.71
        19,       53518.66,        3586.53,       67735.12,              0,         607.14,       15962.71,       24104.65,       13441.48,        2377.82,         982.36,         858.57,         143.76,          75.12,         955.26,         142.00,          55.53
        20,       66452.48,        4840.74,       52735.57,        1993.49,        1054.95,       17975.56,       22104.47,       14736.61,        2950.00,         761.27,         400.86,         202.20,         456.13,         358.08,         195.64,         465.04
        21,       35908.41,        5202.57,       54732.59,         490.49,        2272.43,       19740.15,       24836.55,       11182.76,        2501.69,         629.19,         471.81,         149.19,         165.03,         507.42,         158.25,         165.57
        22,       59601.76,        4328.73,       59368.63,              0,         777.42,       14091.01,       16756.24,        9894.94,        2337.55,         912.67,         699.96,          71.44,         119.83,         577.33,          75.48,         132.35
        23,       49276.34,        2478.96,       25745.57,              0,         408.96,       10975.54,       15784.16,       10439.71,        2021.39,         751.20,         710.57,         243.43,         121.10,         729.00,         225.54,          85.46
        24,       41282.92,        2829.47,       43370.49,        1367.98,         946.20,       10121.45,       11006.43,        9218.71,        2145.48,         612.42,         318.86,         248.36,         293.82,         371.19,         244.94,         237.66
        25,       33478.87,         524.12,       37503.00,        3450.64,         375.42,       12638.42,        9945.26,        8460.85,        1869.67,         609.47,         469.96,         171.57,          79.47,         421.07,         159.14,          87.27
        26,       36929.38,        2817.74,       34196.60,              0,          79.84,        9430.62,       13007.24,        6803.64,        1562.61,         594.53,         431.97,         136.20,         430.32,         444.55,         120.72,         491.02
        27,       36037.59,        1042.95,       22647.13,          59.44,        2053.98,        9059.86,        8663.55,        6131.38,        1685.93,         509.24,         449.78,         119.22,         314.64,         436.16,         118.84,         282.93
        28,       27986.97,        2533.36,       23882.40,         216.88,         501.46,        6530.70,        6782.92,        5794.77,        1400.25,         522.80,         297.02,         131.09,          96.51,         308.09,         132.93,          90.28
        29,       24195.21,         701.90,       14986.44,              0,              0,        9056.25,       11366.25,        5029.14,        1336.96,         501.73,         694.54,         102.56,         331.91,         687.73,         108.00,         354.68
        30,       32637.24,        1370.88,       18821.52,        1533.00,         106.24,        7127.79,        4478.14,        4791.06,        1239.40,         343.23,         202.77,          67.29,         127.21,         207.59,          77.14,          94.60
        31,       24753.60,        1344.52,       18128.30,              0,         842.87,        6419.04,        8222.14,        3855.14,        1118.94,         372.66,         286.94,         135.46,          78.46,         283.38,         150.07,          84.53
        32,       15146.02,        1065.34,       19606.16,         311.61,              0,        5469.63,        4381.49,        3856.58,        1024.28,         349.99,         230.82,          39.01,          93.12,         256.40,          44.96,         114.23
        33,       19275.17,         976.63,       15409.01,              0,         187.37,        3808.48,        6384.77,        3870.41,         814.26,         326.53,         329.25,          66.41,         164.19,         330.27,          67.37,         283.95
        34,       17507.94,         438.33,       10626.40,              0,         410.56,        7960.72,        2031.83,        3145.76,         756.84,         349.87,         224.95,          63.00,         240.93,         258.74,          57.25,         122.38
        35,        9329.95,         425.21,       15589.65,              0,         106.34,        3555.47,        3023.47,        3423.18,         773.05,         317.85,         170.95,          53.52,          98.15,         195.11,          54.69,          65.45
        36,        9550.85,         393.02,       11902.73,              0,              0,        3196.11,        3259.99,        2811.31,         708.49,         238.15,         424.52,          54.89,         131.96,         473.81,          51.78,         145.74
        37,       20589.96,         176.23,        9699.93,              0,              0,        1832.51,        2129.51,        2875.16,         624.26,         267.05,         230.94,          47.69,          52.64,         282.56,          57.32,          50.63
        38,       11666.32,         287.25,        6175.21,              0,              0,        2747.43,        3494.69,        2749.96,         540.36,         228.51,          98.89,          21.71,          96.47,         110.19,          24.61,          95.55
        39,       16287.59,          58.89,        4840.33,              0,              0,        3624.02,        2684.73,        2935.80,         481.14,         225.51,         165.95,          40.26,          69.30,         190.50,          33.59,          64.10
        40,        5771.58,         380.86,        9299.29,              0,              0,        2977.21,        1315.43,        2532.58,         638.47,         230.98,         120.33,          33.37,          39.58,         114.89,          33.85,          47.56
        41,        5154.83,         276.46,        6512.27,              0,              0,        1230.91,         991.21,        2291.31,         460.95,         182.74,         111.77,          32.29,          29.92,         245.96,          26.71,          50.25
        42,        3321.01,         555.87,        9835.48,              0,              0,        2808.07,        2181.87,        1874.15,         476.95,         265.38,         194.42,          26.04,          95.38,         266.97,          22.63,          78.02
        43,       17861.00,         147.74,        3871.06,              0,              0,        1025.77,        2119.55,        2368.01,         510.11,         195.49,         327.91,          28.30,          44.63,         147.52,          25.74,          58.12
        44,        6712.75,         272.60,        5616.88,         173.24,         238.25,        1053.17,         925.88,        2080.28,         440.22,         171.88,         161.72,          30.83,          26.01,         145.56,          31.98,          49.60
        45,        4446.49,         223.07,        3319.72,              0,         765.34,        1277.52,        1196.59,        1959.06,         462.09,         176.27,          73.40,          50.09,          16.11,          70.78,          43.79,          23.30
        46,        7564.87,         233.84,        3971.01,              0,              0,         964.55,        1262.49,        1772.25,         417.31,         220.71,         104.53,          14.93,          67.57,          98.08,          16.69,          44.32
        47,        2406.75,         108.23,        5481.21,        1188.66,         594.33,        2480.31,        1907.89,        1789.33,         427.48,         193.31,          62.58,          24.29,          29.32,          69.52,          27.73,          19.15
        48,        5008.82,              0,        3344.39,              0,              0,        1441.85,        1649.49,        2029.99,         432.34,         183.58,         109.63,          26.02,          11.60,         128.16,          26.81,          12.53
        49,        3700.61,         339.60,        1077.72,              0,              0,        2315.12,         499.78,        1482.00,         404.88,         206.19,         106.67,           8.64,          11.50,         104.91,          10.14,           8.60
        50,        7492.15,          57.91,        5403.74,              0,              0,         605.66,        2073.87,        1695.59,         355.47,         193.32,         100.61,          21.08,          17.52,          90.12,          18.30,          15.03
        51,        4776.29,              0,        1641.94,              0,              0,        2013.67,        1831.13,        1432.24,         338.40,         203.72,          84.55,          16.65,          10.49,         104.98,          18.79,          21.16
        52,        4175.22,              0,        7462.59,              0,              0,         854.30,        1182.07,        1424.96,         327.12,         195.10,          79.24,          24.37,           9.78,          76.03,          23.36,           9.71
        53,        2686.06,              0,         905.40,              0,              0,        1357.11,         151.33,        1400.82,         403.97,         173.41,         126.16,          24.65,           9.68,         114.43,          31.92,          10.81
        54,        2213.42,          28.70,        1042.03,              0,              0,        1411.62,         303.80,        1414.23,         371.88,         227.95,          60.89,          22.78,          16.42,          85.19,          29.26,           8.98
        55,        4519.01,              0,        2249.06,              0,              0,         856.11,         896.02,        1215.76,         320.67,         177.08,          70.57,          16.03,          29.86,          81.23,          21.16,          20.81
        56,        6292.04,              0,         477.10,              0,              0,         572.13,         814.46,        1063.12,         293.96,         177.86,         133.00,          20.41,          74.16,         173.65,          23.58,         105.67
        57,        2705.92,              0,        2901.11,              0,              0,         388.51,         254.93,         897.79,         288.15,         183.29,         143.56,          29.43,          24.75,          74.61,          34.58,          18.69
        58,        6411.29,        1289.24,         725.16,         174.24,              0,        2221.50,         377.90,        1013.69,         298.25,         155.84,          92.49,          29.55,          22.17,         113.17,          29.73,          24.38
        59,        5918.86,          43.99,         526.05,              0,              0,        2006.27,         269.08,        1066.09,         283.75,         183.03,          55.88,          20.22,          11.03,          70.02,          21.25,          18.99
        60,        3017.16,              0,         465.62,              0,              0,         436.11,         448.08,         849.79,         310.53,         160.59,          95.55,          26.84,         199.44,          60.75,          15.35,         116.87
        61,        3060.91,              0,        1571.03,              0,              0,         331.40,           8.81,         781.46,         252.73,         161.41,          42.22,          29.54,         101.50,          83.54,          28.82,          73.18
        62,        1850.38,              0,         953.18,              0,              0,         126.45,         137.88,        1063.77,         238.02,         159.99,          80.89,          26.91,          33.33,          72.21,          41.15,          22.47
        63,         683.59,          24.93,        1245.24,              0,              0,         417.89,         159.49,         683.76,         211.81,         164.84,          47.23,          24.20,          43.39,         165.35,          20.72,          31.67
        64,        3031.48,         679.28,        1390.92,              0,              0,         343.72,          70.92,         700.98,         205.47,         144.85,         153.49,          32.37,          63.51,          80.64,          27.64,          29.87
        65,         216.85,              0,        2392.08,              0,              0,          21.54,          60.09,         621.45,         206.28,         123.70,          63.97,          54.18,         429.09,         131.31,          54.04,         288.86
        66,        1908.06,         998.17,         792.21,              0,              0,         254.96,          77.52,         464.19,         171.35,         124.03,         123.65,         172.57,          18.66,         128.58,         215.62,          26.12
        67,         852.55,              0,        1085.24,              0,              0,         762.85,         291.80,         503.56,         198.33,         171.92,         121.27,          15.37,          55.60,          61.33,          17.47,          60.10
        68,        3374.62,         275.41,         580.99,              0,              0,         139.62,              0,         477.64,         181.58,          95.27,          45.31,          30.41,         302.73,          64.00,          38.17,         309.11
        69,         854.77,              0,         680.73,              0,              0,         778.35,         273.24,         318.79,         216.33,         105.26,          71.42,          53.79,         506.34,          70.81,          66.58,         487.17
        70,        1135.66,              0,        1123.70,              0,              0,         115.05,         213.16,         369.28,         160.05,         114.64,          86.30,         177.04,          99.63,         129.58,         192.22,         107.02
        71,        1181.14,              0,              0,              0,              0,         269.54,         349.15,         290.16,         144.38,         138.10,          86.77,          22.53,         170.12,          85.81,          25.92,         165.40
        72,         440.93,              0,         215.32,              0,              0,              0,          85.56,         233.70,         131.01,         166.88,          79.14,          52.33,         123.33,         117.89,          57.86,         156.46
        73,         133.81,              0,         984.04,              0,              0,         203.63,          85.56,         284.53,         116.29,          94.87,          88.78,          97.92,         465.95,          59.80,         112.45,         438.82
        74,        2208.04,              0,        2739.87,              0,              0,              0,              0,         194.55,          82.90,         109.77,          44.33,          78.85,          64.14,          58.37,          88.12,          69.95
        75,        1016.05,              0,              0,              0,              0,              0,         317.28,         219.39,          94.25,         152.85,          43.91,          29.21,         164.66,          44.49,          33.54,         115.14
        76,        3182.78,              0,              0,              0,              0,              0,        1976.24,         176.78,          70.54,          70.77,          32.27,          38.04,         120.32,          35.55,          42.47,         151.03
        77,         122.95,              0,        2099.51,              0,              0,         133.04,          17.88,         161.61,          61.19,          91.07,          27.20,          52.62,         387.05,          43.44,          56.43,         405.89
        78,        2744.51,              0,        1099.37,              0,              0,         639.21,              0,         117.61,          70.45,          61.14,          28.78,          54.43,         135.95,          34.75,          62.70,         103.28
        79,         110.19,              0,         581.71,              0,              0,              0,              0,         111.51,          65.72,          74.73,          27.52,          17.88,         200.81,          42.91,          17.15,         119.80
        80,         455.44,              0,         912.81,              0,              0,              0,         312.32,          96.69,          30.58,         130.59,          50.78,          56.98,         189.68,          36.41,          59.24,          98.82
        81,              0,              0,         162.26,              0,              0,              0,         149.02,         109.87,          41.50,          35.11,          24.27,          14.36,         190.13,          30.46,          16.19,         199.40
        82,         809.67,              0,              0,              0,              0,          69.39,              0,          75.77,          35.49,          33.60,          30.65,           7.42,          62.20,          30.16,           9.08,          55.67
        83,         161.22,              0,         383.60,              0,              0,         100.02,          12.96,          74.80,          34.76,          32.37,          28.82,           9.16,         585.76,          22.98,          11.17,         222.68
        84,         381.94,              0,         308.65,              0,              0,              0,              0,          79.19,          23.21,          24.96,          21.38,          19.93,         117.10,          28.26,          18.02,         124.01
        85,         697.30,              0,          64.84,              0,              0,              0,              0,          63.65,          25.24,          19.77,          28.61,           2.59,         177.80,          12.92,           2.96,         115.99
        86,              0,              0,              0,              0,              0,              0,              0,          63.72,          18.21,          18.51,          16.52,           4.73,          54.91,          15.55,           2.74,          22.16
        87,              0,              0,          64.84,              0,              0,              0,          26.10,          52.83,          16.54,          15.79,          13.63,           3.53,           9.63,          18.51,           5.33,          14.17
        88,          35.57,              0,          90.94,              0,              0,              0,              0,          47.73,          16.18,          15.70,          17.96,          14.44,          86.73,          19.83,          16.84,          44.30
        89,         136.93,              0,              0,              0,              0,              0,              0,          52.83,          12.01,          17.02,          14.10,           4.64,          45.73,          11.28,           2.86,          23.38
        90,              0,              0,         379.13,              0,              0,           1.42,          42.06,          42.28,          21.06,          18.46,           6.69,           2.93,          31.57,          16.15,           1.83,          32.90
        91,              0,              0,         101.23,              0,              0,              0,              0,          65.13,          11.59,          17.79,          18.50,           2.74,          59.92,          15.64,           4.22,          27.95
        92,        1818.28,              0,          64.84,              0,              0,              0,              0,          35.86,          11.04,          15.51,          11.47,           3.11,          11.51,           9.20,           3.99,          11.35
        93,              0,              0,          67.31,              0,              0,              0,              0,          41.84,          10.46,          17.01,           5.37,           3.50,          25.40,          14.89,           3.00,          13.64
        94,              0,              0,              0,              0,              0,              0,          26.86,          38.66,          14.28,          18.08,          15.62,           7.79,           9.48,           9.41,           5.88,          11.85
        95,              0,              0,          58.74,              0,              0,          69.85,              0,          38.83,          10.40,          12.66,           7.82,           3.99,           4.68,          14.23,           4.73,           9.16
        96,              0,         269.09,          15.11,              0,              0,              0,              0,          30.87,          10.66,          16.31,           9.72,           1.99,           3.40,           8.81,           2.31,           3.56
        97,              0,              0,              0,              0,              0,              0,              0,          35.20,           9.87,          11.53,           4.18,           4.65,           6.51,          10.40,           6.30,          20.47
        98,              0,         679.28,              0,              0,              0,              0,              0,          51.66,          10.75,          16.72,          10.87,          16.76,          16.05,           8.28,          14.06,           7.32
        99,              0,              0,              0,              0,              0,              0,              0,          31.15,           9.96,          15.84,           4.80,           3.94,          16.49,          14.85,           4.45,          22.10
       100,              0,              0,              0,              0,              0,              0,          36.84,          39.74,          10.92,          11.47,          11.49,           4.91,           2.47,          11.47,           4.92,           2.55
       101,          58.74,              0,              0,              0,              0,              0,              0,          27.65,          10.76,          14.63,           6.90,           5.20,           4.32,          10.06,           4.97,          11.69
       102,              0,              0,              0,              0,              0,              0,         136.56,          38.83,           6.83,           9.51,           7.50,           3.71,           7.37,           9.97,           4.98,          12.89
       103,              0,              0,              0,              0,              0,              0,              0,          15.05,           9.66,          12.08,          10.36,           2.45,          28.93,          11.04,           3.14,          25.60
       104,              0,              0,              0,              0,              0,              0,              0,          16.73,          12.21,          14.14,           5.74,           4.50,          15.40,          13.00,           6.85,          10.30
       105,         410.62,              0,              0,              0,              0,              0,          94.60,          11.17,           6.70,          12.66,          13.15,           5.45,          14.75,          25.89,           3.73,          20.01
       106,         366.63,              0,              0,              0,              0,              0,              0,          13.85,           6.72,           8.60,          16.51,           1.72,          12.79,          16.36,           2.24,           8.71
       107,              0,              0,              0,              0,              0,              0,              0,           6.94,           7.39,          10.48,          11.49,           4.91,           7.71,          13.61,           4.51,          12.19
       108,              0,              0,              0,              0,              0,              0,              0,           6.80,           5.14,          10.94,          10.10,           2.33,           7.80,          28.47,           3.60,           7.51
       109,              0,              0,              0,              0,              0,              0,              0,          41.69,           3.48,          22.90,          20.93,           6.19,          16.37,          16.36,           6.19,          25.66
       110,              0,              0,              0,              0,              0,              0,              0,           4.39,          14.92,           7.68,           8.44,           6.46,          11.06,           8.11,           4.18,          12.03
       111,              0,              0,              0,              0,              0,              0,              0,           2.57,           3.80,           5.52,           6.49,           2.02,          11.42,          25.57,           1.93,           3.52
       112,              0,              0,              0,              0,              0,              0,              0,           4.74,           3.59,           8.95,           8.32,           7.39,          13.22,           8.70,           5.43,          10.33
       113,              0,              0,              0,              0,              0,              0,              0,           3.41,           3.99,           6.55,           5.68,           7.89,          10.10,           5.31,           4.41,          20.48
       114,              0,              0,              0,              0,              0,              0,          10.40,           2.89,           6.98,          16.79,           1.78,          11.99,          15.38,          22.66,           7.31,          22.74
       115,              0,              0,              0,              0,              0,              0,              0,           5.38,           1.47,           6.86,          11.65,           6.69,           3.87,           2.53,           8.02,           8.20
       116,              0,              0,              0,              0,              0,              0,              0,           3.83,           1.38,           3.18,           2.18,          11.89,           7.37,           6.18,           8.03,          10.16
       117,              0,              0,              0,              0,              0,              0,              0,           2.17,           2.15,           9.09,           2.25,           9.05,           9.96,          10.51,           7.47,          33.38
       118,              0,              0,              0,              0,              0,              0,              0,           6.15,           1.04,           3.49,           1.60,           2.40,          16.27,           2.85,           4.13,          11.47
       119,              0,              0,              0,              0,              0,              0,              0,           1.19,           0.58,          16.72,           1.72,          40.90,          38.40,           1.20,          53.59,          49.27
       120,              0,              0,              0,              0,              0,              0,              0,           1.07,           0.85,           2.05,           1.15,           4.47,          33.39,           1.06,           5.88,          46.75
       121,              0,              0,              0,              0,              0,              0,              0,           1.57,           0.61,           6.74,           0.98,           2.00,          23.16,           1.44,           3.85,          15.14
       122,              0,              0,              0,              0,              0,              0,              0,           0.65,           0.53,           3.18,           0.74,           8.30,         140.72,           1.34,          11.59,         140.98
       123,              0,              0,              0,              0,              0,              0,              0,           2.93,           2.19,          10.15,           1.21,          16.86,           8.58,           0.89,          22.51,          14.79
       124,              0,              0,              0,              0,              0,              0,              0,           0.27,           0.25,           4.46,           1.39,           1.68,         140.65,           0.07,           4.18,         147.42
       125,              0,              0,              0,              0,              0,              0,              0,           0.84,           0.69,           4.15,           0.11,           3.67,           1.91,           0.72,           2.96,           3.35
       126,              0,              0,              0,              0,              0,              0,              0,           0.01,           0.69,           2.05,           0.45,          12.98,          15.22,           0.04,           7.46,          21.66
       127,              0,              0,              0,              0,              0,              0,              0,           0.56,           0.82,           0.48,           0.37,           5.56,         181.29,           0.20,           4.78,         351.62
       128,              0,              0,              0,              0,              0,              0,              0,           0.53,           0.09,           8.76,           0.08,           0.74,          36.82,           0.20,           0.90,          21.04
       129,              0,              0,              0,              0,              0,              0,              0,           0.58,           0.16,           5.33,           0.38,           1.03,          57.61,           0.36,           2.31,          58.80
       130,              0,              0,              0,              0,              0,              0,              0,           1.05,           0.05,           0.30,           0.33,           4.19,          20.21,           1.65,           3.41,          39.18
       131,              0,              0,              0,              0,              0,              0,              0,           0.00,           0.05,           0.77,           0.17,           0.10,           2.35,           1.02,           0.14,          26.03
       132,              0,              0,              0,              0,              0,              0,              0,           0.52,              0,           0.08,           0.25,           0.91,          88.92,           0.83,           0.87,         246.62
       133,              0,              0,              0,              0,              0,              0,              0,           0.48,           0.07,           0.30,           0.25,           0.05,         274.94,           0.64,           0.06,         659.16
       134,              0,              0,              0,              0,              0,              0,              0,           0.97,           0.07,           0.10,           0.17,           2.55,         479.23,           0.56,           2.04,          30.58
       135,              0,              0,              0,              0,              0,              0,              0,           0.42,           0.07,           0.00,           0.45,           0.26,          26.48,           0.75,           0.36,          15.41
       136,              0,              0,              0,              0,              0,              0,              0,           0.27,           0.10,           0.05,           0.45,           0.00,          97.38,           0.75,           0.00,         478.91
       137,              0,              0,              0,              0,              0,              0,              0,           0.09,           0.03,           0.11,           0.34,           0.22,           0.03,           1.93,           0.37,           0.09
       138,              0,              0,              0,              0,              0,              0,              0,           0.42,           0.05,           0.05,           0.57,              0,           2.45,           0.52,           0.42,          14.84
       139,              0,              0,              0,              0,              0,              0,              0,           0.19,           0.02,           0.21,           0.65,              0,           2.44,           0.16,           0.22,           4.16
       140,              0,              0,              0,              0,              0,              0,              0,           0.24,           0.05,           0.04,           0.16,           0.12,           4.78,           0.61,           0.34,           5.35
       141,              0,              0,              0,              0,              0,              0,              0,           0.35,           0.11,           0.08,           0.07,           0.01,           0.13,           0.26,           0.06,           0.08
       142,              0,              0,              0,              0,              0,              0,              0,           1.15,           0.09,           0.03,           0.14,           0.01,           0.99,           0.18,           0.93,           0.83
       143,              0,              0,              0,              0,              0,              0,              0,           0.12,           0.54,           0.06,           0.07,              0,           0.21,           0.51,           0.09,           0.13
       144,              0,              0,              0,              0,              0,              0,              0,           0.12,           0.09,           0.02,           0.08,              0,           1.93,           0.36,           0.05,           0.77
       145,              0,              0,              0,              0,              0,              0,              0,           0.11,           0.07,           0.16,           0.38,           0.07,           0.54,           0.26,           1.12,           3.77
       146,              0,              0,              0,              0,              0,              0,              0,           0.04,           0.07,           0.32,           0.03,           0.09,           1.88,           0.23,           0.24,           1.26
       147,              0,              0,              0,              0,              0,              0,              0,           0.05,           0.02,           0.01,           0.04,           0.02,           0.08,           0.10,           0.03,           0.05
       148,              0,              0,              0,              0,              0,              0,              0,           0.22,           0.14,           0.04,           0.09,           0.02,           0.14,           0.00,           0.03,           0.44
       149,              0,              0,              0,              0,              0,              0,              0,           0.00,           0.02,           0.04,           0.05,           0.02,           0.51,           0.05,           0.05,           0.54
       150,              0,              0,              0,              0,              0,              0,              0,           0.01,           0.24,           0.03,           0.07,              0,           2.11,           0.02,           0.02,           1.09
       151,              0,              0,              0,              0,              0,              0,              0,           0.03,           0.07,           0.02,           0.01,              0,           0.16,           0.01,           0.02,           0.65
       152,              0,              0,              0,              0,              0,              0,              0,           0.04,           0.01,           0.08,              0,           0.00,           0.02,              0,           0.10,           0.22
       153,              0,              0,              0,              0,              0,              0,              0,           0.20,           0.03,           0.02,              0,              0,           0.22,           0.24,           0.04,           1.19
       154,              0,              0,              0,              0,              0,              0,              0,           0.02,           0.00,           0.36,              0,           0.39,           0.01,              0,           0.48,           0.14
       155,              0,              0,              0,              0,              0,              0,              0,           0.03,           0.03,           0.03,           0.15,           0.21,           0.59,              0,           0.20,           1.42
       156,              0,              0,              0,              0,              0,              0,              0,              0,           0.00,           0.02,              0,           0.03,           3.90,           0.50,           0.04,           8.95
       157,              0,              0,              0,              0,              0,              0,              0,              0,           0.00,           0.20,              0,           1.36,              0,              0,           0.64,           0.34
       158,              0,              0,              0,              0,              0,              0,              0,              0,           0.00,           0.25,           0.12,           0.76,           1.69,              0,           0.30,           0.97
       159,              0,              0,              0,              0,              0,              0,              0,              0,           0.01,           0.84,           0.00,           0.49,           2.40,              0,           1.68,           0.89
       160,              0,              0,              0,              0,              0,              0,              0,           0.00,              0,           0.23,              0,              0,           0.07,              0,           0.03,           0.14
       161,              0,              0,              0,              0,              0,              0,              0,           0.02,              0,           0.04,              0,              0,           1.48,              0,           0.01,           5.18
       162,              0,              0,              0,              0,              0,              0,              0,           0.56,              0,           0.02,              0,           0.09,           4.71,           0.00,           0.12,           9.48
       163,              0,              0,              0,              0,              0,              0,              0,           0.00,              0,           0.02,              0,              0,           0.03,              0,           0.03,           0.11
       164,              0,              0,              0,              0,              0,              0,              0,           0.00,              0,           0.06,              0,           0.01,           0.92,              0,           0.05,           1.47
       165,              0,              0,              0,              0,              0,              0,              0,              0,              0,           0.03,              0,              0,           2.77,              0,           0.01,           6.92
       166,              0,              0,              0,              0,              0,              0,              0,              0,              0,           0.19,              0,              0,          17.54,              0,           0.09,          23.75
       167,              0,              0,              0,              0,              0,              0,              0,              0,              0,           0.06,              0,              0,          21.45,              0,           0.07,          40.65
       168,              0,              0,              0,              0,              0,              0,              0,              0,              0,           0.01,              0,              0,           0.23,              0,              0,           0.42
       169,              0,              0,              0,              0,              0,              0,              0,              0,              0,           0.00,              0,              0,           0.42,              0,              0,           0.90
       170,              0,              0,              0,              0,              0,              0,              0,           0.00,              0,           0.01,              0,              0,           0.11,              0,           0.03,           0.18
       171,              0,              0,              0,              0,              0,              0,              0,              0,              0,           0.10,              0,              0,           0.82,              0,           0.27,           2.16
       172,              0,              0,              0,              0,              0,              0,              0,              0,              0,           0.00,              0,              0,           3.38,              0,              0,           2.02
       173,              0,              0,              0,              0,              0,              0,              0,              0,              0,           0.48,              0,           1.67,           0.02,              0,           3.37,           0.16
       174,              0,              0,              0,              0,              0,              0,              0,              0,              0,           0.03,              0,              0,           3.21,              0,              0,           5.24
       175,              0,              0,              0,              0,              0,              0,              0,              0,              0,           0.00,              0,              0,           0.32,              0,              0,           0.75
       176,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0
       177,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0
       178,              0,              0,              0,              0,              0,              0,              0,              0,              0,           0.00,              0,              0,           0.22,              0,              0,           1.90
       179,              0,              0,              0,              0,              0,              0,              0,              0,              0,           0.01,              0,              0,           0.39,              0,              0,           9.84
       180,              0,              0,              0,              0,              0,              0,              0,              0,              0,           0.05,              0,              0,          11.51,              0,           0.02,          15.12
       181,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,           0.44,              0,              0,              0
       182,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,           0.01,              0,              0,           0.00
       183,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,           0.07,              0,              0,              0
       184,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0
       185,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0
       186,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0
