Bin,HBOth,HBSch_Pr,HBSch_Sc,HBShp,HBW,HV,IX_HV,IX_LT,IX_MD,LT,MD,NHBNW,NHBW,XI_HV,XI_LT,XI_MD
48,0.000107634,0,0,7.95E-05,0.000615509,0.003109422,0.000678497,0.004457738,0.002673255,0.000956748,0.001547889,6.27E-05,0.00035801,0.0006683,0.003903516,0.002447173
49,0.00043412,0,0,0,0.000471639,0.002906793,0.000974743,0.004322782,0.0027679,0.000954628,0.001545709,0.000114705,0.000161644,0.000674026,0.004436078,0.002111735
50,0.000358439,0,0,0,0.000545225,0.003912344,0.010089065,0.003005465,0.005108929,0.000859783,0.001615481,1.00E-04,0.000606102,0.014790124,0.0038796,0.00569673
51,5.49E-06,0,0,0,0.000120892,0.003427607,0.010183831,0.004852456,0.005746338,0.000664329,0.001095551,0,3.93E-05,0.011360281,0.004548657,0.007272907
52,0.000204415,0,0,0,0.000591327,0.00332263,0.002279178,0.004486999,0.002684844,0.000672918,0.001032229,0.000202829,8.21E-05,0.002687924,0.003807853,0.002765458
53,6.93E-05,0,0,0.001362434,0.001616524,0.0030096,0.004694533,0.004104224,0.003801275,0.00052174,0.001219742,5.45E-06,0.000145099,0.006431058,0.004437245,0.004557003
54,0.00018695,0,0,0,0.001566209,0.002738071,0.003929232,0.004162148,0.004649222,0.000573111,0.001166504,8.65E-05,0,0.004531679,0.004137423,0.004564626
55,0.000121865,0,0,0,0.000269331,0.002238686,0.00658668,0.004940237,0.005699981,0.000481065,0.001090917,5.21E-06,0.001146201,0.004532497,0.004024261,0.006055039
56,5.14E-05,0,0,0.000783086,0.000360343,0.002768452,0.013573133,0.002983371,0.003633231,0.000422777,0.000670921,0.000158309,9.51E-05,0.007424919,0.003471866,0.003933774
57,7.03E-05,0,0,0,0,0.002884821,0.005951186,0.003082498,0.002736995,0.000361349,0.000897045,4.96E-05,0,0.003457655,0.002687313,0.002647293
58,5.27E-05,0,0,0.000105771,0.001736393,0.001849975,0.018062205,0.002192144,0.00592404,0.000338069,0.000621772,0.000104589,0.000187443,0.007731666,0.002581734,0.006279935
59,0.000736304,0,0,0,0.000473159,0.001605572,0.012271883,0.003160725,0.002458853,0.00034708,0.000732608,0.001144989,0.001054979,0.004692823,0.005746778,0.002309949
60,7.95E-05,0,0,0,0.00040793,0.001933522,0.004180882,0.00234621,0.005713502,0.00025998,0.000710077,0,4.81E-05,0.005298956,0.002214248,0.005067783
61,0.000345242,0,0,0,0.001132338,0.003486741,0.003771553,0.002878869,0.003239196,0.000274127,0.000511299,0,8.08E-05,0.003501008,0.002500653,0.003238121
62,1.78E-05,0,0,0,0,0.001120835,0.016199523,0.006522092,0.005363893,0.000243101,0.000487951,9.82E-06,0.000144851,0.019797056,0.007607539,0.007436815
63,0.000177445,0,0,0,0.001279732,0.001344622,0.00741569,0.006930544,0.016788965,0.000176509,0.000550365,0.000364776,0.000247797,0.009303029,0.008061355,0.015291021
64,0.000229976,0,0,0,0,0.000912509,0.023167659,0.00678663,0.015931361,0.000168695,0.00043008,0,8.87E-05,0.027863281,0.007468711,0.018022173
65,0.00035595,0,0,0,0.000104669,0.001079061,0.04519334,0.004814238,0.028329931,0.000181782,0.000525199,8.63E-05,0,0.043814136,0.00576311,0.033065428
66,0,0,0,0,0.000101034,0.000591883,0.011767788,0.008555991,0.008651378,0.000217117,0.000374662,0,0,0.010768872,0.009611212,0.010106978
67,7.12E-06,0,0,0,0.000243986,0.000783391,0.052784228,0.006203213,0.040558525,0.000176835,0.000329964,0,0,0.054939653,0.00673549,0.046029347
68,0,0,0,0,0.000331942,0.000463036,0.025425335,0.005621587,0.017451484,0.000154833,0.000296986,7.51E-06,0,0.024103787,0.004805314,0.021178341
69,2.12E-05,0,0,0,2.12E-05,0.000488806,0.014739001,0.004186034,0.017397401,0.000144994,0.000183606,0,0,0.012779498,0.005238714,0.02047697
70,0.000118181,0,0,0,0,0.000562316,0.024017373,0.004479833,0.010248763,0.000106465,0.000161167,5.39E-07,0,0.017917309,0.005540869,0.012140571
71,0.000261635,0,0,0,7.55E-05,0.000661868,0.015097363,0.003946576,0.005638172,0.000110012,0.000176429,0,7.64E-05,0.00746909,0.0043165,0.006022638
72,1.23E-05,0,0,0,0,0.000535191,0.003821724,0.002857371,0.001651469,8.46E-05,0.000134366,0,0,0.002995489,0.002766643,0.00236522
73,1.36E-05,0,0,0,0,0.000589985,0.008560853,0.001955672,0.001400368,7.98E-05,0.000126735,0,0,0.005177075,0.002055587,0.001568554
74,0,0,0,0,0,0.000531393,0.012958344,0.004743177,0.004506288,9.85E-05,0.000157533,2.44E-05,1.68E-06,0.012124286,0.005416041,0.004273024
75,0,0,0,0,3.43E-05,0.000339072,0.005357899,0.002153927,0.001794403,8.06E-05,9.32E-05,1.51E-05,8.20E-05,0.004194666,0.002686729,0.002176536
76,1.36E-05,0,0,0,0,0.000288075,0.008665176,0.002116306,0.006791303,8.69E-05,7.86E-05,0,0,0.004065423,0.002809808,0.006752597
77,0,0,0,0,0,0.000414481,0.013406694,0.001915663,0.001466041,7.88E-05,0.00010166,0,0,0.007072364,0.002868722,0.000956761
78,5.46E-06,0,0,0,0,0.000281565,0.040564905,0.002343821,0.005678734,5.81E-05,8.01E-05,0,0,0.015263741,0.002682063,0.006001673
79,0,0,0,0,0,0.000361586,0.001161091,0.002033899,0.000647067,5.83E-05,7.31E-05,0,0,0.001232715,0.002386908,0.000560334
80,1.18E-05,0,0,0,0,0.000584831,0.005917739,0.001149517,0.001000539,3.71E-05,0.00019796,3.28E-06,0,0.004287099,0.001413362,0.001353188
81,5.46E-06,0,0,0,0,0.000240063,0.002099201,0.002198713,0.002115039,4.07E-05,5.77E-05,0,0,0.002089153,0.002220664,0.002064088
82,1.36E-05,0,0,0.000310212,0,0.000295128,0.003537424,0.000772117,0.000191223,3.25E-05,4.52E-05,0,0,0.001569728,0.000771137,0.000373556
83,0,0,0,0,0,0.000272885,0.000324118,0.000546991,0.000291663,3.26E-05,8.85E-05,0,0,0.000270756,0.000575144,0.000447886
84,0,0,0,0,0.00023996,0.000158686,0.000380659,0.000388149,0.000627751,2.39E-05,3.33E-05,0,0,0.000431082,0.000506897,0.00075283
85,0,0,0,0,0.000214253,0.000202358,0.000366325,0.000501608,0.000411419,5.43E-05,4.34E-05,0,8.25E-05,0.001532918,0.000369819,0.000832878
86,0,0,0,0,0,0.00025037,0.000230148,0.000361277,0.000345746,7.46E-05,5.51E-05,0,0,0.000597135,0.000490564,0.000451698
87,0,0,0,0,0,0.000134815,0.001134014,0.000320671,0.000309047,3.22E-05,4.30E-05,1.56E-05,0,0.00066012,0.000376819,0.00025539
88,0,0,0,0,0,0.000103078,0.000711148,0.000449058,0.00075137,2.04E-05,3.33E-05,1.81E-05,0,0.000814721,0.000656808,0.000364027
89,0,0,0,0,0,0.000555264,0.000918201,0.000601929,0.000492543,2.45E-05,7.40E-05,0,0,0.001260527,0.000646892,0.000316379
90,0,0,0,0,0,0.000210224,0.001296471,0.000573266,0.000842152,1.85E-05,2.46E-05,0,0,0.001785678,0.000607227,0.000444074
91,0,0,0,0,0,0.000129932,0.00068885,0.000652687,0.001209145,1.82E-05,3.07E-05,0,0,0.001218809,0.000902382,0.000470757
92,0,0,0,0.000783086,0,0.000125321,0.000412514,0.000659853,0.000722397,1.35E-05,1.66E-05,0,0,0.000766459,0.000638725,0.000459321
93,0,0,0,0,0,0.00059541,0.001684298,0.000974552,0.001898706,1.28E-05,2.69E-05,0,0,0.001881383,0.001153205,0.001393212
94,0,0,0,0,0,8.95E-05,0.001215243,0.000596555,0.002109244,8.14E-06,1.02E-05,5.48E-05,0,0.001199995,0.001171288,0.001296011
95,0,0,0,0,0,0.00010579,0.002120702,0.000928571,0.002928218,5.79E-06,1.02E-05,0,0,0.002737821,0.001070959,0.002510068
96,0,0,0,0,0,0.000145936,0.003249142,0.000834221,0.002493621,1.10E-05,3.02E-05,0,0,0.004984029,0.000957796,0.003146638
97,0,0,0,0,0,7.76E-05,0.001337086,0.001040238,0.001126089,6.28E-06,1.24E-05,0,0,0.001429851,0.001371364,0.001353188
98,0,0,0,0,0,0.000137799,0.004571097,0.001200872,0.004637633,4.09E-06,5.72E-06,0,0,0.004930041,0.001738849,0.005854919
99,0,0,0,0,0,0.000108774,0.007595667,0.000987092,0.005794627,3.37E-06,6.18E-06,7.91E-05,0,0.007859273,0.001271617,0.007442532
100,0,0,0,0,0,2.03E-05,0.007604426,0.000465181,0.000687629,2.45E-06,6.09E-06,0,0,0.021483757,0.000860967,0.000606076
101,0,0,0,0,0,2.55E-05,0.00675949,0.000419798,0.003277827,3.72E-06,5.27E-06,0,0,0.00555417,0.000648642,0.004177729
102,0,0,0,0,0,6.94E-05,0.00339408,0.000320671,0.000355404,4.05E-06,2.91E-06,0,0,0.003813481,0.000530229,0.000634664
103,0,0,0,0,0,0.000156244,0.000402161,0.000223335,0.00031291,4.00E-06,1.54E-06,0,0,0.000620038,0.0004194,0.000436451
104,0,0,0,0,0,1.00E-05,0.017049237,0.000382177,0.000950319,2.24E-06,5.45E-07,0,0,0.052571564,0.00076297,0.001073021
105,0,0,0,0,0,9.22E-06,0.010363808,0.000662241,0.002586335,2.85E-06,1.82E-07,0,0,0.021235087,0.001439611,0.001526624
106,0,0,0,0,0,3.50E-05,0.042397326,0.000391134,0.00118983,1.86E-06,2.73E-07,0,0,0.008552112,0.000653308,0.000945325
107,0,0,0,0,0,2.06E-05,0.002690099,0.000217363,0.000467433,1.58E-06,1.82E-07,0,0,0.003089558,0.000566978,0.000461227
108,0,0,0,0,0,0.000112572,0.007312959,0.000162425,0.001207214,2.80E-06,4.54E-07,0,0,0.03764729,0.000776387,0.001193092
109,0,0,0,0,0,1.09E-06,0.000885551,7.70E-05,0.000778412,1.29E-06,6.36E-07,0,0,0.001015129,0.000135911,0.000722335
110,0,0,0,0,0,1.19E-05,0.000285096,8.36E-05,5.79E-05,3.49E-06,1.82E-06,6.03E-06,0,0.001298154,0.000180826,0.000142942
111,0,0,0,0,0,8.41E-06,0.01084242,3.46E-05,0.000666382,1.71E-06,3.27E-06,0,0,0.010949648,3.44E-05,0.000160095
112,0,0,0,0,0,6.51E-06,0.000324118,2.33E-05,4.06E-05,1.94E-06,1.73E-06,0,0,0.000593863,4.08E-05,0.000259202
113,0,0,0,0,0,0.000220532,0.000463481,8.06E-05,0.000295526,1.59E-06,1.88E-05,0,0,0.000539057,0.000222825,0.000983443
114,0,0,0,0,0,2.98E-06,1.43E-05,4.84E-05,7.53E-05,5.03E-07,2.73E-07,0,0,5.97E-05,5.66E-05,0.000179154
115,0,0,0,0,0,1.09E-05,0.00681205,0.000124805,0.000444255,4.08E-07,8.18E-07,0,0,0.007199971,0.000193659,0.001012032
116,0,0,0,0,0,7.60E-06,6.93E-05,3.82E-05,5.02E-05,4.08E-07,9.08E-07,0,0,0.00046462,6.65E-05,0.00014866
117,0,0,0,0,0,3.53E-06,0.000543913,2.27E-05,0,1.30E-06,0,0,0,0.00090879,1.40E-05,0.000133413
118,0,0,0,0,0,1.55E-05,1.43E-05,2.39E-06,0,1.26E-06,1.82E-07,0,0,3.03E-05,2.27E-05,1.14E-05
119,0,0,0,0,0,3.66E-05,0.000201479,7.76E-06,0,2.17E-07,3.00E-06,0,0,0.001894471,5.02E-05,1.14E-05
120,0,0,0,0,0,2.44E-06,9.00E-05,2.99E-05,0,2.85E-07,2.73E-07,0,0,0.000372187,3.79E-05,2.29E-05
121,0,0,0,0,0,1.36E-06,0.000165643,2.93E-05,0,1.77E-07,1.82E-07,0,0,0.000323925,5.02E-05,3.43E-05
122,0,0,0,0,0,1.63E-06,4.94E-05,4.30E-05,2.32E-05,9.24E-07,1.82E-07,0,0,7.36E-05,0.000151661,0.000234425
123,0,0,0,0,0,0,2.07E-05,1.55E-05,9.66E-06,7.75E-07,0,0,0,3.93E-05,6.18E-05,1.72E-05
124,0,0,0,0,0,0,0.000303413,3.05E-05,5.79E-06,3.40E-07,0,0,0,0.000738647,0.000111412,1.72E-05
125,0,0,0,0,0,0,0.002202727,0.000100322,0.000618094,0,0,0,0,0.002914508,0.00018316,0.000367838
126,0,0,0,0,0,0,0.000105119,3.70E-05,0,0,0,0,0,0.000145603,5.25E-05,3.81E-06
127,0,0,0,0,0,2.71E-07,0.000112287,5.43E-05,0,5.44E-08,0,0,0,8.51E-05,6.65E-05,3.81E-06
128,0,0,0,0,0,6.51E-06,9.56E-06,5.25E-05,0,4.08E-08,0,0,0,4.01E-05,3.79E-05,1.72E-05
129,0,0,0,0,0,2.71E-07,6.05E-05,6.03E-05,0,1.36E-08,0,0,0,8.26E-05,4.32E-05,1.14E-05
130,0,0,0,0,0,2.71E-07,5.49E-05,3.58E-06,3.09E-05,0,0,0,0,4.42E-05,1.17E-05,4.19E-05
131,0,0,0,0,0,5.43E-07,2.87E-05,9.55E-06,0.000206675,2.72E-08,0,0,0,0.000101431,3.15E-05,6.48E-05
132,0,0,0,0,0,2.44E-06,2.95E-05,2.99E-06,1.16E-05,2.72E-08,0,0,0,4.83E-05,2.27E-05,9.53E-06
133,0,0,0,0,0,2.71E-06,0.000175199,5.37E-06,7.73E-05,2.72E-08,0,0,0,0.000581593,2.10E-05,7.05E-05
134,0,0,0,0,0,8.14E-07,0.000388623,7.76E-06,9.46E-05,5.44E-08,0,0,0,0.000750099,3.03E-05,0.000110542
135,0,0,0,0,0,1.36E-06,3.19E-05,3.58E-06,0,4.08E-08,0,0,0,1.39E-05,6.42E-06,1.91E-06
136,0,0,0,0,0,0,5.73E-05,4.18E-06,0,0,0,0,0,0.000292023,7.00E-06,5.72E-06
137,0,0,0,0,0,0,0.00328896,2.99E-05,0.000227922,3.26E-07,0,0,0,0.005615519,3.85E-05,0.00038118
138,0,0,0,0,0,1.30E-05,3.98E-06,4.18E-06,0,1.36E-08,0,0,0,9.00E-06,1.17E-06,0
139,0,0,0,0,0,3.80E-06,5.18E-05,2.39E-06,0,1.36E-08,0,0,0,9.08E-05,5.25E-06,1.91E-06
140,0,0,0,0,0,0,1.43E-05,3.58E-06,0,0,0,0,0,1.88E-05,5.83E-06,0
141,0,0,0,0,0,2.71E-07,0.000315358,0,0,1.36E-08,0,0,0,7.69E-05,9.33E-06,5.72E-06
