Bin,HBW,HBShp,HBOth,HBSch_Pr,HBSch_Sc,NHBW,NHBNW,LT,MD,HV,IX,IX_LT,IX_MD,IX_HV,XI,XI_LT,XI_MD,XI_HV,Tel_HBW,Tel_NHBW
        22,       39479.47,       12104.97,       74106.02,        1677.80,        3467.73,       14609.83,       26131.86,        3446.23,       11611.22,        4327.63,         516.13,         836.23,         105.35,         119.85,         927.01,        1347.77,         193.98,         174.63,        6545.90,        1324.35
        23,       38790.80,       10473.06,       66549.09,        1459.63,        3142.33,       14083.13,       25012.11,        3350.07,       11666.06,        4362.66,         485.39,         967.25,         141.31,         117.87,        1096.84,        1466.48,         219.17,         164.49,        6420.32,        1269.19
        24,       37156.17,        8924.94,       60829.96,        1237.00,        2604.48,       11988.32,       21255.61,        3220.43,       11964.85,        4257.59,         547.24,        1082.16,          87.83,         104.23,         802.68,        1578.83,         107.11,         136.49,        6181.63,        1044.11
        25,       35570.18,        8235.65,       55726.52,        1103.99,        2202.62,       11488.90,       19894.62,        3047.24,       11628.21,        4422.38,         743.91,         880.51,          91.39,          75.07,        1647.49,        1415.34,         136.63,         104.34,        5923.21,        1006.53
        26,       34717.83,        6633.47,       49979.98,         999.59,        1832.85,       10725.22,       18231.32,        2994.04,       11394.06,        4405.10,         710.32,        1162.57,          63.62,          87.82,        1301.56,        2086.71,          94.82,         112.51,        5764.07,         939.25
        27,       32599.65,        5570.52,       46240.83,         878.86,        1561.22,        9934.40,       16232.17,        2860.70,       11388.48,        4263.02,         778.98,         945.21,         137.97,          95.12,        1243.11,        1668.61,         189.22,         128.79,        5392.91,         856.35
        28,       31322.73,        4882.95,       41755.37,         773.10,        1259.63,        9706.37,       15296.00,        2674.74,       11344.92,        4285.77,         916.08,        1018.20,         155.89,         100.49,        1431.64,        1918.31,         206.71,         121.59,        5197.50,         878.86
        29,       30654.33,        4412.67,       39229.06,         686.53,        1152.44,        8532.28,       13516.72,        2534.25,       11186.47,        4260.01,         786.01,        1036.77,         133.50,          93.33,        1120.69,        2506.97,         168.20,         129.71,        5076.96,         724.51
        30,       28880.65,        3746.48,       36532.21,         602.17,         990.98,        8268.85,       12579.56,        2436.30,       11115.38,        4253.44,         943.76,        1109.86,         199.96,         151.22,        1839.54,        1834.11,         255.75,         186.75,        4799.08,         710.67
        31,       28268.55,        3328.50,       32504.69,         559.88,         841.14,        8050.68,       11844.30,        2316.52,       10956.49,        4276.86,         869.50,        1206.10,         132.98,         120.26,        1169.04,        2043.78,         162.57,         150.61,        4705.19,         683.27
        32,       26481.59,        2897.87,       31136.92,         510.19,         763.36,        7526.06,       10798.64,        2154.80,       10773.71,        4311.29,        1001.34,        1202.27,         195.02,         134.16,        1977.98,        1885.37,         261.93,         164.71,        4417.47,         631.19
        33,       24854.45,        2523.75,       28064.99,         458.90,         668.82,        7360.85,       10395.85,        2009.22,       10487.08,        4346.40,         819.46,        1260.68,         160.84,         151.03,        1611.08,        2403.14,         204.56,         191.49,        4150.32,         617.89
        34,       23866.39,        2345.62,       26573.68,         393.74,         587.57,        6971.80,        9328.59,        1803.86,       10160.02,        4211.70,         806.32,         911.81,         194.06,         142.53,        1764.96,        1858.80,         242.00,         176.76,        3990.04,         575.05
        35,       23181.15,        2154.33,       24792.50,         365.31,         508.41,        6547.44,        8591.33,        1691.85,        9804.72,        4128.03,        1061.21,        1275.75,         208.37,         159.17,        1988.46,        2526.52,         260.10,         193.57,        3888.30,         540.16
        36,       22043.99,        1801.08,       23563.44,         337.72,         483.16,        6253.97,        8025.47,        1547.83,        9684.55,        3972.70,         998.99,        1231.88,         222.69,         139.14,        1815.30,        2504.30,         276.95,         178.87,        3690.28,         514.97
        37,       20487.55,        1754.38,       21310.82,         327.58,         453.72,        6446.23,        7835.08,        1435.27,        9576.75,        3978.86,         978.87,        1300.68,         114.29,         156.40,        1216.73,        2286.89,         156.61,         213.15,        3417.48,         550.38
        38,       19652.50,        1555.39,       20444.00,         287.92,         410.24,        6047.57,        7066.52,        1295.94,        8996.67,        3939.12,        1034.84,        1272.47,         295.36,         142.29,        2045.41,        2401.47,         320.32,         177.04,        3253.07,         503.97
        39,       19068.12,        1401.21,       18912.07,         241.17,         420.36,        5497.66,        6448.24,        1186.84,        8716.89,        3764.46,         969.53,        1156.30,         170.92,         159.86,        1590.65,        1742.75,         222.48,         210.24,        3156.82,         441.00
        40,       17626.80,        1289.73,       17577.70,         223.82,         382.11,        5461.81,        6281.77,        1054.94,        8112.53,        3658.64,         870.83,        1193.77,         136.31,         134.61,        2303.00,        1832.51,         184.03,         168.73,        2929.57,         446.91
        41,       16901.16,        1225.55,       17126.12,         258.41,         357.93,        5306.04,        5928.56,         983.98,        7752.97,        3433.93,        1044.96,        1279.77,         239.15,         124.47,        1992.01,        1823.15,         273.42,         163.66,        2781.65,         435.18
        42,       15772.49,        1148.59,       16009.37,         246.92,         354.50,        5138.30,        5588.67,         905.14,        7392.42,        3273.02,        1089.46,        1164.05,         175.57,         154.24,        2104.92,        1671.26,         219.58,         202.50,        2607.21,         429.72
        43,       15363.11,        1061.55,       14976.05,         152.60,         339.84,        4763.61,        5027.83,         847.59,        7039.97,        3158.69,        1303.42,         944.07,         213.74,         152.72,        2031.49,        1872.92,         249.01,         184.30,        2547.66,         385.77
        44,       14485.39,         940.02,       14417.20,          89.95,         320.15,        4814.16,        5006.26,         792.91,        6487.60,        3002.28,         999.95,        1132.35,         208.44,         178.78,        1897.00,        1408.51,         219.24,         237.14,        2403.92,         398.68
        45,       13589.54,         993.41,       13121.60,         119.34,         305.67,        4647.56,        4590.91,         745.88,        6135.40,        2811.22,         891.06,        1224.58,         206.46,         152.29,        1715.51,        1936.14,         237.36,         184.06,        2248.31,         378.25
        46,       12826.00,         897.40,       12897.77,         145.24,         254.66,        4457.39,        4297.86,         708.94,        5558.92,        2768.34,        1157.83,        1180.69,         187.60,         191.57,        1532.68,        2148.53,         218.25,         235.62,        2128.54,         359.82
        47,       12310.05,         844.76,       11727.11,         151.75,         197.15,        4003.28,        4025.04,         678.28,        5157.34,        2542.64,         931.11,        1370.96,         232.73,         176.87,        1502.53,        1910.77,         257.14,         213.66,        2034.62,         314.95
        48,       11665.94,         785.20,       11064.02,         127.07,         173.13,        4146.86,        3997.37,         652.69,        4844.09,        2376.42,         914.87,         906.28,         143.75,         173.36,        1341.18,        2118.65,         157.67,         209.02,        1924.61,         337.69
        49,       10881.15,         725.71,       10715.37,         118.85,         132.59,        3947.54,        3667.24,         646.66,        4346.18,        2330.75,        1040.89,        1130.08,         163.94,         137.77,        1702.82,        1814.04,         165.68,         170.49,        1798.02,         319.61
        50,       10425.13,         692.22,       10509.97,         118.63,         124.59,        3902.51,        3514.39,         618.25,        4057.41,        2177.94,         860.71,        1111.21,         182.68,         145.31,        1463.37,        1521.91,         194.07,         156.28,        1715.29,         314.70
        51,        9980.45,         666.78,        9400.06,         108.27,         148.36,        3511.15,        3245.45,         602.25,        3645.23,        2066.64,        1106.06,         793.40,         158.09,         181.96,        1443.77,        1323.45,         172.85,         208.42,        1643.67,         274.58
        52,        9308.06,         601.75,        9229.23,          99.56,         155.36,        3242.30,        3040.06,         589.84,        3182.85,        2023.67,        1003.42,         779.15,         162.32,         158.82,        1334.39,        1272.82,         176.57,         179.77,        1524.44,         248.42
        53,        8853.39,         572.64,        8608.22,          98.26,         127.74,        3462.33,        3033.14,         578.08,        2889.30,        1833.35,         923.32,         866.39,         167.31,         173.59,        1967.62,        1090.79,         175.52,         191.08,        1460.47,         274.04
        54,        8372.26,         571.64,        8253.42,          86.55,          99.41,        3075.76,        2713.01,         555.14,        2563.15,        1742.54,        1069.60,         702.52,         130.96,         148.75,        1917.95,        1326.76,         134.44,         168.98,        1377.30,         232.47
        55,        7905.76,         527.25,        7825.43,          81.94,          92.23,        3137.81,        2764.75,         546.14,        2310.38,        1665.61,         967.36,         687.73,         154.80,         147.73,        1564.72,        1180.79,         157.29,         158.73,        1306.49,         241.42
        56,        7397.25,         538.18,        7324.08,          74.31,          89.77,        2912.58,        2357.73,         524.24,        1996.15,        1579.32,         966.55,         810.59,         157.66,         141.63,        1633.91,        1194.95,         155.63,         143.43,        1217.70,         219.58
        57,        7082.58,         478.27,        7243.34,          80.96,          94.90,        2813.78,        2443.08,         495.46,        1799.67,        1463.31,         833.18,         715.98,         170.43,         167.33,        1360.01,         914.25,         177.63,         166.15,        1162.51,         212.65
        58,        6538.70,         474.34,        6670.57,          84.66,          92.63,        2770.64,        2313.86,         473.46,        1611.79,        1391.08,         911.98,         759.51,         174.25,         185.04,        1562.06,         966.38,         170.64,         194.46,        1081.27,         215.35
        59,        6683.90,         459.09,        6539.51,          62.72,          89.85,        2526.39,        2128.73,         467.98,        1410.56,        1323.42,         872.42,         637.11,         193.30,         138.44,        1121.59,        1014.54,         201.91,         135.65,        1089.35,         193.60
        60,        6147.60,         467.82,        6135.64,          46.90,          85.93,        2347.63,        1976.95,         449.71,        1225.05,        1237.43,         646.56,         632.79,         151.13,         209.11,        1145.61,         892.55,         145.17,         206.73,        1004.18,         172.78
        61,        5677.61,         430.21,        5757.86,          42.99,          99.44,        2426.50,        1972.69,         434.20,        1116.87,        1164.52,         703.69,         587.43,         160.01,         187.31,         771.58,        1102.40,         164.01,         183.33,         920.98,         186.75
        62,        5518.33,         403.32,        5413.84,          41.73,          85.06,        2127.04,        1815.08,         419.44,        1007.76,        1114.61,         631.76,         555.23,         165.68,         168.76,        1118.92,         854.98,         169.48,         167.53,         889.90,         154.27
        63,        5055.95,         427.70,        5437.86,          41.92,         103.17,        2219.60,        1763.74,         399.14,         884.30,        1071.71,         652.55,         590.72,         117.15,         193.89,        1186.70,         688.51,         141.40,         173.29,         815.09,         167.62
        64,        4776.25,         369.33,        5122.96,          46.60,          96.92,        2145.09,        1672.08,         377.14,         799.68,        1002.26,         608.76,         578.09,         112.24,         146.04,         965.06,         675.80,         104.38,         129.92,         779.74,         155.67
        65,        4612.35,         382.92,        4857.33,          45.54,         103.58,        1888.60,        1551.06,         362.41,         712.74,         968.71,         630.72,         643.17,          93.45,         112.64,         852.61,         733.09,         108.62,         102.11,         746.08,         128.96
        66,        4548.73,         377.28,        4555.52,          48.57,          83.50,        1868.46,        1550.78,         343.93,         644.43,         905.35,         668.99,         567.43,          80.67,         123.12,         964.35,         648.68,          81.72,         103.21,         721.95,         131.73
        67,        3979.27,         317.38,        4455.60,          45.42,          73.40,        1796.15,        1437.76,         312.21,         566.53,         859.02,         643.72,         521.57,         101.48,          87.79,         744.13,         725.46,          97.50,          71.07,         631.45,         127.67
        68,        3858.95,         323.26,        4146.50,          40.74,          70.02,        1648.71,        1347.79,         281.13,         530.63,         812.96,         583.02,         545.63,          92.49,         105.94,         808.95,         659.01,         108.84,          90.25,         614.77,         112.15
        69,        3755.61,         347.46,        4059.58,          38.47,          69.01,        1646.10,        1310.02,         263.84,         470.55,         755.06,         505.76,         448.95,          91.84,         112.79,         832.72,         609.84,          93.77,          90.82,         596.58,         112.76
        70,        3456.45,         311.21,        3944.07,          37.83,          76.73,        1567.99,        1278.50,         229.05,         414.21,         707.13,         507.45,         561.23,         108.25,         119.65,         884.22,         807.58,          93.17,          95.64,         549.20,         106.23
        71,        3389.67,         303.73,        3508.69,          36.44,          72.90,        1473.04,        1155.06,         201.85,         378.22,         637.63,         524.79,         578.71,          88.97,         107.13,         756.53,         872.96,         106.01,          82.41,         538.09,          97.61
        72,        3288.06,         286.84,        3501.56,          34.01,          70.10,        1395.96,        1108.60,         178.25,         351.83,         572.29,         472.27,         594.92,          95.86,         117.20,         669.50,         741.03,          84.87,          97.01,         515.97,          91.80
        73,        2952.23,         289.01,        3405.43,          36.24,          64.81,        1345.88,        1102.80,         146.02,         323.04,         499.97,         511.94,         450.63,          82.22,         104.96,         689.38,         726.44,          88.09,          82.79,         461.46,          86.52
        74,        2865.65,         273.08,        3267.15,          31.99,          56.70,        1261.30,        1016.46,         117.02,         314.34,         454.04,         511.96,         487.46,          76.99,          99.52,         703.86,         672.17,          73.76,          79.68,         445.26,          81.95
        75,        2790.63,         278.07,        3033.46,          29.52,          53.19,        1234.44,         983.27,          88.65,         295.30,         389.45,         546.36,         495.65,          70.55,          86.51,         516.57,         521.27,          68.98,          62.09,         429.58,          80.52
        76,        2538.27,         265.79,        2916.28,          27.61,          49.86,        1130.25,         922.36,          62.03,         282.21,         332.41,         390.83,         362.85,          79.44,          68.50,         590.51,         618.87,          73.34,          46.08,         388.54,          70.17
        77,        2441.24,         242.46,        2720.47,          28.07,          53.82,        1129.12,         899.50,          44.22,         275.82,         285.99,         601.83,         346.94,          92.47,         106.20,         537.43,         738.73,          77.26,          72.91,         373.94,          73.17
        78,        2351.91,         241.73,        2737.45,          28.04,          45.33,        1052.32,         827.12,          25.20,         260.00,         241.73,         447.04,         412.66,          61.62,          95.10,         599.35,         666.50,          55.03,          69.44,         355.02,          66.32
        79,        2251.20,         225.49,        2604.24,          25.05,          26.75,         972.61,         814.33,          14.29,         256.67,         199.18,         482.05,         433.54,          72.12,          63.39,         613.29,         675.67,          69.45,          45.93,         335.57,          58.76
        80,        2160.63,         234.17,        2456.43,          24.71,           9.34,         944.02,         762.46,           6.61,         252.46,         164.42,         449.87,         419.45,          66.17,          88.05,         587.57,         565.38,          61.88,          62.31,         319.46,          58.51
        81,        2010.02,         236.57,        2340.02,          23.13,           4.64,         904.86,         792.67,           2.88,         247.69,         140.07,         403.34,         569.89,          80.99,          78.33,         535.87,         691.12,          64.03,          55.97,         292.93,          55.46
        82,        1997.39,         233.46,        2177.69,          22.66,           2.80,         880.92,         681.86,           1.44,         235.47,         125.94,         488.49,         483.54,          70.23,          80.10,         865.64,         499.22,          57.50,          57.14,         286.41,          54.95
        83,        1833.32,         202.52,        2248.16,          22.13,           1.73,         831.79,         715.83,           0.40,         232.40,         106.45,         488.25,         479.20,          59.87,          82.84,         729.39,         583.55,          57.28,          59.81,         263.61,          49.39
        84,        1800.83,         193.56,        2089.18,          21.52,           0.98,         795.30,         653.82,           0.06,         221.18,          85.64,         504.53,         450.63,          61.72,          55.14,         614.44,         575.00,          48.92,          42.32,         257.92,          46.46
        85,        1628.14,         197.57,        1941.72,          19.62,           0.18,         714.46,         615.10,           0.05,         215.60,          72.91,         410.94,         499.39,          68.28,          54.72,         563.94,         552.04,          53.69,          39.96,         233.27,          37.89
        86,        1579.25,         208.49,        1968.09,          20.10,              0,         720.66,         575.22,              0,         217.19,          61.29,         398.11,         547.17,          54.67,          65.72,         587.53,         502.18,          53.11,          45.49,         227.24,          41.75
        87,        1566.13,         191.39,        1958.34,          19.49,              0,         687.69,         594.36,              0,         207.20,          51.56,         417.80,         497.01,          51.00,          71.77,         525.85,         437.72,          45.00,          51.67,         226.42,          40.02
        88,        1498.15,         185.04,        1684.81,          17.71,              0,         650.32,         545.35,              0,         204.40,          42.63,         362.22,         495.75,          55.81,          59.26,         538.13,         517.78,          46.55,          43.31,         216.15,          36.46
        89,        1393.08,         177.45,        1697.26,          15.96,              0,         612.04,         521.93,              0,         201.90,          35.02,         329.23,         510.05,          69.00,          55.13,         581.12,         513.08,          43.31,          40.73,         199.86,          33.45
        90,        1302.44,         174.16,        1566.35,          16.64,              0,         572.14,         510.01,              0,         194.33,          28.70,         338.58,         399.34,          61.95,          74.37,         580.57,         352.30,          57.78,          52.09,         186.13,          31.14
        91,        1267.88,         172.06,        1635.82,          16.67,              0,         556.39,         481.94,              0,         195.75,          24.32,         293.74,         422.06,          58.93,          64.80,         591.74,         430.94,          42.06,          52.02,         175.78,          30.03
        92,        1235.79,         165.52,        1520.53,          16.21,              0,         543.41,         472.54,              0,         186.43,          21.50,         400.59,         392.70,          46.48,          66.19,         524.02,         435.25,          42.37,          43.58,         172.61,          29.37
        93,        1163.11,         162.81,        1450.12,          14.38,              0,         478.32,         426.86,              0,         175.23,          15.84,         392.43,         429.66,          51.28,          46.34,         443.34,         328.11,          39.72,          34.03,         160.74,          23.13
        94,        1119.48,         144.25,        1380.58,          13.57,              0,         464.63,         415.78,              0,         173.10,          12.70,         399.11,         384.18,          53.52,          44.03,         527.51,         395.48,          36.04,          39.07,         152.95,          23.05
        95,        1030.16,         156.31,        1344.07,          13.49,              0,         466.07,         410.04,              0,         168.65,           9.18,         399.88,         338.56,          56.33,          45.96,         586.23,         318.46,          36.44,          35.06,         137.31,          26.06
        96,        1015.44,         155.73,        1327.60,          12.30,              0,         439.12,         379.44,              0,         159.46,           7.17,         467.50,         358.35,          51.19,          46.35,         398.68,         353.48,          43.22,          33.41,         136.22,          24.91
        97,        1012.12,         162.90,        1273.50,          12.54,              0,         409.73,         390.36,              0,         153.99,           5.51,         393.55,         358.92,          49.82,          37.07,         423.34,         319.88,          36.08,          30.62,         136.72,          22.40
        98,         921.39,         147.43,        1213.62,          10.86,              0,         416.66,         377.70,              0,         148.11,           3.89,         393.83,         271.03,          57.80,          49.40,         465.02,         319.35,          43.40,          37.77,         124.70,          24.37
        99,         890.93,         132.67,        1130.59,          12.94,              0,         341.20,         337.92,              0,         137.39,           2.69,         376.68,         239.14,          49.71,          43.07,         523.10,         294.75,          41.74,          35.92,         119.55,          15.60
       100,         879.93,         131.99,        1056.00,          10.98,              0,         346.01,         334.23,              0,         127.58,           2.00,         458.85,         287.32,          46.66,          50.26,         439.49,         331.61,          38.33,          44.82,         120.21,          17.26
       101,         853.03,         134.64,        1090.20,           9.37,              0,         330.73,         330.78,              0,         124.32,           1.04,         499.01,         256.17,          60.98,          43.64,         381.94,         286.90,          40.50,          34.01,         115.70,          17.43
       102,         791.04,         137.28,        1030.16,          10.89,              0,         336.49,         305.47,              0,         116.57,           0.45,         405.03,         297.45,          68.81,          44.26,         391.01,         341.96,          52.72,          39.37,         105.66,          18.71
       103,         688.33,         127.99,         968.34,          10.73,              0,         292.96,         289.64,              0,         110.74,           0.03,         402.62,         278.28,          59.08,          68.01,         411.94,         418.17,          49.05,          61.31,          90.63,          14.59
       104,         653.55,         129.40,         963.50,           9.94,              0,         299.22,         281.82,              0,         104.59,           0.03,         401.65,         254.02,          58.78,          55.71,         452.42,         300.38,          41.51,          52.28,          83.82,          15.96
       105,         593.25,         120.99,         871.11,           9.73,              0,         256.41,         278.62,              0,          96.16,           0.04,         432.38,         262.08,          69.18,          56.85,         321.05,         322.06,          43.98,          55.56,          74.57,          11.09
       106,         580.92,         125.53,         949.72,           9.99,              0,         266.85,         264.48,              0,          91.87,              0,         324.42,         243.10,          59.48,          59.69,         337.60,         273.45,          62.50,          54.58,          72.51,          13.74
       107,         501.13,         121.45,         868.81,           7.86,              0,         240.14,         236.63,              0,          85.90,              0,         318.88,         295.00,          64.23,          72.40,         402.70,         314.53,          52.60,          72.91,          61.28,          11.17
       108,         475.48,         153.38,         813.44,           9.81,              0,         234.60,         249.22,              0,          79.75,              0,         317.27,         285.38,          70.80,          69.69,         301.40,         266.86,          51.74,          72.99,          56.86,          11.41
       109,         426.30,         110.07,         800.28,          10.37,              0,         219.12,         239.09,              0,          71.94,              0,         333.82,         300.39,          57.60,          65.44,         310.62,         337.15,          56.37,          62.35,          51.35,          10.48
       110,         394.40,         102.14,         795.89,          10.07,              0,         210.26,         228.47,              0,          68.99,              0,         286.60,         242.00,          68.31,          50.38,         265.25,         333.37,          47.65,          57.97,          48.48,           9.94
       111,         377.68,          98.49,         726.93,          10.00,              0,         198.84,         218.08,              0,          55.44,              0,         315.48,         274.41,          74.27,          61.97,         312.21,         348.15,          68.08,          59.05,          46.82,           9.93
       112,         402.41,          92.83,         723.09,           8.17,              0,         181.23,         208.92,              0,          44.85,              0,         286.31,         229.97,          57.92,          70.30,         271.87,         322.53,          59.38,          76.88,          51.39,           9.04
       113,         353.61,          85.32,         700.43,           8.89,              0,         186.71,         188.34,              0,          37.55,              0,         300.32,         261.48,          59.32,          80.19,         235.56,         367.29,          51.79,          88.59,          45.11,          10.90
       114,         340.23,          73.96,         619.66,           8.51,              0,         157.80,         202.87,              0,          33.09,              0,         276.14,         245.43,          52.07,          64.69,         255.89,         395.41,          40.11,          66.90,          43.58,           7.89
       115,         341.18,          46.57,         682.80,           8.86,              0,         178.91,         185.04,              0,          23.02,              0,         233.62,         251.07,          53.37,          42.83,         279.97,         397.35,          46.27,          56.45,          44.48,          10.93
       116,         340.37,          38.15,         611.11,           8.15,              0,         156.28,         182.39,              0,          14.54,              0,         201.40,         260.45,          53.47,          46.58,         255.64,         299.49,          46.35,          46.18,          43.57,           8.41
       117,         359.10,          36.98,         609.78,           8.47,              0,         151.03,         166.98,              0,           9.88,              0,         219.70,         222.23,          42.15,          48.70,         226.12,         319.59,          51.12,          54.41,          46.57,           7.69
       118,         363.76,          48.34,         610.90,           8.99,              0,         147.91,         168.69,              0,           5.06,              0,         228.60,         210.63,          45.88,          52.51,         278.42,         349.99,          38.81,          59.27,          46.33,           7.43
       119,         322.78,          59.66,         558.44,           9.01,              0,         112.43,         156.48,              0,           3.57,              0,         244.07,         214.51,          34.61,          49.10,         344.91,         312.14,          37.88,          48.98,          40.60,           4.72
       120,         339.84,          70.08,         526.00,           5.87,              0,          94.30,         162.71,              0,           1.93,              0,         215.22,         193.38,          46.27,          44.61,         239.64,         298.15,          41.50,          50.19,          42.45,           4.34
       121,         329.30,          75.32,         541.64,           3.89,              0,          80.00,         149.84,              0,           1.20,              0,         239.94,         189.47,          41.39,          42.03,         267.09,         254.72,          42.33,          50.50,          41.33,           4.13
       122,         322.75,          72.09,         521.37,           1.17,              0,          68.48,         141.26,              0,           0.34,              0,         216.94,         220.32,          39.16,          55.65,         248.04,         321.19,          46.16,          65.07,          39.91,           2.71
       123,         303.71,          62.13,         456.99,           0.40,              0,          75.82,         136.93,              0,           0.13,              0,         227.77,         195.32,          38.36,          39.89,         258.40,         277.46,          37.73,          47.33,          37.67,           3.70
       124,         281.12,          68.90,         472.86,           0.09,              0,          69.37,         132.68,              0,              0,              0,         207.89,         219.75,          42.36,          52.57,         247.25,         268.65,          51.59,          72.22,          34.07,           2.80
       125,         256.77,          66.66,         468.48,           0.09,              0,          82.89,         120.01,              0,           0.02,              0,         211.38,         191.37,          36.45,          41.72,         232.08,         189.39,          38.45,          52.11,          30.41,           4.19
       126,         257.69,          61.36,         449.88,           0.05,              0,          83.69,         104.25,              0,              0,              0,         250.91,         155.60,          41.17,          48.61,         285.41,         185.00,          40.17,          63.85,          31.20,           3.89
       127,         230.34,          57.51,         387.09,              0,              0,          79.23,         160.80,              0,              0,              0,         239.09,         148.69,          41.29,          49.50,         242.35,         184.71,          48.79,          65.29,          27.87,           3.45
